File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/775.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	1014.2
Injection Number	125
Position	BB11
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	2/6/2019
Injection Time	12:03:57 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.009393
Signal Max.	389.569812
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000058
0.006667	0.2	-0.000397
0.010000	0.2	-0.001266
0.013333	0.2	-0.002520
0.016667	0.2	-0.003506
0.020000	0.2	-0.003528
0.023333	0.2	-0.002576
0.026667	0.2	-0.001516
0.030000	0.2	-0.001328
0.033333	0.2	-0.002310
0.036667	0.2	-0.004079
0.040000	0.2	-0.005965
0.043333	0.2	-0.007396
0.046667	0.2	-0.008188
0.050000	0.2	-0.008384
0.053333	0.2	-0.007940
0.056667	0.2	-0.006911
0.060000	0.2	-0.005584
0.063333	0.2	-0.004151
0.066667	0.2	-0.002744
0.070000	0.2	-0.001647
0.073333	0.2	-0.000935
0.076667	0.2	-0.000234
0.080000	0.2	0.000623
0.083333	0.2	0.001080
0.086667	0.2	0.000606
0.090000	0.2	-0.000362
0.093333	0.2	-0.000971
0.096667	0.2	-0.001046
0.100000	0.2	-0.001013
0.103333	0.2	-0.001143
0.106667	0.2	-0.001343
0.110000	0.2	-0.001452
0.113333	0.2	-0.001367
0.116667	0.2	-0.001101
0.120000	0.2	-0.000862
0.123333	0.2	-0.000687
0.126667	0.2	-0.000051
0.130000	0.2	0.001563
0.133333	0.2	0.003880
0.136667	0.2	0.006087
0.140000	0.2	0.007371
0.143333	0.2	0.007086
0.146667	0.2	0.005232
0.150000	0.2	0.002584
0.153333	0.2	-0.000075
0.156667	0.2	-0.002403
0.160000	0.2	-0.004429
0.163333	0.2	-0.006422
0.166667	0.2	-0.008317
0.170000	0.2	-0.009393
0.173333	0.2	-0.009030
0.176667	0.2	-0.007384
0.180000	0.2	-0.004982
0.183333	0.2	-0.002130
0.186667	0.2	0.001250
0.190000	0.2	0.006716
0.193333	0.2	0.020356
0.196667	0.2	0.056355
0.200000	0.2	0.138150
0.203333	0.2	0.294263
0.206667	0.2	0.548271
0.210000	0.2	0.906512
0.213333	0.2	1.349242
0.216667	0.2	1.830561
0.220000	0.2	2.289263
0.223333	0.2	2.666743
0.226667	0.2	2.924860
0.230000	0.2	3.058435
0.233333	0.2	3.100762
0.236667	0.2	3.125287
0.240000	0.2	3.249263
0.243333	0.2	3.641077
0.246667	0.2	4.524568
0.250000	0.2	6.169281
0.253333	0.2	8.861753
0.256667	0.2	12.866509
0.260000	0.2	18.397903
0.263333	0.2	25.625268
0.266667	0.2	34.717787
0.270000	0.2	45.910591
0.273333	0.2	59.558693
0.276667	0.2	76.155106
0.280000	0.2	96.325883
0.283333	0.2	120.851579
0.286667	0.2	150.717866
0.290000	0.2	186.928552
0.293333	0.2	229.580317
0.296667	0.2	276.379233
0.300000	0.2	322.027588
0.303333	0.2	359.607045
0.306667	0.2	383.140014
0.310000	0.2	389.569812
0.313333	0.2	379.334143
0.316667	0.2	355.806502
0.320000	0.2	324.137589
0.323333	0.2	289.963257
0.326667	0.2	258.388765
0.330000	0.2	233.342927
0.333333	0.2	217.070824
0.336667	0.2	209.739797
0.340000	0.2	209.507072
0.343333	0.2	213.218629
0.346667	0.2	217.403097
0.350000	0.2	219.114104
0.353333	0.2	216.506770
0.356667	0.2	209.242336
0.360000	0.2	198.606651
0.363333	0.2	187.024944
0.366667	0.2	176.958999
0.370000	0.2	169.760754
0.373333	0.2	165.210614
0.376667	0.2	161.926558
0.380000	0.2	158.200090
0.383333	0.2	152.714320
0.386667	0.2	144.888429
0.390000	0.2	134.868374
0.393333	0.2	123.306246
0.396667	0.2	111.075125
0.400000	0.2	99.019916
0.403333	0.2	87.795358
0.406667	0.2	77.801769
0.410000	0.2	69.199625
0.413333	0.2	61.969346
0.416667	0.2	55.982991
0.420000	0.2	51.066234
0.423333	0.2	47.041897
0.426667	0.2	43.754128
0.430000	0.2	41.077868
0.433333	0.2	38.920111
0.436667	0.2	37.216439
0.440000	0.2	35.924790
0.443333	0.2	35.019165
0.446667	0.2	34.484879
0.450000	0.2	34.314686
0.453333	0.2	34.504074
0.456667	0.2	35.044118
0.460000	0.2	35.911452
0.463333	0.2	37.057178
0.466667	0.2	38.399107
0.470000	0.2	39.822087
0.473333	0.2	41.188102
0.476667	0.2	42.354210
0.480000	0.2	43.193998
0.483333	0.2	43.616742
0.486667	0.2	43.578920
0.490000	0.2	43.085566
0.493333	0.2	42.182934
0.496667	0.2	40.945894
0.500000	0.2	39.463493
0.503333	0.2	37.825928
0.506667	0.2	36.114696
0.510000	0.2	34.396522
0.513333	0.2	32.721794
0.516667	0.2	31.127369
0.520000	0.2	29.641858
0.523333	0.2	28.291155
0.526667	0.2	27.102361
0.530000	0.2	26.104222
0.533333	0.2	25.322735
0.536667	0.2	24.773384
0.540000	0.2	24.453921
0.543333	0.2	24.340776
