File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/863.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	1020
Injection Number	99
Position	RH10
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	2/5/2019
Injection Time	10:20:53 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.008214
Signal Max.	1,065.227904
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000073
0.006667	0.2	-0.000443
0.010000	0.2	-0.001244
0.013333	0.2	-0.002220
0.016667	0.2	-0.003017
0.020000	0.2	-0.003554
0.023333	0.2	-0.003762
0.026667	0.2	-0.003406
0.030000	0.2	-0.002584
0.033333	0.2	-0.001915
0.036667	0.2	-0.001847
0.040000	0.2	-0.002207
0.043333	0.2	-0.002438
0.046667	0.2	-0.001955
0.050000	0.2	-0.000414
0.053333	0.2	0.002057
0.056667	0.2	0.004760
0.060000	0.2	0.006811
0.063333	0.2	0.007864
0.066667	0.2	0.008029
0.070000	0.2	0.007327
0.073333	0.2	0.005874
0.076667	0.2	0.003959
0.080000	0.2	0.001555
0.083333	0.2	-0.001526
0.086667	0.2	-0.004896
0.090000	0.2	-0.007460
0.093333	0.2	-0.008214
0.096667	0.2	-0.007115
0.100000	0.2	-0.005040
0.103333	0.2	-0.002990
0.106667	0.2	-0.001471
0.110000	0.2	-0.000451
0.113333	0.2	0.000355
0.116667	0.2	0.001218
0.120000	0.2	0.002213
0.123333	0.2	0.003091
0.126667	0.2	0.003391
0.130000	0.2	0.002774
0.133333	0.2	0.001329
0.136667	0.2	-0.000328
0.140000	0.2	-0.001532
0.143333	0.2	-0.002281
0.146667	0.2	-0.002962
0.150000	0.2	-0.003499
0.153333	0.2	-0.003553
0.156667	0.2	-0.003236
0.160000	0.2	-0.003024
0.163333	0.2	-0.003369
0.166667	0.2	-0.004441
0.170000	0.2	-0.005788
0.173333	0.2	-0.006273
0.176667	0.2	-0.004472
0.180000	0.2	0.000789
0.183333	0.2	0.010327
0.186667	0.2	0.025009
0.190000	0.2	0.045718
0.193333	0.2	0.072538
0.196667	0.2	0.104820
0.200000	0.2	0.144720
0.203333	0.2	0.205314
0.206667	0.2	0.320409
0.210000	0.2	0.548122
0.213333	0.2	0.959638
0.216667	0.2	1.612952
0.220000	0.2	2.522364
0.223333	0.2	3.639236
0.226667	0.2	4.856751
0.230000	0.2	6.044979
0.233333	0.2	7.116833
0.236667	0.2	8.121418
0.240000	0.2	9.355296
0.243333	0.2	11.468019
0.246667	0.2	15.518195
0.250000	0.2	22.930887
0.253333	0.2	35.334263
0.256667	0.2	54.307845
0.260000	0.2	81.131654
0.263333	0.2	116.645707
0.266667	0.2	161.285220
0.270000	0.2	215.259188
0.273333	0.2	278.739170
0.276667	0.2	351.901324
0.280000	0.2	434.763413
0.283333	0.2	526.891282
0.286667	0.2	627.034525
0.290000	0.2	732.506300
0.293333	0.2	838.079344
0.296667	0.2	935.042097
0.300000	0.2	1,011.973261
0.303333	0.2	1,057.764007
0.306667	0.2	1,065.227904
0.310000	0.2	1,033.171023
0.313333	0.2	966.306673
0.316667	0.2	873.705341
0.320000	0.2	766.603180
0.323333	0.2	656.180490
0.326667	0.2	551.900687
0.330000	0.2	460.721956
0.333333	0.2	386.878144
0.336667	0.2	331.759786
0.340000	0.2	293.981187
0.343333	0.2	270.048756
0.346667	0.2	255.587240
0.350000	0.2	246.615935
0.353333	0.2	240.484627
0.356667	0.2	236.308291
0.360000	0.2	234.697815
0.363333	0.2	236.687569
0.366667	0.2	242.351437
0.370000	0.2	250.080948
0.373333	0.2	257.065989
0.376667	0.2	260.512135
0.380000	0.2	258.688841
0.383333	0.2	251.311159
0.386667	0.2	239.317375
0.390000	0.2	224.344464
0.393333	0.2	208.179849
0.396667	0.2	192.354296
0.400000	0.2	177.932184
0.403333	0.2	165.480955
0.406667	0.2	155.163477
0.410000	0.2	146.887252
0.413333	0.2	140.452900
0.416667	0.2	135.665723
0.420000	0.2	132.397608
0.423333	0.2	130.603084
0.426667	0.2	130.303052
0.430000	0.2	131.551175
0.433333	0.2	134.394865
0.436667	0.2	138.842471
0.440000	0.2	144.847064
0.443333	0.2	152.310165
0.446667	0.2	161.099139
0.450000	0.2	171.064958
0.453333	0.2	182.045164
0.456667	0.2	193.842284
0.460000	0.2	206.182342
0.463333	0.2	218.673528
0.466667	0.2	230.790595
0.470000	0.2	241.901842
0.473333	0.2	251.337233
0.476667	0.2	258.479428
0.480000	0.2	262.852193
0.483333	0.2	264.184317
0.486667	0.2	262.437814
0.490000	0.2	257.800056
0.493333	0.2	250.647146
0.496667	0.2	241.489876
0.500000	0.2	230.914388
0.503333	0.2	219.526410
0.506667	0.2	207.902433
0.510000	0.2	196.548853
0.513333	0.2	185.870737
0.516667	0.2	176.152167
0.520000	0.2	167.549928
0.523333	0.2	160.100643
0.526667	0.2	153.739324
0.530000	0.2	148.326460
0.533333	0.2	143.678435
0.536667	0.2	139.595209
0.540000	0.2	135.882501
0.543333	0.2	132.368068
0.546667	0.2	128.911991
0.550000	0.2	125.411712
0.553333	0.2	121.803084
0.556667	0.2	118.058597
0.560000	0.2	114.184362
0.563333	0.2	110.216316
0.566667	0.2	106.214609
0.570000	0.2	102.255840
0.573333	0.2	98.423449
0.576667	0.2	94.796188
0.580000	0.2	91.436341
0.583333	0.2	88.381135
0.586667	0.2	85.638978
0.590000	0.2	83.189993
0.593333	0.2	80.991008
0.596667	0.2	78.984371
0.600000	0.2	77.107284
0.603333	0.2	75.299432
0.606667	0.2	73.509265
0.610000	0.2	71.698637
0.613333	0.2	69.844974
0.616667	0.2	67.941267
0.620000	0.2	65.994597
0.623333	0.2	64.023365
0.626667	0.2	62.053427
0.630000	0.2	60.114194
0.633333	0.2	58.235645
0.636667	0.2	56.446055
0.640000	0.2	54.769824
0.643333	0.2	53.225329
0.646667	0.2	51.823453
0.650000	0.2	50.567541
0.653333	0.2	49.454190
0.656667	0.2	48.474397
0.660000	0.2	47.615478
0.663333	0.2	46.863167
0.666667	0.2	46.202902
0.670000	0.2	45.620503
0.673333	0.2	45.102136
0.676667	0.2	44.633671
0.680000	0.2	44.200680
0.683333	0.2	43.789501
0.686667	0.2	43.388077
0.690000	0.2	42.985754
0.693333	0.2	42.573265
0.696667	0.2	42.143620
0.700000	0.2	41.692725
0.703333	0.2	41.219456
0.706667	0.2	40.725652
0.710000	0.2	40.215289
0.713333	0.2	39.692920
0.716667	0.2	39.162593
0.720000	0.2	38.627324
0.723333	0.2	38.088582
0.726667	0.2	37.545775
0.730000	0.2	36.996051
0.733333	0.2	36.434626
0.736667	0.2	35.855533
0.740000	0.2	35.252834
0.743333	0.2	34.622181
0.746667	0.2	33.961719
0.750000	0.2	33.271882
0.753333	0.2	32.555092
0.756667	0.2	31.815789
0.760000	0.2	31.060351
0.763333	0.2	30.297096
0.766667	0.2	29.535994
0.770000	0.2	28.787240
0.773333	0.2	28.059676
0.776667	0.2	27.360585
0.780000	0.2	26.696135
0.783333	0.2	26.071015
0.786667	0.2	25.487597
0.790000	0.2	24.945823
0.793333	0.2	24.443899
0.796667	0.2	23.979197
0.800000	0.2	23.549299
0.803333	0.2	23.153079
0.806667	0.2	22.790954
0.810000	0.2	22.464762
0.813333	0.2	22.179078
0.816667	0.2	21.943141
0.820000	0.2	21.770678
0.823333	0.2	21.677607
0.826667	0.2	21.679584
0.830000	0.2	21.789946
0.833333	0.2	22.017525
0.836667	0.2	22.364522
0.840000	0.2	22.825270
0.843333	0.2	23.386205
0.846667	0.2	24.026864
0.850000	0.2	24.722323
0.853333	0.2	25.446756
0.856667	0.2	26.176445
0.860000	0.2	26.891502
0.863333	0.2	27.576659
0.866667	0.2	28.221342
0.870000	0.2	28.818678
0.873333	0.2	29.363425
0.876667	0.2	29.850274
0.880000	0.2	30.273498
0.883333	0.2	30.627266
0.886667	0.2	30.905748
0.890000	0.2	31.103236
0.893333	0.2	31.215094
0.896667	0.2	31.239724
0.900000	0.2	31.180845
0.903333	0.2	31.048941
0.906667	0.2	30.861020
0.910000	0.2	30.639444
0.913333	0.2	30.411056
0.916667	0.2	30.206024
0.920000	0.2	30.055375
0.923333	0.2	29.988226
0.926667	0.2	30.030538
0.930000	0.2	30.205230
0.933333	0.2	30.532077
0.936667	0.2	31.027639
0.940000	0.2	31.706188
0.943333	0.2	32.581243
0.946667	0.2	33.667202
0.950000	0.2	34.980018
0.953333	0.2	36.535379
0.956667	0.2	38.344848
0.960000	0.2	40.412097
0.963333	0.2	42.729966
0.966667	0.2	45.277815
0.970000	0.2	48.019729
0.973333	0.2	50.904036
0.976667	0.2	53.864292
0.980000	0.2	56.822338
0.983333	0.2	59.692618
0.986667	0.2	62.386965
0.990000	0.2	64.820263
0.993333	0.2	66.916190
0.996667	0.2	68.611956
1.000000	0.2	69.862358
1.003333	0.2	70.642534
1.006667	0.2	70.948441
1.010000	0.2	70.795717
1.013333	0.2	70.217559
1.016667	0.2	69.261655
1.020000	0.2	67.986590
1.023333	0.2	66.457603
1.026667	0.2	64.741883
1.030000	0.2	62.904602
1.033333	0.2	61.006147
1.036667	0.2	59.100258
1.040000	0.2	57.232739
1.043333	0.2	55.440392
1.046667	0.2	53.750229
1.050000	0.2	52.179477
1.053333	0.2	50.736355
1.056667	0.2	49.421047
1.060000	0.2	48.227076
1.063333	0.2	47.143229
1.066667	0.2	46.155076
1.070000	0.2	45.245857
1.073333	0.2	44.397939
1.076667	0.2	43.594753
1.080000	0.2	42.821876
1.083333	0.2	42.067416
1.086667	0.2	41.322354
1.090000	0.2	40.580184
1.093333	0.2	39.836007
1.096667	0.2	39.086285
1.100000	0.2	38.328930
1.103333	0.2	37.562849
1.106667	0.2	36.787564
1.110000	0.2	36.003589
1.113333	0.2	35.212802
1.116667	0.2	34.417819
1.120000	0.2	33.620900
1.123333	0.2	32.823743
1.126667	0.2	32.027980
1.130000	0.2	31.235364
1.133333	0.2	30.447787
1.136667	0.2	29.667557
1.140000	0.2	28.897568
1.143333	0.2	28.140902
1.146667	0.2	27.400025
1.150000	0.2	26.676321
1.153333	0.2	25.970630
1.156667	0.2	25.284117
1.160000	0.2	24.618416
1.163333	0.2	23.975474
1.166667	0.2	23.357202
1.170000	0.2	22.764703
1.173333	0.2	22.198049
1.176667	0.2	21.657156
1.180000	0.2	21.142736
1.183333	0.2	20.656149
1.186667	0.2	20.198382
1.190000	0.2	19.769954
1.193333	0.2	19.372075
1.196667	0.2	19.007258
1.200000	0.2	18.678710
1.203333	0.2	18.389515
1.206667	0.2	18.141911
1.210000	0.2	17.936469
1.213333	0.2	17.771997
1.216667	0.2	17.646593
1.220000	0.2	17.558500
1.223333	0.2	17.505861
1.226667	0.2	17.486112
1.230000	0.2	17.495519
1.233333	0.2	17.528864
1.236667	0.2	17.579949
1.240000	0.2	17.642847
1.243333	0.2	17.712641
1.246667	0.2	17.785304
1.250000	0.2	17.857417
1.253333	0.2	17.925992
1.256667	0.2	17.988613
1.260000	0.2	18.043964
1.263333	0.2	18.091801
1.266667	0.2	18.132340
1.270000	0.2	18.166101
1.273333	0.2	18.193990
1.276667	0.2	18.216947
1.280000	0.2	18.235637
1.283333	0.2	18.250348
1.286667	0.2	18.260844
1.290000	0.2	18.266484
1.293333	0.2	18.266588
1.296667	0.2	18.260346
1.300000	0.2	18.246469
1.303333	0.2	18.223464
1.306667	0.2	18.190279
1.310000	0.2	18.146653
1.313333	0.2	18.093097
1.316667	0.2	18.030560
1.320000	0.2	17.959763
1.323333	0.2	17.880575
1.326667	0.2	17.792128
1.330000	0.2	17.693781
1.333333	0.2	17.586211
1.336667	0.2	17.471847
1.340000	0.2	17.354334
1.343333	0.2	17.237610
1.346667	0.2	17.125165
1.350000	0.2	17.019691
1.353333	0.2	16.923225
1.356667	0.2	16.837274
1.360000	0.2	16.762625
1.363333	0.2	16.699320
1.366667	0.2	16.646713
1.370000	0.2	16.603359
1.373333	0.2	16.566822
1.376667	0.2	16.533689
1.380000	0.2	16.499881
1.383333	0.2	16.460674
1.386667	0.2	16.410501
1.390000	0.2	16.343578
1.393333	0.2	16.255066
1.396667	0.2	16.141528
1.400000	0.2	16.000594
1.403333	0.2	15.830676
1.406667	0.2	15.631052
1.410000	0.2	15.401850
1.413333	0.2	15.143642
1.416667	0.2	14.857656
1.420000	0.2	14.546674
1.423333	0.2	14.215102
1.426667	0.2	13.868096
1.430000	0.2	13.510783
1.433333	0.2	13.147812
1.436667	0.2	12.783162
1.440000	0.2	12.420237
1.443333	0.2	12.062207
1.446667	0.2	11.712228
1.450000	0.2	11.373241
1.453333	0.2	11.047618
1.456667	0.2	10.737113
1.460000	0.2	10.443125
1.463333	0.2	10.166969
1.466667	0.2	9.909894
1.470000	0.2	9.672702
1.473333	0.2	9.455484
1.476667	0.2	9.257988
1.480000	0.2	9.080112
1.483333	0.2	8.921789
1.486667	0.2	8.782750
1.490000	0.2	8.662531
1.493333	0.2	8.560451
1.496667	0.2	8.475659
1.500000	0.2	8.407217
1.503333	0.2	8.354082
1.506667	0.2	8.315236
1.510000	0.2	8.289702
1.513333	0.2	8.276169
1.516667	0.2	8.272678
1.520000	0.2	8.276892
1.523333	0.2	8.286563
1.526667	0.2	8.299364
1.530000	0.2	8.312750
