File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/136.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	1039.3
Injection Number	208
Position	BA11
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	3/20/2019
Injection Time	7:01:48 PM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.007206
Signal Max.	839.627359
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	0.000015
0.006667	0.2	0.000065
0.010000	0.2	0.000096
0.013333	0.2	0.000033
0.016667	0.2	-0.000050
0.020000	0.2	-0.000003
0.023333	0.2	0.000155
0.026667	0.2	0.000326
0.030000	0.2	0.000502
0.033333	0.2	0.000526
0.036667	0.2	-0.000084
0.040000	0.2	-0.001695
0.043333	0.2	-0.003986
0.046667	0.2	-0.006068
0.050000	0.2	-0.007206
0.053333	0.2	-0.007152
0.056667	0.2	-0.006086
0.060000	0.2	-0.004575
0.063333	0.2	-0.003088
0.066667	0.2	-0.001466
0.070000	0.2	0.000585
0.073333	0.2	0.002867
0.076667	0.2	0.004920
0.080000	0.2	0.006314
0.083333	0.2	0.006483
0.086667	0.2	0.004792
0.090000	0.2	0.001404
0.093333	0.2	-0.002290
0.096667	0.2	-0.004802
0.100000	0.2	-0.005826
0.103333	0.2	-0.006056
0.106667	0.2	-0.006113
0.110000	0.2	-0.006143
0.113333	0.2	-0.006187
0.116667	0.2	-0.006197
0.120000	0.2	-0.005722
0.123333	0.2	-0.004226
0.126667	0.2	-0.001778
0.130000	0.2	0.000896
0.133333	0.2	0.003031
0.136667	0.2	0.004339
0.140000	0.2	0.004873
0.143333	0.2	0.004543
0.146667	0.2	0.003228
0.150000	0.2	0.001317
0.153333	0.2	-0.000298
0.156667	0.2	-0.000662
0.160000	0.2	0.000661
0.163333	0.2	0.003106
0.166667	0.2	0.005442
0.170000	0.2	0.007039
0.173333	0.2	0.009777
0.176667	0.2	0.023019
0.180000	0.2	0.074857
0.183333	0.2	0.224792
0.186667	0.2	0.563045
0.190000	0.2	1.183493
0.193333	0.2	2.134522
0.196667	0.2	3.373553
0.200000	0.2	4.756614
0.203333	0.2	6.074960
0.206667	0.2	7.121910
0.210000	0.2	7.757149
0.213333	0.2	7.941822
0.216667	0.2	7.737564
0.220000	0.2	7.279222
0.223333	0.2	6.737542
0.226667	0.2	6.287468
0.230000	0.2	6.090038
0.233333	0.2	6.285715
0.236667	0.2	6.993434
0.240000	0.2	8.312144
0.243333	0.2	10.324923
0.246667	0.2	13.107890
0.250000	0.2	16.745726
0.253333	0.2	21.353380
0.256667	0.2	27.102557
0.260000	0.2	34.253002
0.263333	0.2	43.191023
0.266667	0.2	54.478338
0.270000	0.2	68.910945
0.273333	0.2	87.582939
0.276667	0.2	111.952255
0.280000	0.2	143.914385
0.283333	0.2	185.867928
0.286667	0.2	240.655297
0.290000	0.2	311.048975
0.293333	0.2	398.237610
0.296667	0.2	499.347474
0.300000	0.2	605.739232
0.303333	0.2	704.305919
0.306667	0.2	781.563141
0.310000	0.2	827.875033
0.313333	0.2	839.627359
0.316667	0.2	819.153473
0.320000	0.2	773.263174
0.323333	0.2	711.134450
0.326667	0.2	642.207057
0.330000	0.2	574.679706
0.333333	0.2	514.716880
0.336667	0.2	465.987364
0.340000	0.2	429.406186
0.343333	0.2	403.414707
0.346667	0.2	384.960559
0.350000	0.2	370.792126
0.353333	0.2	358.541211
0.356667	0.2	347.357445
0.360000	0.2	338.008140
0.363333	0.2	332.241785
0.366667	0.2	331.382095
0.370000	0.2	334.835125
0.373333	0.2	339.665652
0.376667	0.2	341.706538
0.380000	0.2	337.380220
0.383333	0.2	325.008973
0.386667	0.2	305.071545
0.390000	0.2	279.630674
0.393333	0.2	251.435085
0.396667	0.2	223.111805
0.400000	0.2	196.657707
0.403333	0.2	173.257276
0.406667	0.2	153.347583
0.410000	0.2	136.818145
0.413333	0.2	123.245807
0.416667	0.2	112.096245
0.420000	0.2	102.859643
0.423333	0.2	95.119472
0.426667	0.2	88.570959
0.430000	0.2	83.009992
0.433333	0.2	78.310681
0.436667	0.2	74.404451
0.440000	0.2	71.266739
0.443333	0.2	68.911427
0.446667	0.2	67.391027
0.450000	0.2	66.798823
0.453333	0.2	67.263840
0.456667	0.2	68.926997
0.460000	0.2	71.893354
0.463333	0.2	76.168138
0.466667	0.2	81.596753
0.470000	0.2	87.834103
0.473333	0.2	94.361254
0.476667	0.2	100.550129
0.480000	0.2	105.760426
0.483333	0.2	109.443767
0.486667	0.2	111.228398
0.490000	0.2	110.964709
0.493333	0.2	108.725603
0.496667	0.2	104.768486
0.500000	0.2	99.473635
0.503333	0.2	93.275756
0.506667	0.2	86.602276
0.510000	0.2	79.827845
0.513333	0.2	73.249223
0.516667	0.2	67.077918
0.520000	0.2	61.445027
0.523333	0.2	56.413640
0.526667	0.2	51.995008
0.530000	0.2	48.165191
0.533333	0.2	44.879148
0.536667	0.2	42.080656
0.540000	0.2	39.708704
0.543333	0.2	37.701746
0.546667	0.2	36.000800
0.550000	0.2	34.551615
0.553333	0.2	33.305841
0.556667	0.2	32.221724
0.560000	0.2	31.264693
0.563333	0.2	30.407328
0.566667	0.2	29.628500
0.570000	0.2	28.912122
0.573333	0.2	28.245987
0.576667	0.2	27.621392
0.580000	0.2	27.032937
0.583333	0.2	26.476845
0.586667	0.2	25.948988
0.590000	0.2	25.445209
0.593333	0.2	24.962725
0.596667	0.2	24.499648
0.600000	0.2	24.053416
0.603333	0.2	23.620653
0.606667	0.2	23.198155
0.610000	0.2	22.783629
0.613333	0.2	22.375997
0.616667	0.2	21.975589
0.620000	0.2	21.584042
0.623333	0.2	21.203503
0.626667	0.2	20.835813
0.630000	0.2	20.482061
0.633333	0.2	20.142125
0.636667	0.2	19.814734
0.640000	0.2	19.498481
0.643333	0.2	19.192531
0.646667	0.2	18.896388
0.650000	0.2	18.609695
0.653333	0.2	18.332515
0.656667	0.2	18.065540
0.660000	0.2	17.810094
0.663333	0.2	17.567843
0.666667	0.2	17.340115
0.670000	0.2	17.127536
0.673333	0.2	16.929914
0.676667	0.2	16.745860
0.680000	0.2	16.572817
0.683333	0.2	16.407795
0.686667	0.2	16.247810
0.690000	0.2	16.089859
0.693333	0.2	15.931018
0.696667	0.2	15.768760
0.700000	0.2	15.601493
0.703333	0.2	15.429125
0.706667	0.2	15.252575
0.710000	0.2	15.072545
0.713333	0.2	14.889250
0.716667	0.2	14.703151
0.720000	0.2	14.515622
0.723333	0.2	14.329055
0.726667	0.2	14.146179
0.730000	0.2	13.969141
0.733333	0.2	13.799340
0.736667	0.2	13.638733
0.740000	0.2	13.492620
0.743333	0.2	13.373016
0.746667	0.2	13.302791
0.750000	0.2	13.321745
0.753333	0.2	13.493979
0.756667	0.2	13.914073
0.760000	0.2	14.709487
0.763333	0.2	16.036510
0.766667	0.2	18.067441
0.770000	0.2	20.968656
0.773333	0.2	24.871988
0.776667	0.2	29.844887
0.780000	0.2	35.866139
0.783333	0.2	42.813027
0.786667	0.2	50.463915
0.790000	0.2	58.516700
0.793333	0.2	66.619712
0.796667	0.2	74.409057
0.800000	0.2	81.545153
0.803333	0.2	87.742070
0.806667	0.2	92.786161
