File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/590.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	1051.1
Injection Number	283
Position	BH2
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	3/22/2019
Injection Time	10:06:20 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.022237
Signal Max.	646.463967
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000012
0.006667	0.2	-0.000103
0.010000	0.2	-0.000415
0.013333	0.2	-0.000999
0.016667	0.2	-0.001605
0.020000	0.2	-0.002076
0.023333	0.2	-0.002729
0.026667	0.2	-0.003757
0.030000	0.2	-0.004693
0.033333	0.2	-0.004953
0.036667	0.2	-0.004532
0.040000	0.2	-0.003981
0.043333	0.2	-0.003849
0.046667	0.2	-0.004186
0.050000	0.2	-0.004554
0.053333	0.2	-0.004620
0.056667	0.2	-0.004554
0.060000	0.2	-0.004638
0.063333	0.2	-0.005043
0.066667	0.2	-0.005917
0.070000	0.2	-0.007240
0.073333	0.2	-0.008925
0.076667	0.2	-0.010877
0.080000	0.2	-0.012668
0.083333	0.2	-0.013675
0.086667	0.2	-0.013751
0.090000	0.2	-0.013367
0.093333	0.2	-0.013026
0.096667	0.2	-0.012945
0.100000	0.2	-0.013267
0.103333	0.2	-0.014072
0.106667	0.2	-0.015083
0.110000	0.2	-0.015673
0.113333	0.2	-0.015465
0.116667	0.2	-0.014900
0.120000	0.2	-0.014954
