File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/378.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	433
Injection Number	51
Position	RD11
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	2/1/2019
Injection Time	3:49:21 PM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.019401
Signal Max.	833.955436
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000107
0.006667	0.2	-0.000764
0.010000	0.2	-0.002524
0.013333	0.2	-0.005316
0.016667	0.2	-0.008397
0.020000	0.2	-0.011107
0.023333	0.2	-0.013134
0.026667	0.2	-0.014239
0.030000	0.2	-0.014211
0.033333	0.2	-0.013161
0.036667	0.2	-0.011754
0.040000	0.2	-0.010891
0.043333	0.2	-0.010933
0.046667	0.2	-0.011528
0.050000	0.2	-0.012234
0.053333	0.2	-0.012939
0.056667	0.2	-0.013731
0.060000	0.2	-0.014716
0.063333	0.2	-0.016029
0.066667	0.2	-0.017639
0.070000	0.2	-0.019006
0.073333	0.2	-0.019401
0.076667	0.2	-0.018609
0.080000	0.2	-0.017066
0.083333	0.2	-0.015451
0.086667	0.2	-0.014355
0.090000	0.2	-0.014150
0.093333	0.2	-0.014828
0.096667	0.2	-0.015866
0.100000	0.2	-0.016435
0.103333	0.2	-0.016075
0.106667	0.2	-0.015151
0.110000	0.2	-0.014364
0.113333	0.2	-0.013892
0.116667	0.2	-0.013304
0.120000	0.2	-0.012207
0.123333	0.2	-0.010788
0.126667	0.2	-0.009678
0.130000	0.2	-0.009408
0.133333	0.2	-0.010046
0.136667	0.2	-0.011165
0.140000	0.2	-0.012188
0.143333	0.2	-0.012833
0.146667	0.2	-0.013174
0.150000	0.2	-0.013411
0.153333	0.2	-0.013570
0.156667	0.2	-0.013391
0.160000	0.2	-0.012787
0.163333	0.2	-0.011957
0.166667	0.2	-0.010866
0.170000	0.2	-0.009129
0.173333	0.2	-0.006297
0.176667	0.2	-0.002154
0.180000	0.2	0.003961
0.183333	0.2	0.018376
0.186667	0.2	0.066555
0.190000	0.2	0.210828
0.193333	0.2	0.556167
0.196667	0.2	1.226044
0.200000	0.2	2.308011
0.203333	0.2	3.793700
0.206667	0.2	5.549158
0.210000	0.2	7.337670
0.213333	0.2	8.887611
0.216667	0.2	9.974250
0.220000	0.2	10.481995
0.223333	0.2	10.428473
0.226667	0.2	9.951149
0.230000	0.2	9.271330
0.233333	0.2	8.654126
0.236667	0.2	8.377735
0.240000	0.2	8.716566
0.243333	0.2	9.936023
0.246667	0.2	12.294410
0.250000	0.2	16.049382
0.253333	0.2	21.472643
0.256667	0.2	28.882577
0.260000	0.2	38.704620
0.263333	0.2	51.562903
0.266667	0.2	68.396084
0.270000	0.2	90.571945
0.273333	0.2	119.946573
0.276667	0.2	158.790656
0.280000	0.2	209.516357
0.283333	0.2	274.181816
0.286667	0.2	353.764507
0.290000	0.2	447.120610
0.293333	0.2	549.624082
0.296667	0.2	652.179683
0.300000	0.2	742.024973
0.303333	0.2	805.876692
0.306667	0.2	833.955436
0.310000	0.2	822.698999
0.313333	0.2	775.181221
0.316667	0.2	699.686132
0.320000	0.2	607.373587
0.323333	0.2	509.867857
0.326667	0.2	417.389940
0.330000	0.2	337.613861
0.333333	0.2	275.019823
0.336667	0.2	230.674476
0.340000	0.2	202.656279
0.343333	0.2	187.137875
0.346667	0.2	179.754676
0.350000	0.2	176.794878
0.353333	0.2	175.917821
0.356667	0.2	176.328148
