File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/764.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	536
Injection Number	94
Position	RH5
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	2/5/2019
Injection Time	7:45:06 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.022366
Signal Max.	870.441765
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000069
0.006667	0.2	-0.000536
0.010000	0.2	-0.001888
0.013333	0.2	-0.004183
0.016667	0.2	-0.006946
0.020000	0.2	-0.009657
0.023333	0.2	-0.011929
0.026667	0.2	-0.013492
0.030000	0.2	-0.014434
0.033333	0.2	-0.015256
0.036667	0.2	-0.016304
0.040000	0.2	-0.017353
0.043333	0.2	-0.017879
0.046667	0.2	-0.017518
0.050000	0.2	-0.016445
0.053333	0.2	-0.015285
0.056667	0.2	-0.014490
0.060000	0.2	-0.014040
0.063333	0.2	-0.013757
0.066667	0.2	-0.013572
0.070000	0.2	-0.013351
0.073333	0.2	-0.012849
0.076667	0.2	-0.012188
0.080000	0.2	-0.012010
0.083333	0.2	-0.012789
0.086667	0.2	-0.014246
0.090000	0.2	-0.015664
0.093333	0.2	-0.016635
0.096667	0.2	-0.017314
0.100000	0.2	-0.017995
0.103333	0.2	-0.018603
0.106667	0.2	-0.018760
0.110000	0.2	-0.018206
0.113333	0.2	-0.017021
0.116667	0.2	-0.015600
0.120000	0.2	-0.014494
0.123333	0.2	-0.014058
0.126667	0.2	-0.013949
0.130000	0.2	-0.013375
0.133333	0.2	-0.012246
0.136667	0.2	-0.011458
0.140000	0.2	-0.011838
0.143333	0.2	-0.013417
0.146667	0.2	-0.015728
0.150000	0.2	-0.018238
0.153333	0.2	-0.020435
0.156667	0.2	-0.021873
0.160000	0.2	-0.022366
0.163333	0.2	-0.022024
0.166667	0.2	-0.020959
0.170000	0.2	-0.019003
0.173333	0.2	-0.015722
0.176667	0.2	-0.010475
0.180000	0.2	-0.002164
0.183333	0.2	0.011114
0.186667	0.2	0.032080
0.190000	0.2	0.063651
0.193333	0.2	0.107347
0.196667	0.2	0.162202
0.200000	0.2	0.228870
0.203333	0.2	0.321687
0.206667	0.2	0.483167
0.210000	0.2	0.787989
0.213333	0.2	1.325888
0.216667	0.2	2.164869
0.220000	0.2	3.309626
0.223333	0.2	4.677823
0.226667	0.2	6.111175
0.230000	0.2	7.420008
0.233333	0.2	8.445156
0.236667	0.2	9.119435
0.240000	0.2	9.517526
0.243333	0.2	9.889705
0.246667	0.2	10.679137
0.250000	0.2	12.525573
0.253333	0.2	16.259434
0.256667	0.2	22.890691
0.260000	0.2	33.599938
0.263333	0.2	49.742409
0.266667	0.2	72.871165
0.270000	0.2	104.761963
0.273333	0.2	147.376017
0.276667	0.2	202.656261
0.280000	0.2	272.073572
0.283333	0.2	355.948406
0.286667	0.2	452.686154
0.290000	0.2	557.997478
0.293333	0.2	664.152305
0.296667	0.2	759.926336
0.300000	0.2	832.381191
0.303333	0.2	870.441765
0.306667	0.2	868.395169
0.310000	0.2	827.372426
0.313333	0.2	754.509876
0.316667	0.2	660.755329
0.320000	0.2	558.312744
0.323333	0.2	458.359900
0.326667	0.2	369.545650
0.330000	0.2	297.463500
0.333333	0.2	244.704567
0.336667	0.2	210.983584
0.340000	0.2	193.405661
0.343333	0.2	187.224820
0.346667	0.2	187.005787
0.350000	0.2	187.780741
0.353333	0.2	186.016076
0.356667	0.2	180.340501
0.360000	0.2	171.707207
0.363333	0.2	162.585101
0.366667	0.2	155.402555
0.370000	0.2	151.207644
0.373333	0.2	149.377516
0.376667	0.2	148.298555
0.380000	0.2	146.313148
0.383333	0.2	142.367098
0.386667	0.2	136.212527
0.390000	0.2	128.276299
0.393333	0.2	119.366674
0.396667	0.2	110.364072
0.400000	0.2	101.988369
0.403333	0.2	94.680661
0.406667	0.2	88.594521
0.410000	0.2	83.662928
0.413333	0.2	79.694953
0.416667	0.2	76.464654
0.420000	0.2	73.772977
0.423333	0.2	71.478279
0.426667	0.2	69.500301
0.430000	0.2	67.807803
0.433333	0.2	66.400653
0.436667	0.2	65.293486
0.440000	0.2	64.503626
0.443333	0.2	64.043568
0.446667	0.2	63.917727
0.450000	0.2	64.122393
0.453333	0.2	64.647341
0.456667	0.2	65.478024
0.460000	0.2	66.597781
0.463333	0.2	67.989563
0.466667	0.2	69.637052
0.470000	0.2	71.525007
0.473333	0.2	73.637965
0.476667	0.2	75.956641
0.480000	0.2	78.452673
0.483333	0.2	81.083673
0.486667	0.2	83.790602
0.490000	0.2	86.498374
0.493333	0.2	89.120186
0.496667	0.2	91.564800
0.500000	0.2	93.744099
