File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/28883.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	547.1
Injection Number	418
Position	BC2
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	6/18/2019
Injection Time	4:32:18 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.008709
Signal Max.	591.245586
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000032
0.006667	0.2	-0.000178
0.010000	0.2	-0.000450
0.013333	0.2	-0.000692
0.016667	0.2	-0.000812
0.020000	0.2	-0.001071
0.023333	0.2	-0.001891
0.026667	0.2	-0.003263
0.030000	0.2	-0.004454
0.033333	0.2	-0.004610
0.036667	0.2	-0.003706
0.040000	0.2	-0.002539
0.043333	0.2	-0.001832
0.046667	0.2	-0.001703
0.050000	0.2	-0.001983
0.053333	0.2	-0.002697
0.056667	0.2	-0.003804
0.060000	0.2	-0.004795
0.063333	0.2	-0.004970
0.066667	0.2	-0.003907
0.070000	0.2	-0.001741
0.073333	0.2	0.000761
0.076667	0.2	0.002454
0.080000	0.2	0.002427
0.083333	0.2	0.000722
0.086667	0.2	-0.001547
0.090000	0.2	-0.003107
0.093333	0.2	-0.003501
0.096667	0.2	-0.002994
0.100000	0.2	-0.001992
0.103333	0.2	-0.000890
0.106667	0.2	0.000039
0.110000	0.2	0.000757
0.113333	0.2	0.001322
0.116667	0.2	0.001724
0.120000	0.2	0.001931
0.123333	0.2	0.001935
0.126667	0.2	0.001620
0.130000	0.2	0.000841
0.133333	0.2	-0.000391
0.136667	0.2	-0.002003
0.140000	0.2	-0.003828
0.143333	0.2	-0.005588
0.146667	0.2	-0.007112
0.150000	0.2	-0.008281
0.153333	0.2	-0.008709
0.156667	0.2	-0.007947
0.160000	0.2	-0.006162
0.163333	0.2	-0.004213
0.166667	0.2	-0.002897
0.170000	0.2	-0.002380
0.173333	0.2	-0.002296
0.176667	0.2	-0.001359
0.180000	0.2	0.005678
0.183333	0.2	0.032972
0.186667	0.2	0.106381
0.190000	0.2	0.260072
0.193333	0.2	0.524488
0.196667	0.2	0.908364
0.200000	0.2	1.384847
0.203333	0.2	1.892025
0.206667	0.2	2.349753
0.210000	0.2	2.685508
0.213333	0.2	2.857436
0.216667	0.2	2.864571
0.220000	0.2	2.742090
0.223333	0.2	2.547627
0.226667	0.2	2.346838
0.230000	0.2	2.204325
0.233333	0.2	2.182869
0.236667	0.2	2.349775
0.240000	0.2	2.784412
0.243333	0.2	3.580460
0.246667	0.2	4.841569
0.250000	0.2	6.673395
0.253333	0.2	9.177248
0.256667	0.2	12.452867
0.260000	0.2	16.617227
0.263333	0.2	21.843505
0.266667	0.2	28.421731
0.270000	0.2	36.837488
0.273333	0.2	47.862462
0.276667	0.2	62.659150
0.280000	0.2	82.900586
0.283333	0.2	110.852810
0.286667	0.2	149.249469
0.290000	0.2	200.605017
0.293333	0.2	265.633331
0.296667	0.2	341.295510
0.300000	0.2	420.164641
0.303333	0.2	492.244451
0.306667	0.2	548.180201
0.310000	0.2	581.820886
0.313333	0.2	591.245586
0.316667	0.2	578.560612
0.320000	0.2	548.889309
0.323333	0.2	508.908477
0.326667	0.2	465.458764
0.330000	0.2	424.521763
0.333333	0.2	390.372279
0.336667	0.2	364.892736
0.340000	0.2	347.504705
0.343333	0.2	335.912307
0.346667	0.2	327.216844
0.350000	0.2	318.891124
0.353333	0.2	309.506606
0.356667	0.2	299.244789
0.360000	0.2	289.916079
0.363333	0.2	284.111323
0.366667	0.2	283.707904
0.370000	0.2	288.647662
0.373333	0.2	296.770066
0.376667	0.2	304.660542
0.380000	0.2	308.888165
0.383333	0.2	307.021652
0.386667	0.2	298.118468
0.390000	0.2	282.681857
0.393333	0.2	262.258895
0.396667	0.2	238.897951
0.400000	0.2	214.645022
0.403333	0.2	191.187587
0.406667	0.2	169.682360
0.410000	0.2	150.745246
0.413333	0.2	134.547664
0.416667	0.2	120.957276
0.420000	0.2	109.675450
0.423333	0.2	100.344857
0.426667	0.2	92.618896
0.430000	0.2	86.196696
0.433333	0.2	80.832976
0.436667	0.2	76.333127
0.440000	0.2	72.542371
0.443333	0.2	69.334804
0.446667	0.2	66.604750
0.450000	0.2	64.261021
0.453333	0.2	62.224727
0.456667	0.2	60.430350
0.460000	0.2	58.827066
0.463333	0.2	57.377730
0.466667	0.2	56.056197
0.470000	0.2	54.844465
0.473333	0.2	53.730235
0.476667	0.2	52.705252
0.480000	0.2	51.764572
0.483333	0.2	50.906777
0.486667	0.2	50.134945
0.490000	0.2	49.457169
0.493333	0.2	48.884632
0.496667	0.2	48.426594
0.500000	0.2	48.084697
0.503333	0.2	47.849351
0.506667	0.2	47.698749
0.510000	0.2	47.600780
0.513333	0.2	47.517570
0.516667	0.2	47.410782
0.520000	0.2	47.246169
0.523333	0.2	46.996608
0.526667	0.2	46.643551
0.530000	0.2	46.177591
0.533333	0.2	45.598038
0.536667	0.2	44.911065
0.540000	0.2	44.127158
0.543333	0.2	43.259218
0.546667	0.2	42.321729
0.550000	0.2	41.330223
0.553333	0.2	40.300247
0.556667	0.2	39.246338
0.560000	0.2	38.181490
0.563333	0.2	37.116935
0.566667	0.2	36.062122
0.570000	0.2	35.024942
0.573333	0.2	34.012366
0.576667	0.2	33.030879
0.580000	0.2	32.085979
0.583333	0.2	31.181755
0.586667	0.2	30.321065
0.590000	0.2	29.505650
0.593333	0.2	28.736442
0.596667	0.2	28.013644
0.600000	0.2	27.335673
0.603333	0.2	26.698778
0.606667	0.2	26.098555
0.610000	0.2	25.531211
0.613333	0.2	24.993440
0.616667	0.2	24.482215
0.620000	0.2	23.994858
0.623333	0.2	23.528733
0.626667	0.2	23.081247
0.630000	0.2	22.650712
0.633333	0.2	22.236686
0.636667	0.2	21.839404
0.640000	0.2	21.459329
0.643333	0.2	21.096758
0.646667	0.2	20.751313
0.650000	0.2	20.421846
0.653333	0.2	20.106693
0.656667	0.2	19.804198
0.660000	0.2	19.513355
0.663333	0.2	19.233756
0.666667	0.2	18.965064
