File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/281.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	702
Injection Number	32
Position	RC4
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	2/1/2019
Injection Time	5:57:12 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.002587
Signal Max.	720.763503
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	0.000034
0.006667	0.2	0.000195
0.010000	0.2	0.000421
0.013333	0.2	0.000235
0.016667	0.2	-0.000775
0.020000	0.2	-0.002101
0.023333	0.2	-0.002587
0.026667	0.2	-0.001658
0.030000	0.2	0.000347
0.033333	0.2	0.002919
0.036667	0.2	0.005657
0.040000	0.2	0.007913
0.043333	0.2	0.008945
0.046667	0.2	0.008545
0.050000	0.2	0.007161
0.053333	0.2	0.005434
0.056667	0.2	0.003826
0.060000	0.2	0.002582
0.063333	0.2	0.001791
0.066667	0.2	0.001502
0.070000	0.2	0.001975
0.073333	0.2	0.003566
0.076667	0.2	0.006200
0.080000	0.2	0.009171
0.083333	0.2	0.011590
0.086667	0.2	0.012998
0.090000	0.2	0.013432
0.093333	0.2	0.013015
0.096667	0.2	0.011901
0.100000	0.2	0.010503
0.103333	0.2	0.009216
0.106667	0.2	0.008006
0.110000	0.2	0.006569
0.113333	0.2	0.004740
0.116667	0.2	0.002719
0.120000	0.2	0.001038
0.123333	0.2	0.000311
0.126667	0.2	0.000842
0.130000	0.2	0.002367
0.133333	0.2	0.004417
0.136667	0.2	0.006777
0.140000	0.2	0.009225
0.143333	0.2	0.011217
0.146667	0.2	0.012319
0.150000	0.2	0.012600
0.153333	0.2	0.012381
0.156667	0.2	0.012116
0.160000	0.2	0.012629
0.163333	0.2	0.014816
0.166667	0.2	0.018889
0.170000	0.2	0.024123
0.173333	0.2	0.029641
0.176667	0.2	0.037143
0.180000	0.2	0.056845
0.183333	0.2	0.114705
0.186667	0.2	0.253012
0.190000	0.2	0.517066
0.193333	0.2	0.930960
0.196667	0.2	1.475545
0.200000	0.2	2.083394
0.203333	0.2	2.656468
0.206667	0.2	3.097776
0.210000	0.2	3.341460
0.213333	0.2	3.369713
0.216667	0.2	3.213182
0.220000	0.2	2.938985
0.223333	0.2	2.634543
0.226667	0.2	2.394523
0.230000	0.2	2.314575
0.233333	0.2	2.491749
0.236667	0.2	3.028475
0.240000	0.2	4.035919
0.243333	0.2	5.634062
0.246667	0.2	7.949380
0.250000	0.2	11.115283
0.253333	0.2	15.283335
0.256667	0.2	20.653123
0.260000	0.2	27.525943
0.263333	0.2	36.385964
0.266667	0.2	48.011883
0.270000	0.2	63.611751
0.273333	0.2	84.941489
0.276667	0.2	114.321604
0.280000	0.2	154.445480
0.283333	0.2	207.901932
