File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/75953.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	749.1
Injection Number	366
Position	BF12
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	6/13/2019
Injection Time	5:32:25 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.016358
Signal Max.	969.815035
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000063
0.006667	0.2	-0.000417
0.010000	0.2	-0.001339
0.013333	0.2	-0.002896
0.016667	0.2	-0.004964
0.020000	0.2	-0.007298
0.023333	0.2	-0.009539
0.026667	0.2	-0.011537
0.030000	0.2	-0.013456
0.033333	0.2	-0.015180
0.036667	0.2	-0.016193
0.040000	0.2	-0.016358
0.043333	0.2	-0.016080
0.046667	0.2	-0.015561
0.050000	0.2	-0.014666
0.053333	0.2	-0.013410
0.056667	0.2	-0.012009
0.060000	0.2	-0.010620
0.063333	0.2	-0.009242
0.066667	0.2	-0.007961
0.070000	0.2	-0.007270
0.073333	0.2	-0.007777
0.076667	0.2	-0.009441
0.080000	0.2	-0.011310
0.083333	0.2	-0.012214
0.086667	0.2	-0.011682
0.090000	0.2	-0.010118
0.093333	0.2	-0.008336
0.096667	0.2	-0.007105
0.100000	0.2	-0.006929
0.103333	0.2	-0.007937
0.106667	0.2	-0.009630
0.110000	0.2	-0.010984
0.113333	0.2	-0.011338
0.116667	0.2	-0.010942
0.120000	0.2	-0.010595
0.123333	0.2	-0.011016
0.126667	0.2	-0.012360
0.130000	0.2	-0.014166
0.133333	0.2	-0.015651
0.136667	0.2	-0.015989
0.140000	0.2	-0.014633
0.143333	0.2	-0.011577
0.146667	0.2	-0.007674
0.150000	0.2	-0.004544
0.153333	0.2	-0.003467
0.156667	0.2	-0.004406
0.160000	0.2	-0.006333
0.163333	0.2	-0.008076
0.166667	0.2	-0.008607
0.170000	0.2	-0.006206
0.173333	0.2	0.005208
0.176667	0.2	0.043522
0.180000	0.2	0.145075
0.183333	0.2	0.361879
0.186667	0.2	0.744388
0.190000	0.2	1.314401
0.193333	0.2	2.041751
0.196667	0.2	2.840006
0.200000	0.2	3.587498
0.203333	0.2	4.165314
0.206667	0.2	4.493858
0.210000	0.2	4.552300
0.213333	0.2	4.376587
0.216667	0.2	4.042244
0.220000	0.2	3.642576
0.223333	0.2	3.270879
0.226667	0.2	3.010466
0.230000	0.2	2.932964
0.233333	0.2	3.102544
0.236667	0.2	3.581103
0.240000	0.2	4.430322
0.243333	0.2	5.710647
0.246667	0.2	7.480844
0.250000	0.2	9.802876
0.253333	0.2	12.754742
0.256667	0.2	16.451394
0.260000	0.2	21.075320
0.263333	0.2	26.923550
0.266667	0.2	34.482286
0.270000	0.2	44.542474
0.273333	0.2	58.372374
0.276667	0.2	77.966080
0.280000	0.2	106.350420
0.283333	0.2	147.789185
0.286667	0.2	207.490071
0.290000	0.2	290.216441
0.293333	0.2	397.476307
0.296667	0.2	524.371080
0.300000	0.2	658.691776
0.303333	0.2	783.789916
0.306667	0.2	883.617961
0.310000	0.2	947.020575
0.313333	0.2	969.815035
0.316667	0.2	954.750506
0.320000	0.2	909.864791
0.323333	0.2	845.969279
0.326667	0.2	774.213416
0.330000	0.2	704.283280
0.333333	0.2	643.128724
0.336667	0.2	594.166940
0.340000	0.2	557.316482
0.343333	0.2	529.972022
0.346667	0.2	508.422551
0.350000	0.2	489.125084
0.353333	0.2	469.644806
0.356667	0.2	449.278453
0.360000	0.2	429.132254
0.363333	0.2	411.315993
0.366667	0.2	397.489633
0.370000	0.2	387.692217
0.373333	0.2	380.210990
0.376667	0.2	372.383199
0.380000	0.2	361.676383
0.383333	0.2	346.491686
0.386667	0.2	326.472735
0.390000	0.2	302.372252
0.393333	0.2	275.658970
0.396667	0.2	248.057447
0.400000	0.2	221.160006
0.403333	0.2	196.181565
0.406667	0.2	173.867663
0.410000	0.2	154.524460
0.413333	0.2	138.120373
0.416667	0.2	124.408936
0.420000	0.2	113.037928
0.423333	0.2	103.629947
0.426667	0.2	95.831744
0.430000	0.2	89.337616
0.433333	0.2	83.896372
0.436667	0.2	79.308632
0.440000	0.2	75.418770
0.443333	0.2	72.104957
0.446667	0.2	69.269211
0.450000	0.2	66.829255
0.453333	0.2	64.713780
0.456667	0.2	62.861225
0.460000	0.2	61.220405
0.463333	0.2	59.751034
0.466667	0.2	58.423507
0.470000	0.2	57.217823
0.473333	0.2	56.121277
0.476667	0.2	55.125211
0.480000	0.2	54.221683
0.483333	0.2	53.400495
0.486667	0.2	52.647611
0.490000	0.2	51.946280
0.493333	0.2	51.280033
0.496667	0.2	50.634980
0.500000	0.2	49.999918
0.503333	0.2	49.365154
0.506667	0.2	48.721149
0.510000	0.2	48.057275
0.513333	0.2	47.361257
0.516667	0.2	46.620148
0.520000	0.2	45.822913
0.523333	0.2	44.963540
0.526667	0.2	44.043339
0.530000	0.2	43.071376
0.533333	0.2	42.062466
0.536667	0.2	41.033954
0.540000	0.2	40.003021
0.543333	0.2	38.984260
0.546667	0.2	37.987736
0.550000	0.2	37.018907
0.553333	0.2	36.079953
0.556667	0.2	35.171215
0.560000	0.2	34.292502
0.563333	0.2	33.443956
0.566667	0.2	32.626426
0.570000	0.2	31.841798
0.573333	0.2	31.093317
0.576667	0.2	30.385721
0.580000	0.2	29.724679
0.583333	0.2	29.115306
0.586667	0.2	28.560752
0.590000	0.2	28.061750
0.593333	0.2	27.616770
0.596667	0.2	27.221989
0.600000	0.2	26.871144
0.603333	0.2	26.555766
0.606667	0.2	26.266049
0.610000	0.2	25.992130
0.613333	0.2	25.725072
0.616667	0.2	25.457591
0.620000	0.2	25.184676
0.623333	0.2	24.903847
0.626667	0.2	24.614945
0.630000	0.2	24.319076
0.633333	0.2	24.017282
0.636667	0.2	23.710328
0.640000	0.2	23.399239
0.643333	0.2	23.085393
0.646667	0.2	22.770274
0.650000	0.2	22.455544
0.653333	0.2	22.143216
0.656667	0.2	21.835439
0.660000	0.2	21.534235
0.663333	0.2	21.241532
0.666667	0.2	20.958889
0.670000	0.2	20.686817
0.673333	0.2	20.424462
0.676667	0.2	20.169914
0.680000	0.2	19.920781
0.683333	0.2	19.674799
0.686667	0.2	19.430354
0.690000	0.2	19.186933
0.693333	0.2	18.945605
0.696667	0.2	18.709094
0.700000	0.2	18.481266
0.703333	0.2	18.266604
0.706667	0.2	18.069730
0.710000	0.2	17.894790
0.713333	0.2	17.744561
0.716667	0.2	17.619446
0.720000	0.2	17.517364
0.723333	0.2	17.434210
0.726667	0.2	17.363879
0.730000	0.2	17.298820
0.733333	0.2	17.231593
0.736667	0.2	17.155960
0.740000	0.2	17.067072
0.743333	0.2	16.961542
0.746667	0.2	16.837545
0.750000	0.2	16.694779
0.753333	0.2	16.534311
0.756667	0.2	16.358145
0.760000	0.2	16.168429
0.763333	0.2	15.966872
0.766667	0.2	15.754962
0.770000	0.2	15.534473
0.773333	0.2	15.307786
0.776667	0.2	15.078119
0.780000	0.2	14.849352
0.783333	0.2	14.625341
0.786667	0.2	14.409170
0.790000	0.2	14.202881
0.793333	0.2	14.007836
0.796667	0.2	13.825188
0.800000	0.2	13.655779
0.803333	0.2	13.499550
0.806667	0.2	13.355216
0.810000	0.2	13.220888
0.813333	0.2	13.095022
0.816667	0.2	12.976597
0.820000	0.2	12.864690
0.823333	0.2	12.758257
0.826667	0.2	12.656267
0.830000	0.2	12.557762
0.833333	0.2	12.461782
0.836667	0.2	12.367845
0.840000	0.2	12.276854
0.843333	0.2	12.190927
0.846667	0.2	12.112154
0.850000	0.2	12.042052
0.853333	0.2	11.982052
0.856667	0.2	11.933610
0.860000	0.2	11.897365
0.863333	0.2	11.872389
0.866667	0.2	11.856428
0.870000	0.2	11.846703
0.873333	0.2	11.840644
0.876667	0.2	11.836123
0.880000	0.2	11.830982
0.883333	0.2	11.822507
0.886667	0.2	11.807706
0.890000	0.2	11.784324
0.893333	0.2	11.751598
0.896667	0.2	11.709906
0.900000	0.2	11.659924
0.903333	0.2	11.602119
0.906667	0.2	11.536666
0.910000	0.2	11.463443
0.913333	0.2	11.381827
0.916667	0.2	11.290868
0.920000	0.2	11.190040
0.923333	0.2	11.079667
0.926667	0.2	10.960721
0.930000	0.2	10.834593
