File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/873.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	801.1P
Injection Number	210
Position	BB1
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	3/20/2019
Injection Time	8:04:15 PM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.017466
Signal Max.	657.941497
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000064
0.006667	0.2	-0.000434
0.010000	0.2	-0.001418
0.013333	0.2	-0.003106
0.016667	0.2	-0.005431
0.020000	0.2	-0.008316
0.023333	0.2	-0.011379
0.026667	0.2	-0.013899
0.030000	0.2	-0.015482
0.033333	0.2	-0.016419
0.036667	0.2	-0.017145
0.040000	0.2	-0.017466
0.043333	0.2	-0.016668
0.046667	0.2	-0.014546
0.050000	0.2	-0.011915
0.053333	0.2	-0.009862
0.056667	0.2	-0.008976
0.060000	0.2	-0.009250
0.063333	0.2	-0.010208
0.066667	0.2	-0.011096
0.070000	0.2	-0.011236
0.073333	0.2	-0.010528
0.076667	0.2	-0.009542
0.080000	0.2	-0.008823
0.083333	0.2	-0.008408
0.086667	0.2	-0.008253
0.090000	0.2	-0.008492
0.093333	0.2	-0.009055
0.096667	0.2	-0.009701
0.100000	0.2	-0.010507
0.103333	0.2	-0.011709
0.106667	0.2	-0.013116
0.110000	0.2	-0.014190
0.113333	0.2	-0.014675
0.116667	0.2	-0.014805
0.120000	0.2	-0.014995
0.123333	0.2	-0.015371
0.126667	0.2	-0.015760
0.130000	0.2	-0.016076
0.133333	0.2	-0.016358
0.136667	0.2	-0.016601
0.140000	0.2	-0.016733
0.143333	0.2	-0.016608
0.146667	0.2	-0.016077
0.150000	0.2	-0.015057
0.153333	0.2	-0.013466
0.156667	0.2	-0.011304
0.160000	0.2	-0.009033
0.163333	0.2	-0.007645
0.166667	0.2	-0.007887
0.170000	0.2	-0.008946
0.173333	0.2	-0.005580
0.176667	0.2	0.020864
0.180000	0.2	0.120663
0.183333	0.2	0.393197
0.186667	0.2	0.980132
0.190000	0.2	2.017150
0.193333	0.2	3.557077
0.196667	0.2	5.508039
0.200000	0.2	7.630940
0.203333	0.2	9.605824
0.206667	0.2	11.135006
0.210000	0.2	12.033024
0.213333	0.2	12.267481
0.216667	0.2	11.945364
0.220000	0.2	11.264098
0.223333	0.2	10.454270
0.226667	0.2	9.734451
0.230000	0.2	9.286636
0.233333	0.2	9.250595
0.236667	0.2	9.729652
0.240000	0.2	10.800290
0.243333	0.2	12.522493
0.246667	0.2	14.951849
0.250000	0.2	18.155788
0.253333	0.2	22.235048
0.256667	0.2	27.349139
0.260000	0.2	33.745936
0.263333	0.2	41.799837
0.266667	0.2	52.063570
0.270000	0.2	65.331715
0.273333	0.2	82.700160
0.276667	0.2	105.592597
0.280000	0.2	135.724241
0.283333	0.2	174.980399
0.286667	0.2	225.175899
0.290000	0.2	287.520843
0.293333	0.2	361.411536
0.296667	0.2	442.703580
0.300000	0.2	522.997660
0.303333	0.2	591.443154
0.306667	0.2	638.301099
0.310000	0.2	657.941497
0.313333	0.2	649.879974
0.316667	0.2	618.118207
0.320000	0.2	569.617905
0.323333	0.2	512.492172
0.326667	0.2	454.405275
0.330000	0.2	401.583372
0.333333	0.2	358.332174
0.336667	0.2	326.686197
0.340000	0.2	306.246498
0.343333	0.2	294.607904
0.346667	0.2	288.409870
0.350000	0.2	284.534464
0.353333	0.2	280.999343
0.356667	0.2	277.412995
0.360000	0.2	274.888247
0.363333	0.2	275.181545
0.366667	0.2	279.188852
0.370000	0.2	285.714693
0.373333	0.2	291.564815
0.376667	0.2	292.966313
0.380000	0.2	287.233505
0.383333	0.2	273.662813
0.386667	0.2	253.443456
0.390000	0.2	228.950412
0.393333	0.2	202.892127
0.396667	0.2	177.635514
0.400000	0.2	154.834105
0.403333	0.2	135.342974
0.406667	0.2	119.334920
0.410000	0.2	106.516218
0.413333	0.2	96.353910
0.416667	0.2	88.257173
0.420000	0.2	81.691490
0.423333	0.2	76.231894
0.426667	0.2	71.572496
0.430000	0.2	67.510004
0.433333	0.2	63.916927
0.436667	0.2	60.715789
0.440000	0.2	57.859167
0.443333	0.2	55.315445
0.446667	0.2	53.059061
0.450000	0.2	51.064912
0.453333	0.2	49.306020
0.456667	0.2	47.752874
0.460000	0.2	46.373653
0.463333	0.2	45.135489
0.466667	0.2	44.006817
0.470000	0.2	42.960136
0.473333	0.2	41.974029
0.476667	0.2	41.033824
0.480000	0.2	40.130947
0.483333	0.2	39.261200
0.486667	0.2	38.423044
0.490000	0.2	37.616946
0.493333	0.2	36.844998
