File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/66966.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	805.4
Injection Number	527
Position	BD1
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	6/22/2019
Injection Time	11:12:57 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.003936
Signal Max.	729.250066
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	0.000025
0.006667	0.2	0.000188
0.010000	0.2	0.000639
0.013333	0.2	0.001310
0.016667	0.2	0.001796
0.020000	0.2	0.001640
0.023333	0.2	0.000836
0.026667	0.2	0.000005
0.030000	0.2	-0.000127
0.033333	0.2	0.000587
0.036667	0.2	0.001579
0.040000	0.2	0.002219
0.043333	0.2	0.002360
0.046667	0.2	0.002198
0.050000	0.2	0.002123
0.053333	0.2	0.002492
0.056667	0.2	0.003127
0.060000	0.2	0.003455
0.063333	0.2	0.003235
0.066667	0.2	0.002831
0.070000	0.2	0.002691
0.073333	0.2	0.002850
0.076667	0.2	0.003001
0.080000	0.2	0.002571
0.083333	0.2	0.001140
0.086667	0.2	-0.000866
0.090000	0.2	-0.002582
0.093333	0.2	-0.003636
0.096667	0.2	-0.003936
0.100000	0.2	-0.003105
0.103333	0.2	-0.000971
0.106667	0.2	0.001957
0.110000	0.2	0.005016
0.113333	0.2	0.007704
0.116667	0.2	0.009609
0.120000	0.2	0.010763
0.123333	0.2	0.011628
0.126667	0.2	0.012458
0.130000	0.2	0.013053
0.133333	0.2	0.013003
0.136667	0.2	0.012030
0.140000	0.2	0.010133
0.143333	0.2	0.007478
0.146667	0.2	0.004501
0.150000	0.2	0.002043
0.153333	0.2	0.000838
0.156667	0.2	0.000897
0.160000	0.2	0.001716
0.163333	0.2	0.002618
0.166667	0.2	0.002721
0.170000	0.2	0.001565
0.173333	0.2	-0.000144
0.176667	0.2	-0.001301
0.180000	0.2	-0.001603
0.183333	0.2	-0.001534
0.186667	0.2	-0.001511
0.190000	0.2	-0.000117
0.193333	0.2	0.010668
0.196667	0.2	0.055214
0.200000	0.2	0.185937
0.203333	0.2	0.485140
0.206667	0.2	1.042982
0.210000	0.2	1.911320
0.213333	0.2	3.056246
0.216667	0.2	4.342356
0.220000	0.2	5.565581
0.223333	0.2	6.520570
0.226667	0.2	7.068052
0.230000	0.2	7.172208
0.233333	0.2	6.900676
0.236667	0.2	6.401090
0.240000	0.2	5.876750
0.243333	0.2	5.580768
0.246667	0.2	5.836260
0.250000	0.2	7.072432
0.253333	0.2	9.849918
0.256667	0.2	14.848472
0.260000	0.2	22.815671
0.263333	0.2	34.511364
0.266667	0.2	50.697463
0.270000	0.2	72.195918
0.273333	0.2	99.979566
0.276667	0.2	135.216790
