File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/10527.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	807.1AU
Injection Number	290
Position	BH9
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	3/22/2019
Injection Time	1:45:26 PM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.014614
Signal Max.	638.433287
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000007
0.006667	0.2	-0.000079
0.010000	0.2	-0.000347
0.013333	0.2	-0.000903
0.016667	0.2	-0.001781
0.020000	0.2	-0.003114
0.023333	0.2	-0.004918
0.026667	0.2	-0.006688
0.030000	0.2	-0.007633
0.033333	0.2	-0.007406
0.036667	0.2	-0.006242
0.040000	0.2	-0.004440
0.043333	0.2	-0.002263
0.046667	0.2	-0.000316
0.050000	0.2	0.000643
0.053333	0.2	0.000403
0.056667	0.2	-0.000670
0.060000	0.2	-0.002126
0.063333	0.2	-0.003675
0.066667	0.2	-0.005249
0.070000	0.2	-0.006884
0.073333	0.2	-0.008401
0.076667	0.2	-0.009414
0.080000	0.2	-0.009717
0.083333	0.2	-0.009496
0.086667	0.2	-0.009037
0.090000	0.2	-0.008395
0.093333	0.2	-0.007460
0.096667	0.2	-0.006363
0.100000	0.2	-0.005664
0.103333	0.2	-0.005940
0.106667	0.2	-0.007348
0.110000	0.2	-0.009620
0.113333	0.2	-0.012002
0.116667	0.2	-0.013359
0.120000	0.2	-0.013121
0.123333	0.2	-0.011918
0.126667	0.2	-0.010811
0.130000	0.2	-0.010255
0.133333	0.2	-0.010140
0.136667	0.2	-0.010407
0.140000	0.2	-0.011132
0.143333	0.2	-0.012201
0.146667	0.2	-0.013295
0.150000	0.2	-0.014132
0.153333	0.2	-0.014566
0.156667	0.2	-0.014614
0.160000	0.2	-0.014310
0.163333	0.2	-0.013608
0.166667	0.2	-0.012476
0.170000	0.2	-0.009924
0.173333	0.2	-0.000516
0.176667	0.2	0.031545
0.180000	0.2	0.118061
0.183333	0.2	0.305281
0.186667	0.2	0.638862
0.190000	0.2	1.138972
0.193333	0.2	1.779421
0.196667	0.2	2.485136
0.200000	0.2	3.151882
0.203333	0.2	3.679065
0.206667	0.2	4.000038
0.210000	0.2	4.097716
0.213333	0.2	4.002716
0.216667	0.2	3.779362
0.220000	0.2	3.507961
0.223333	0.2	3.270069
0.226667	0.2	3.140069
0.230000	0.2	3.183097
0.233333	0.2	3.456324
0.236667	0.2	4.010256
0.240000	0.2	4.889129
0.243333	0.2	6.131146
0.246667	0.2	7.770577
0.250000	0.2	9.845374
0.253333	0.2	12.412174
0.256667	0.2	15.566847
0.260000	0.2	19.469191
0.263333	0.2	24.374201
0.266667	0.2	30.675712
