File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/306.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	925
Injection Number	181
Position	BG6
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	2/7/2019
Injection Time	5:10:03 AM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.005756
Signal Max.	1,062.150784
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000026
0.006667	0.2	-0.000135
0.010000	0.2	-0.000350
0.013333	0.2	-0.000666
0.016667	0.2	-0.001056
0.020000	0.2	-0.001410
0.023333	0.2	-0.001668
0.026667	0.2	-0.001870
0.030000	0.2	-0.001975
0.033333	0.2	-0.001842
0.036667	0.2	-0.001360
0.040000	0.2	-0.000564
0.043333	0.2	0.000399
0.046667	0.2	0.001499
0.050000	0.2	0.002712
0.053333	0.2	0.003725
0.056667	0.2	0.004234
0.060000	0.2	0.004333
0.063333	0.2	0.004262
0.066667	0.2	0.004154
0.070000	0.2	0.004149
0.073333	0.2	0.004416
0.076667	0.2	0.004939
0.080000	0.2	0.005394
0.083333	0.2	0.005457
0.086667	0.2	0.005119
0.090000	0.2	0.004590
0.093333	0.2	0.004013
0.096667	0.2	0.003351
0.100000	0.2	0.002503
0.103333	0.2	0.001452
0.106667	0.2	0.000392
0.110000	0.2	-0.000257
0.113333	0.2	-0.000307
0.116667	0.2	-0.000178
0.120000	0.2	-0.000380
0.123333	0.2	-0.000878
0.126667	0.2	-0.001370
0.130000	0.2	-0.001795
0.133333	0.2	-0.002289
0.136667	0.2	-0.002991
0.140000	0.2	-0.004002
0.143333	0.2	-0.005124
0.146667	0.2	-0.005756
0.150000	0.2	-0.005364
0.153333	0.2	-0.003968
0.156667	0.2	-0.002148
0.160000	0.2	-0.000438
0.163333	0.2	0.001224
0.166667	0.2	0.003201
0.170000	0.2	0.005658
0.173333	0.2	0.008401
0.176667	0.2	0.011001
0.180000	0.2	0.013367
0.183333	0.2	0.016280
0.186667	0.2	0.021119
0.190000	0.2	0.029084
0.193333	0.2	0.040939
0.196667	0.2	0.058280
0.200000	0.2	0.086877
0.203333	0.2	0.140175
0.206667	0.2	0.238988
0.210000	0.2	0.404803
0.213333	0.2	0.648176
0.216667	0.2	0.958064
0.220000	0.2	1.299598
0.223333	0.2	1.626182
0.226667	0.2	1.907760
0.230000	0.2	2.173538
0.233333	0.2	2.566339
0.236667	0.2	3.400689
0.240000	0.2	5.205325
0.243333	0.2	8.721893
0.246667	0.2	14.835856
0.250000	0.2	24.437668
0.253333	0.2	38.244774
0.256667	0.2	56.644929
0.260000	0.2	79.636335
0.263333	0.2	106.930030
0.266667	0.2	138.240083
0.270000	0.2	173.719834
0.273333	0.2	214.415401
0.276667	0.2	262.525223
0.280000	0.2	321.238519
0.283333	0.2	394.028696
0.286667	0.2	483.447839
0.290000	0.2	589.536101
0.293333	0.2	708.003705
0.296667	0.2	828.973960
0.300000	0.2	937.915541
0.303333	0.2	1,019.447671
0.306667	0.2	1,062.150784
0.310000	0.2	1,061.593782
0.313333	0.2	1,020.519639
0.316667	0.2	947.044248
0.320000	0.2	852.140360
0.323333	0.2	747.277985
0.326667	0.2	642.717085
0.330000	0.2	546.529348
0.333333	0.2	464.061235
0.336667	0.2	397.666603
0.340000	0.2	346.895849
0.343333	0.2	309.289868
0.346667	0.2	281.526484
0.350000	0.2	260.463772
0.353333	0.2	243.814717
0.356667	0.2	230.449861
0.360000	0.2	220.341502
0.363333	0.2	214.074787
0.366667	0.2	211.998951
0.370000	0.2	213.441808
0.373333	0.2	216.534439
0.376667	0.2	218.792915
0.380000	0.2	218.028742
0.383333	0.2	213.021243
0.386667	0.2	203.696552
0.390000	0.2	190.893411
0.393333	0.2	175.935564
0.396667	0.2	160.210605
0.400000	0.2	144.870588
0.403333	0.2	130.688373
0.406667	0.2	118.049820
0.410000	0.2	107.033767
0.413333	0.2	97.525736
0.416667	0.2	89.324146
0.420000	0.2	82.217954
0.423333	0.2	76.030496
0.426667	0.2	70.633213
0.430000	0.2	65.939000
0.433333	0.2	61.887571
0.436667	0.2	58.431716
0.440000	0.2	55.528055
0.443333	0.2	53.132067
0.446667	0.2	51.195216
0.450000	0.2	49.662946
0.453333	0.2	48.473759
0.456667	0.2	47.560156
0.460000	0.2	46.852771
0.463333	0.2	46.288389
0.466667	0.2	45.820832
0.470000	0.2	45.432019
0.473333	0.2	45.137964
0.476667	0.2	44.983681
0.480000	0.2	45.026485
0.483333	0.2	45.313667
0.486667	0.2	45.862348
0.490000	0.2	46.648736
0.493333	0.2	47.610018
0.496667	0.2	48.656028
0.500000	0.2	49.685433
0.503333	0.2	50.602479
0.506667	0.2	51.331524
0.510000	0.2	51.827361
0.513333	0.2	52.080728
0.516667	0.2	52.119825
0.520000	0.2	52.009321
0.523333	0.2	51.847387
0.526667	0.2	51.759773
0.530000	0.2	51.890107
0.533333	0.2	52.385980
0.536667	0.2	53.380435
0.540000	0.2	54.971103
0.543333	0.2	57.201316
0.546667	0.2	60.047878
0.550000	0.2	63.420116
0.553333	0.2	67.171941
0.556667	0.2	71.124024
0.560000	0.2	75.091046
0.563333	0.2	78.908464
0.566667	0.2	82.452824
0.570000	0.2	85.651188
0.573333	0.2	88.478488
0.576667	0.2	90.944130
0.580000	0.2	93.072155
0.583333	0.2	94.881891
0.586667	0.2	96.374631
0.590000	0.2	97.527957
0.593333	0.2	98.297775
0.596667	0.2	98.627237
0.600000	0.2	98.458978
0.603333	0.2	97.746356
0.606667	0.2	96.461321
0.610000	0.2	94.598370
0.613333	0.2	92.175291
0.616667	0.2	89.231932
0.620000	0.2	85.827713
0.623333	0.2	82.038017
0.626667	0.2	77.949697
0.630000	0.2	73.656266
0.633333	0.2	69.253281
0.636667	0.2	64.833785
0.640000	0.2	60.483565
