File Path	chrom://thermoelectronn/ChromeleonLocal/Visitors/Micah/2019 experiment/2019_1_31_samples.seq/557.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	940.1
Injection Number	167
Position	BF4
Comment	
Processing Method	Micah Cardenolides
Instrument Method	Cardenolide_test_equilibrate_charles
Type	Unknown
Status	Finished
Injection Date	2/6/2019
Injection Time	9:53:34 PM
Injection Volume (µl)	2.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	25.003333
Data Points	7502
Detector	UV
Generating Data System	Chromeleon 7.2.4.8525
Exporting Data System	Chromeleon 7.2.4.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.001233
Signal Max.	1,055.195231
Channel	UV_VIS_1
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:220 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000044
0.006667	0.2	-0.000256
0.010000	0.2	-0.000671
0.013333	0.2	-0.001079
0.016667	0.2	-0.001233
0.020000	0.2	-0.001090
0.023333	0.2	-0.000779
0.026667	0.2	-0.000419
0.030000	0.2	0.000175
0.033333	0.2	0.001575
0.036667	0.2	0.004162
0.040000	0.2	0.007461
0.043333	0.2	0.010342
0.046667	0.2	0.011754
0.050000	0.2	0.011373
0.053333	0.2	0.009792
0.056667	0.2	0.007945
0.060000	0.2	0.006318
0.063333	0.2	0.004961
0.066667	0.2	0.004047
0.070000	0.2	0.003909
0.073333	0.2	0.004666
0.076667	0.2	0.006132
0.080000	0.2	0.007978
0.083333	0.2	0.009850
0.086667	0.2	0.011303
0.090000	0.2	0.011724
0.093333	0.2	0.010764
0.096667	0.2	0.008856
0.100000	0.2	0.006852
0.103333	0.2	0.005320
0.106667	0.2	0.004434
0.110000	0.2	0.004127
0.113333	0.2	0.004193
0.116667	0.2	0.004432
0.120000	0.2	0.004598
0.123333	0.2	0.004491
0.126667	0.2	0.004296
0.130000	0.2	0.004345
0.133333	0.2	0.004545
0.136667	0.2	0.004520
0.140000	0.2	0.004218
0.143333	0.2	0.003923
0.146667	0.2	0.003774
0.150000	0.2	0.003544
0.153333	0.2	0.003021
0.156667	0.2	0.002533
0.160000	0.2	0.002848
0.163333	0.2	0.004474
0.166667	0.2	0.007155
0.170000	0.2	0.010085
0.173333	0.2	0.012580
0.176667	0.2	0.014419
0.180000	0.2	0.015734
0.183333	0.2	0.016692
0.186667	0.2	0.017216
0.190000	0.2	0.017344
0.193333	0.2	0.018304
0.196667	0.2	0.023893
0.200000	0.2	0.041642
0.203333	0.2	0.082522
0.206667	0.2	0.158112
0.210000	0.2	0.275377
0.213333	0.2	0.431149
0.216667	0.2	0.610045
0.220000	0.2	0.787888
0.223333	0.2	0.938952
0.226667	0.2	1.044456
0.230000	0.2	1.101718
0.233333	0.2	1.134627
0.236667	0.2	1.206431
0.240000	0.2	1.437577
0.243333	0.2	2.031050
0.246667	0.2	3.300382
0.250000	0.2	5.686106
0.253333	0.2	9.744870
0.256667	0.2	16.107440
0.260000	0.2	25.428610
0.263333	0.2	38.376505
0.266667	0.2	55.705706
0.270000	0.2	78.424515
0.273333	0.2	108.017833
0.276667	0.2	146.651350
0.280000	0.2	197.261385
0.283333	0.2	263.388761
0.286667	0.2	348.524897
0.290000	0.2	454.600321
0.293333	0.2	579.458620
0.296667	0.2	714.473666
0.300000	0.2	844.771459
0.303333	0.2	953.154561
0.306667	0.2	1,025.612703
0.310000	0.2	1,055.195231
0.313333	0.2	1,042.849936
0.316667	0.2	995.861347
0.320000	0.2	925.139375
0.323333	0.2	842.442537
0.326667	0.2	758.273434
0.330000	0.2	680.620709
0.333333	0.2	614.302375
0.336667	0.2	560.810037
0.340000	0.2	518.823498
0.343333	0.2	485.366303
0.346667	0.2	457.154209
0.350000	0.2	431.640982
0.353333	0.2	407.603407
0.356667	0.2	385.343959
0.360000	0.2	366.461394
0.363333	0.2	353.013494
0.366667	0.2	346.220195
0.370000	0.2	345.399513
0.373333	0.2	347.874702
0.376667	0.2	349.909998
0.380000	0.2	348.031122
0.383333	0.2	340.027381
0.386667	0.2	325.323779
0.390000	0.2	304.786296
0.393333	0.2	280.202720
0.396667	0.2	253.691491
0.400000	0.2	227.214583
0.403333	0.2	202.277975
0.406667	0.2	179.825384
0.410000	0.2	160.279703
0.413333	0.2	143.666183
0.416667	0.2	129.757292
0.420000	0.2	118.200091
0.423333	0.2	108.609105
0.426667	0.2	100.622874
0.430000	0.2	93.930568
0.433333	0.2	88.277812
0.436667	0.2	83.460877
0.440000	0.2	79.317054
0.443333	0.2	75.715987
0.446667	0.2	72.553289
0.450000	0.2	69.746027
0.453333	0.2	67.229879
0.456667	0.2	64.957738
0.460000	0.2	62.897995
0.463333	0.2	61.030468
0.466667	0.2	59.341146
0.470000	0.2	57.818216
0.473333	0.2	56.449189
0.476667	0.2	55.218589
0.480000	0.2	54.107653
0.483333	0.2	53.096060
0.486667	0.2	52.163746
0.490000	0.2	51.292393
0.493333	0.2	50.466898
0.496667	0.2	49.675871
0.500000	0.2	48.910486
0.503333	0.2	48.162429
0.506667	0.2	47.422165
0.510000	0.2	46.678217
0.513333	0.2	45.917446
0.516667	0.2	45.126002
0.520000	0.2	44.290925
0.523333	0.2	43.402471
0.526667	0.2	42.456018
0.530000	0.2	41.452609
0.533333	0.2	40.398604
0.536667	0.2	39.304865
0.540000	0.2	38.185512
0.543333	0.2	37.056651
0.546667	0.2	35.935278
0.550000	0.2	34.838224
0.553333	0.2	33.780569
0.556667	0.2	32.773953
