Index,Site,wingmass,pk6,pk8,pk9,pk11,pk13,pk21,pk28,pk33,pk39,pk42,pk51,pk56,pk59,pk62,pk65,pk71,pk78,Total,sex
1,Guam,8.7,0,0,0,0,0,0,0,0,0,0.666,0,0.1069,0,0,0.1859,0,0,0.9588,male
2,Guam,10.9,0,0,0,0.3598,0,0,0.3061,0,0,1.3202,0,0.5702,0,0,0.8524,0,0,3.4086,male
3,Guam,10,0,0,0,0,0,0,0,0,0,0.381,0,0,0,0,0.2045,0,0,0.5855,male
4,Guam,10.4,0,0.0449,0,0.2555,0,0,0,0,0.0285,1.0641,0,0.4431,0,0,0.5539,0.0369,0.0434,2.4703,male
5,Guam,3.6,0,0,0,0,0,0,0,0,0,0.4028,0,0,0,0,0,0,0,0.4028,male
6,Guam,7.9,0,0,0,0,0,0,0,0,0,0.5384,0,0,0,0,0.1638,0,0,0.7022,male
7,Guam,9.9,0.4806,0,0,0.1471,0,0,0,0,0,0.7897,0,0.2369,0,0,0.3255,0,0,1.9798,male
8,Guam,9.6,0,0,0,0.2617,0,0,0,0,0,0.8776,0,0.251,0,0,0.3595,0,0,1.7498,male
9,Guam,8.5,0,0,0,0,0,0,0,0,0,0.4187,0,0,0,0,0.1082,0,0,0.5268,male
10,Guam,6.9,0,0,0,0,0,0,0,0,0,0.338,0,0,0,0,0.1895,0,0,0.5275,male
11,Guam,10.3,0.1187,0.1552,0,0.1637,0,0,0.4921,0,0.2142,1.1365,0,1.0977,0,0,0.9179,0,0.0395,4.3354,female
12,Guam,7.5,0,0,0,0.0687,0,0,0,0,0,0.6157,0,0.1979,0,0,0.2414,0,0,1.1237,female
13,Guam,7.9,0,0,0,0.123,0,0,0,0,0,0.6931,0,0,0,0,0.2267,0,0,1.0428,female
14,Guam,10.9,0,0,0,0.6686,0,0,0,0,0.1643,2.5413,0.1623,0.9896,0.1021,0,0.9379,0,0.041,5.6072,female
15,Guam,8.2,0,0,0,0.042,0,0,0,0,0,0.2617,0,0,0,0,0.1048,0,0,0.4085,female
16,Guam,9.9,0,0,0,0.065,0,0,0,0,0,0.1777,0,0.254,0,0,0.3835,0,0,0.8802,female
17,Guam,7.8,0,0,0,0.1626,0,0,0,0.0502,0,0.3862,0,0,0,0,0.2284,0,0,0.8275,female
18,Guam,8.3,0,0,0.0325,0.0356,0,0,0,0,0,0.3425,0,0.1023,0,0,0.211,0,0,0.7239,female
19,Guam,9.6,0.0487,0,0,0.092,0,0,0.0663,0,0.0479,0.9198,0,0.3634,0,0,0.311,0,0,1.849,female
20,Guam,8.3,0,0,0,0.5877,0,0,0.2995,0,0,3.6063,0,0.7824,0,0,0.6414,0.0447,0,5.9619,female
21,Guam,9.1,0,0,0,0.5538,0.1193,0,0.3215,0,0.3491,0.888,0.097,0.8878,0,0,0.746,0,0,3.9624,female
22,Guam,8.8,0,0,0,0.3324,0,0,0,0.036,0.0651,1.2073,0.0423,0.3341,0,0,0.4012,0,0,2.4184,female
23,Guam,8.1,0,0,0,0.1974,0,0,0.0805,0,0,1.1371,0,0.1832,0,0,0.3134,0.0526,0,1.9642,female
24,Guam,8.5,0.7541,0,0,1.3685,0.1493,0,0.843,0,0.1956,2.7828,0.3112,1.4707,0,0,1.5166,0,0,9.4064,female
25,Guam,9.7,0,0,0,0.0683,0,0,0,0,0,0.2375,0,0,0,0,0.1512,0,0,0.457,male
26,Guam,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1424,0,0,0.1424,male
27,Guam,8.5,0,0,0,0,0,0,0,0,0,0.7601,0,0,0,0,0.2266,0,0,0.9867,male
28,Guam,7.7,0,0,0,0.5385,0,0,0,0,0,1.5528,0,0.6939,0,0,0.7981,0,0,3.5833,male
29,Guam,9,0,0,0,0,0,0,0,0,0,0.4925,0,0,0,0,0.1725,0,0,0.6649,male
30,Guam,5.8,0,0,0.1225,0,0,0,0,0,0,0.549,0,0,0,0,0.2805,0,0,0.9519,male
31,Guam,7,0,0,0.0215,0.2782,0,0,0.1056,0,0,1.1774,0,0.5116,0,0,0.3203,0,0,2.4146,female
32,Guam,8.8,0,0,0,0.1681,0,0,0.0912,0,0,0.9045,0,0.319,0,0,0.3782,0,0,1.861,female
33,Guam,9.1,0,0,0,0.2651,0,0,0,0,0,0.998,0,0.3891,0,0,0.5637,0,0.0461,2.262,female
34,Guam,9.8,0.1154,0,0,0.5598,0,0,0,0,0.037,1.8637,0,0.7138,0,0,0.7456,0,0,4.0352,female
35,Guam,8,0,0,0.0387,0.5164,0,0,0.3032,0,0,0.8205,0.0913,0.4758,0,0,0.6373,0,0,2.8831,female
36,Guam,9.2,0,0,0,0.2384,0,0,0.2571,0,0,1.8432,0.0923,0.4832,0,0,0.4139,0,0,3.3282,male
37,Guam,10.1,0,0,0,0,0,0,0,0,0,0.2229,0,0,0,0,0.09,0,0,0.3129,male
38,Guam,9.9,0,0,0,0.5023,0,0,0,0,0,1.5643,0,0.3972,0,0,0.5019,0,0,2.9657,male
39,Guam,10.3,0,0,0,0,0,0,0,0.0359,0,0.7412,0,0,0,0,0.3275,0,0.0449,1.1494,male
40,Guam,9.1,0.2308,0,0,0.5628,0.0951,0,0.4062,0,0.1109,2.4027,0.1052,0.7812,0.0756,0,0.8745,0,0,5.645,male
41,Guam,7.8,0,0,0,0.1355,0,0,0,0,0,1.7615,0,0.6996,0,0,0.6885,0.0441,0.0432,3.3723,male
43,Guam,10.7,0,0,0,0.0929,0,0,0,0,0,0.6496,0,0,0,0,0.2111,0,0,0.9536,male
44,Guam,8.9,0.3873,0,0,0.4892,0,0,0.5177,0,0.0862,2.4267,0.1192,0.6408,0.0457,0,0.897,0,0,5.6098,female
45,Guam,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2712,0,0,0.2712,female
46,Guam,7.5,0,0,0,0,0,0,0,0,0,0.4164,0,0,0,0,0.151,0,0,0.5674,female
