Sample,Tissue,Species,Mass
3,Leaf,GOPH,8.977
5,Leaf,GOPH,6.454
7,Leaf,GOPH,6.465
9,Leaf,GOPH,8.08
11,Leaf,GOPH,6.593
12,Leaf,GOPH,6.584
13,Leaf,GOPH,8.762
15,Leaf,GOPH,8.377
17,Leaf,GOPH,7.112
20,Leaf,GOPH,9.735
23,Leaf,GOPH,7.337
29,Leaf,GOPH,7.438
31,Leaf,GOPH,8.878
33,Leaf,GOPH,7.196
35,Leaf,GOPH,5.799
36,Leaf,GOPH,7.302
37,Leaf,GOPH,8.005
38,Leaf,GOPH,5.712
39,Leaf,GOPH,6.61
41,Leaf,GOPH,7.602
42,Leaf,GOPH,11.008
46,Leaf,GOPH,8.575
47,Leaf,GOPH,5.824
49,Leaf,GOPH,10.18
52,Leaf,GOPH,6.853
53,Leaf,GOPH,6.913
54,Leaf,GOPH,7.768
55,Leaf,GOPH,6.238
57,Leaf,GOPH,6.685
60,Leaf,GOPH,7.245
62,Leaf,GOPH,7.447
67,Leaf,GOPH,7.487
72,Leaf,GOPH,8.315
75,Leaf,GOPH,7.843
76,Leaf,GOPH,7.597
80,Leaf,GOPH,9.013
82,Leaf,GOFR,7.616
89,Leaf,GOFR,8.519
90,Leaf,GOFR,5.43
92,Leaf,GOFR,9.233
94,Leaf,GOFR,4.8
98,Leaf,GOFR,7.328
101,Leaf,GOFR,6.959
103,Leaf,GOFR,7.687
L105,Leaf,GOFR,5.364
107,Leaf,GOFR,5.661
109,Leaf,GOFR,5.533
110,Leaf,GOFR,5.566
111,Leaf,GOFR,4.963
115,Leaf,GOFR,5.469
117,Leaf,GOFR,10.527
L119,Leaf,GOFR,5.002
120,Leaf,GOFR,5.761
L124,Leaf,GOFR,6.003
124.2,Leaf,GOFR,7.537
125,Leaf,GOFR,6.358
126,Leaf,GOFR,6.612
128.2,Leaf,GOFR,8.041
L129,Leaf,GOFR,4.883
130,Leaf,GOFR,5.895
L131,Leaf,GOFR,4.727
134,Leaf,GOFR,8.029
135,Leaf,GOFR,6.034
136,Leaf,GOFR,9.495
137,Leaf,GOFR,6.614
L138,Leaf,GOFR,6.317
L139,Leaf,GOFR,6.213
140,Leaf,GOFR,7.28
142,Leaf,GOFR,6.028
L143,Leaf,GOFR,6.943
148,Leaf,GOFR,5.709
150,Leaf,ASCU,5.83
151,Leaf,ASCU,4.881
154,Leaf,ASCU,7.337
155,Leaf,ASCU,6.818
156,Leaf,ASCU,5.124
158,Leaf,ASCU,6.525
160,Leaf,ASCU,5.92
162,Leaf,ASCU,6.597
165,Leaf,ASCU,6.793
168,Leaf,ASCU,5.548
171,Leaf,ASCU,5.453
172,Leaf,ASCU,5.751
173,Leaf,ASCU,3.335
177,Leaf,ASCU,4.315
178,Leaf,ASCU,5.771
184,Leaf,ASCU,5.976
185,Leaf,ASCU,6.819
186,Leaf,ASCU,5.246
187,Leaf,ASCU,6.001
191,Leaf,ASCU,5.927
195,Leaf,ASCU,5.779
196,Leaf,ASCU,6.823
197,Leaf,ASCU,5.3
200,Leaf,ASCU,7.073
202,Leaf,ASCU,6.247
203,Leaf,ASCU,7.468
205,Leaf,ASCU,6.901
209,Leaf,ASCU,8.012
212,Leaf,ASCU,5.779
216,Leaf,ASCU,6.529
217,Leaf,ASCU,4.496
218,Leaf,ASCU,6.437
224,Leaf,ASCU,5.806
227,Leaf,ASCU,5.334
229,Leaf,ASCU,6.715
230,Leaf,ASYR,5.486
231,Leaf,ASYR,5.299
232,Leaf,ASYR,5.299
234,Leaf,ASYR,5.553
239,Leaf,ASYR,3.743
240,Leaf,ASYR,8.85
241,Leaf,ASYR,5.28
242,Leaf,ASYR,6.513
244,Leaf,ASYR,6.23
245,Leaf,ASYR,7.961
246,Leaf,ASYR,6.269
247,Leaf,ASYR,6.522
251,Leaf,ASYR,5.876
252,Leaf,ASYR,8.329
255,Leaf,ASYR,9.041
256,Leaf,ASYR,6.578
257,Leaf,ASYR,5.359
259,Leaf,ASYR,3.522
262,Leaf,ASYR,4.954
263,Leaf,ASYR,8.756
264,Leaf,ASYR,6.279
265,Leaf,ASYR,6.715
267,Leaf,ASYR,7.089
269,Leaf,ASYR,5.949
271,Leaf,ASYR,4.29
272,Leaf,ASYR,3.537
273,Leaf,ASYR,4.464
276,Leaf,ASYR,5.851
277,Leaf,ASYR,5.296
279,Leaf,ASYR,6.848
280,Leaf,ASYR,7.079
282,Leaf,ASYR,6.02
L283,Leaf,ASFA,5.394
284,Leaf,ASFA,7.014
L285,Leaf,ASFA,7.931
286,Leaf,ASFA,7.017
287,Leaf,ASFA,7.094
288,Leaf,ASFA,5.404
289,Leaf,ASFA,7.298
290,Leaf,ASFA,6.43
291,Leaf,ASFA,8.181
292,Leaf,ASFA,5.829
293,Leaf,ASFA,8.119
294,Leaf,ASFA,5.457
295,Leaf,ASFA,7.437
297,Leaf,ASFA,7.041
298,Leaf,ASFA,8.526
299,Leaf,ASFA,10.804
300,Leaf,ASFA,7.174
302,Leaf,ASFA,6.422
303,Leaf,ASFA,6.285
304,Leaf,ASFA,8.237
305,Leaf,ASFA,8.078
306,Leaf,ASFA,7.033
307,Leaf,ASFA,7.918
308,Leaf,ASFA,7.331
310,Leaf,ASFA,5.785
312,Leaf,ASFA,10.026
313,Leaf,ASFA,4.076
314,Leaf,ASFA,6.394
315,Leaf,ASFA,7.873
401,Leaf,GOPH,7.6
401.1,Wing,GOPH,13.2
401.2,Wing,GOPH,12.5
401.3,Wing,GOPH,11.5
402.1,Wing,GOPH,11.2
402.2,Wing,GOPH,9.9
403,Leaf,GOPH,8.899
403.1,Wing,GOPH,10.3
404,Leaf,GOPH,6.583
405.3,Wing,GOPH,9.5
406,Leaf,GOPH,9.853
406.2,Wing,GOPH,11.4
407,Leaf,GOPH,7.162
407.2,Wing,GOPH,13.2
407.3,Wing,GOPH,11.2
408,Leaf,GOPH,4.551
408.1,Wing,GOPH,12.9
408.2,Wing,GOPH,11.4
408.3,Wing,GOPH,12.4
408.4,Wing,GOPH,11.9
409.1,Wing,GOPH,9.8
409.2,Wing,GOPH,5.6
410,Leaf,GOPH,9.982
410.1,Wing,GOPH,10.3
410.2,Wing,GOPH,9.6
411,Leaf,GOPH,6.252
411.1,Wing,GOPH,11.2
411.2,Wing,GOPH,11.5
412.1,Wing,GOPH,11.1
412.2,Wing,GOPH,10.1
413.1,Wing,GOPH,10.4
413.2,Wing,GOPH,10.9
413.3,Wing,GOPH,9.7
414.1,Wing,GOPH,8.1
414.2,Wing,GOPH,7.7
414.3,Wing,GOPH,8.9
414.4,Wing,GOPH,9.1
415,Leaf,GOPH,10.461
415.1,Wing,GOPH,11.1
416.2,Wing,GOPH,9.9
417,Leaf,GOPH,11.359
417.1,Wing,GOPH,7.3
417.2,Wing,GOPH,9.2
417.3,Wing,GOPH,9.2
418,Leaf,GOPH,10.908
418.1,Wing,GOPH,9.8
420,Leaf,GOPH,10.535
420.1,Wing,GOPH,9.4
420.2,Wing,GOPH,7.7
421,Leaf,GOPH,6.738
421.1,Wing,GOPH,12.3
421.3,Wing,GOPH,12.5
422.1,Wing,GOPH,10.8
422.2,Wing,GOPH,11.8
422.3,Wing,GOPH,8.8
423,Leaf,GOPH,9.54
423.1,Wing,GOPH,10.7
423.2,Wing,GOPH,8.8
424.1,Wing,GOPH,6
425,Leaf,GOPH,14.045
425.1,Wing,GOPH,9.1
425.2,Wing,GOPH,9
426,Leaf,GOPH,5.032
426.2,Wing,GOPH,14.9
427,Leaf,GOPH,8.601
427.1,Wing,GOPH,8.1
428,Leaf,GOPH,10.862
428.1,Wing,GOPH,9.6
428.2,Wing,GOPH,8.6
428.3,Wing,GOPH,9.7
430,Leaf,GOPH,9.383
430.1,Wing,GOPH,8.8
431.1,Wing,GOPH,7.9
431.2,Wing,GOPH,8.8
431.3,Wing,GOPH,5.7
432,Leaf,GOPH,10.543
432.1,Wing,GOPH,12.3
432.2,Wing,GOPH,9.7
433,Leaf,GOPH,6.547
433.1,Wing,GOPH,11.8
433.2,Wing,GOPH,14.3
433.3,Wing,GOPH,11.2
434.1,Wing,GOPH,9.1
435,Leaf,GOPH,7.999
435.1,Wing,GOPH,6.4
435.2,Wing,GOPH,5.6
436.1,Wing,GOPH,9.8
