"Mon.Pop","Species","emmean","SE","df","lower.CL","upper.CL"
"E. N. America","G. physocarpus",5.35226437272105,0.784621473337277,153.641306548692,3.80222536396544,6.90230338147665
"W. N. America","G. physocarpus",4.81895795497631,0.884581833095917,188.960241251858,3.07403381816054,6.56388209179208
"Hawaii","G. physocarpus",4.99110802563746,0.794065974432409,100.655042474924,3.41582928580169,6.56638676547323
"Guam","G. physocarpus",4.72070124138978,0.885818424456988,180.993472013801,2.97284195480915,6.46856052797041
"Australia","G. physocarpus",5.24170698908671,0.795014556008808,115.158785412595,3.66695924723717,6.81645473093624
"Puerto Rico","G. physocarpus",7.692292735508,1.00805360861207,167.648378096116,5.70217794787762,9.68240752313837
"E. N. America","A. curassavica",13.0785421434701,1.02124765482867,42.4082318847775,11.0181685414039,15.1389157455363
"W. N. America","A. curassavica",12.5743223670147,1.08903001847277,43.1699297540208,10.3783340015497,14.7703107324797
"Hawaii","A. curassavica",11.0132878883933,1.05198387668208,39.9361318386352,8.88704324033876,13.1395325364479
"Guam","A. curassavica",8.88581140229784,0.941135235834041,36.7313879055281,6.97841945587795,10.7932033487177
"Australia","A. curassavica",14.6105741140601,1.15074886485662,54.9178466097689,12.3043443094777,16.9168039186424
"Puerto Rico","A. curassavica",14.9627569596577,1.02566903451745,41.5994921786542,12.8922824853178,17.0332314339976
"E. N. America","A. syriaca",6.19916405299754,0.985571190544762,99.273830431179,4.24364371738718,8.15468438860789
"W. N. America","A. syriaca",5.25025835743645,0.905115281620471,107.173075784693,3.45600601109687,7.04451070377604
"Hawaii","A. syriaca",7.37158187387044,1.27429591682458,108.764536633307,4.84590742528333,9.89725632245755
"Guam","A. syriaca",6.61825435214764,1.03592073845609,177.648357676193,4.57396046813853,8.66254823615676
"Australia","A. syriaca",7.16410601170969,0.956631248005966,150.5746854546,5.27395189419167,9.05426012922771
"Puerto Rico","A. syriaca",1.05588742515273,1.04020625884037,153.891246215291,-0.999039117710425,3.11081396801587
"E. N. America","A. speciosa",1.91026269723018,1.34785732509544,29.5583728930284,-0.844154853658561,4.66468024811892
"W. N. America","A. speciosa",4.6561906866689,1.1331052432432,23.1507702704349,2.31302830882016,6.99935306451764
"Hawaii","A. speciosa",4.95451927697698,1.48138979023898,63.0873207144439,1.99427818680865,7.9147603671453
"Guam","A. speciosa",3.62566502777451,1.28938675428723,33.8775817790485,1.00496705878996,6.24636299675906
"Australia","A. speciosa",3.01654391345349,1.3875443263737,33.9031339420549,0.196417785564674,5.8366700413423
"Puerto Rico","A. speciosa",0.895546414202732,1.28209954358282,34.3800232556822,-1.70893291414474,3.5000257425502
