"","G. physocarpus","A. curassavica","A. incarnata","A. fascicularis","A. syriaca","A. speciosa"
"AU_1_2017",9,3,0,2,3,0
"AU_A1_2018",3,0,1,1,1,2
"AU_A10_2018",1,0,1,0,1,0
"AU_A11_2018",1,0,0,0,0,0
"AU_A12_2018",2,2,1,1,2,2
"AU_A13_2018",1,2,1,0,1,2
"AU_A14_2018",1,0,1,1,0,1
"AU_A2_2018",1,2,2,2,1,1
"AU_A5_2018",2,1,1,0,2,0
"AU_A8_2018",1,0,1,0,1,0
"AU_A9_2018",1,1,0,1,1,0
"CA_1017.1B_2018",0,1,0,0,1,0
"CA_11_2018",1,1,0,0,0,1
"CA_13_2017",1,0,0,1,0,0
"CA_13_2018",0,1,1,2,1,2
"CA_2_2017",1,1,0,2,1,0
"CA_2_2018",2,1,1,1,1,2
"CA_23_2018",0,1,1,1,1,1
"CA_3_2018",5,2,2,2,1,3
"CA_5_2017",1,2,0,1,1,0
"CA_605.1_2018",0,1,1,0,1,1
"CA_7_2017",1,0,0,0,1,0
"CA_7_2018",1,1,0,1,2,1
"CA_8_2017",1,1,0,0,2,0
"CA_9_2017",1,0,0,1,1,0
"CA_946.1_2018",0,0,0,1,0,0
"CA_X3_2018",3,1,2,2,1,2
"ENA_1_2017",4,3,0,1,2,0
"ENA_2_2017",2,2,0,0,2,0
"ENA_47_2017",1,0,0,1,0,0
"ENA_56_2017",1,1,0,1,2,0
"ENA_70_2017",1,1,0,0,0,0
"ENA_A_2018",1,2,1,1,1,2
"ENA_B_2018",2,1,2,1,3,1
"ENA_C_2018",1,1,2,1,0,1
"ENA_P_2018",2,2,2,1,3,3
"ENA_Q_2018",3,1,2,1,2,2
"ENA_S_2018",2,1,2,1,0,1
"GU_10_2018",0,1,0,0,0,0
"GU_13_2018",0,1,0,1,0,1
"GU_19_2018",2,2,1,1,2,2
"GU_21_2018",1,1,0,0,0,0
"GU_25_2018",2,1,1,1,1,1
"GU_26_2018",2,1,1,1,1,0
"GU_30_2018",0,1,0,0,1,0
"GU_32_2018",1,1,0,0,1,0
"GU_38_2018",2,1,1,1,1,2
"GU_40_2018",1,1,1,0,0,1
"GU_41_2018",1,1,1,0,1,1
"GU_43_2018",3,2,2,1,2,2
"GU_901.1B_2018",1,1,1,0,0,0
"HI_1_2018",3,2,2,2,2,2
"HI_10_2017",2,3,0,1,3,0
"HI_17_2018",0,1,0,1,1,0
"HI_19_2017",0,1,0,1,1,0
"HI_19_2018",2,1,1,1,0,1
"HI_2_2018",3,2,2,1,1,3
"HI_20_2017",1,0,0,1,0,0
"HI_21_2018",2,0,1,1,0,0
"HI_22_2017",6,3,0,1,2,0
"HI_5_2017",1,1,0,1,0,0
"HI_5_2018",0,0,1,0,0,0
"HI_944.2_2018",1,0,2,0,0,1
"PR_103_2018",2,1,1,2,1,1
"PR_105_2018",2,2,0,0,2,1
"PR_107_2018",1,2,2,0,2,2
"PR_109_2018",2,0,0,0,1,1
"PR_111_2018",2,2,2,2,2,2
"PR_112_2018",2,2,1,2,0,1
"PR_113_2018",0,1,2,0,1,0
"PR_P1_2018",0,1,0,0,0,0
"PR_PM2_2018",1,1,0,0,0,0
"PR_PM4_2018",2,2,2,2,2,2
