index	island	site	species	leaf_number	hpi_present	ants_present_leaves	tending	ants_present_trunk	sum_ants	ants_nesting_trunk
139	guam	sblas	aglaia	14	0	1	0	1	8	1
160	guam	sblas	aglaia	10	0	1	0	1	14	0
162	guam	anao	aglaia	14	1	1	0	1	0	1
163	guam	anao	aglaia	15	1	1	1	1	10	0
182	guam	racetrack	aglaia	8	0	0	na	1	4	0
183	guam	racetrack	aglaia	7	0	1	0	1	7	0
201	guam	nblas	aglaia	7	0	1	0	1	0	1
202	guam	nblas	aglaia	8	1	1	0	1	5	0
227	guam	nblas	aglaia	5	1	1	0	1	54	1
229	guam	ritidian	aglaia	22	1	1	0	1	4	0
230	guam	ritidian	aglaia	10	0	1	0	1	3	0
1	rota	isa	aglaia	7	0	0	na	0	0	0
2	rota	isa	aglaia	11	0	0	na	1	3	0
3	rota	gvpt	aglaia	6	0	0	na	0	0	0
5	rota	palii	aglaia	11	0	0	na	0	0	0
60	saipan	mtr1	aglaia	9	0	0	na	1	1	0
61	saipan	mtr1	aglaia	6	0	0	na	1	1	0
113	saipan	ladt	aglaia	13	1	0	na	1	7	0
114	saipan	ladt	aglaia	16	0	1	0	1	3	0
136	saipan	forbi	aglaia	10	1	1	0	1	3	0
70	saipan	mtr1	cyno	26	0	0	na	1	2	0
71	saipan	mtr1	cyno	31	0	1	0	1	8	0
118	saipan	ladt	cyno	40	0	0	na	1	4	0
157	guam	sblas	cyno	56	0	1	0	1	3	0
164	guam	anao	cyno	13	0	0	na	1	24	0
165	guam	anao	cyno	50	0	1	0	1	2	0
184	guam	racetrack	cyno	43	0	1	0	1	0	1
185	guam	racetrack	cyno	14	0	0	na	1	27	0
203	guam	nblas	cyno	29	1	1	0	1	12	0
204	guam	nblas	cyno	35	0	1	0	1	10	0
226	guam	nblas	cyno	43	0	1	0	1	3	0
11	rota	gvpt	cyno	14	0	1	0	1	5	0
65	saipan	mtr1	guamia	62	0	0	na	1	8	0
66	saipan	mtr1	guamia	116	0	1	0	1	1	0
131	saipan	ladt	leuc	18	0	0	na	1	1	0
103	saipan	mtr1	mor	15	0	1	0	1	10	0
105	saipan	mtr1	mor	14	0	0	na	1	3	0
122	saipan	ladt	neiso	35	0	0	na	1	4	0
88	saipan	mtr1	ochr	45	0	1	0	1	2	0
248	guam	ritidian	eugenia	45	0	0	na	0	0	0
22	rota	palii	eugenia	22	0	0	na	1	1	0
89	saipan	mtr1	ochr	53	0	1	0	1	2	0
94	saipan	mtr1	prem	20	0	0	na	1	2	0
124	saipan	ladt	prem	9	0	1	0	1	2	0
84	saipan	mtr1	psych	29	0	0	na	1	4	0
132	saipan	ladt	psych	53	0	1	0	1	4	0
140	guam	sblas	eugenia	35	0	1	0	1	4	1
141	guam	sblas	eugenia	91	1	1	0	1	10	1
189	guam	racetrack	eugenia	45	0	1	0	1	0	1
190	guam	racetrack	eugenia	78	1	1	na	1	0	1
205	guam	nblas	eugenia	45	1	1	1	1	31	0
206	guam	nblas	eugenia	80	1	1	0	1	14	0
231	guam	ritidian	eugenia	88	0	0	na	1	1	0
232	guam	ritidian	eugenia	35	0	0	na	0	0	0
20	rota	isa	eugenia	36	0	0	na	0	0	0
21	rota	gvpt	eugenia	41	0	0	na	1	8	0
133	saipan	ladt	psych	133	0	1	0	1	6	0
