island	site	species	t.alb	a.gra	t.mel	p.bou	p.min	m.flo	o.hae	p.oce	t.bic	o.gla	c.mac	rota6	saipan7	guam1	other
guam	anao	ficus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	anao	guamia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	anao	maca	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	anao	cyno	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	anao	tri	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	anao	guamia	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	anao	mor	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
guam	anao	mor	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
guam	anao	ochr	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	anao	prem	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	anao	neiso	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
guam	anao	aglaia	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	anao	neiso	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	anao	prem	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	anao	cyno	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	mor	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	psych	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	ficus	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	cyno	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	neiso	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	aglaia	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	maca	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	cyno	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	maca	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	neiso	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	cyno	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	maca	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	eug	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	maca	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	neiso	26	0	0	0	1	0	0	0	0	0	0	0	0	0	0
guam	nblas	eug	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	guamia	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	aglaia	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	ochr	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	prem	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	mor	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	nblas	ochr	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	racetrack	ochr	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	racetrack	aglaia	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	racetrack	guamia	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	racetrack	prem	5	0	0	0	0	0	1	0	0	0	0	0	0	0	1
guam	racetrack	aglaia	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	racetrack	maca	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	racetrack	guamia	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	racetrack	maca	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	racetrack	prem	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	racetrack	mor	23	0	0	0	1	0	0	0	0	0	0	0	0	0	0
guam	racetrack	cyno	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	ritidian	eug	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
guam	ritidian	mor	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
guam	ritidian	neiso	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
guam	ritidian	maca	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
guam	ritidian	maca	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
guam	ritidian	aglaia	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2
guam	ritidian	maca	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2
guam	ritidian	aglaia	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4
guam	ritidian	tri	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
guam	ritidian	maca	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
guam	ritidian	tri	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	maca	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	neiso	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	tri	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	guamia	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	maca	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	neiso	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	ochr	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	prem	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	cyno	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	maca	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	eug	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	guamia	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	neiso	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	aglaia	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	eug	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	mor	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	aglaia	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	psych	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	mor	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guam	sblas	ficus	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rota	gvpt	neiso	0	0	0	0	0	0	0	0	1	1	0	1	0	0	3
rota	gvpt	cyno	0	0	0	0	0	0	0	0	4	0	0	1	0	0	5
rota	gvpt	eug	0	0	0	0	0	0	0	0	0	0	0	8	0	0	8
rota	isa	maca	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
rota	isa	prem	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
rota	isa	tri	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
rota	isa	aglaia	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1
rota	isa	psych	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
