"","Cat.ID","Species","GH","Mon.Pop","Sex.x","OE","maternal_family","emergence_weight","Size.PC1","Shape.PC1","wing.loading","thorax","abdomen","dry.mass"
"1","1000.1","ASCU","86W","Eastern North America","F",0,"ENA_Q_2018",0.5884,1.58394240735361,-1.8310314695729,0.063507825148408,0.0652,0.0791,0.1443
"3","1000.2","ASCU","86W","Eastern North America","M",5,"ENA_Q_2018",0.6471,1.54881630493987,1.16826813628384,0.0701273367651043,0.0761,0.083,0.1591
"5","1000.3","ASCU","86W","Eastern North America","M",0,"ENA_Q_2018",0.8111,3.15127458636711,1.26105984142686,0.0789699152954922,0.0941,0.1031,0.1972
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1001.2","ASCU","86W","Australia","M",5,"AU_A13_2018",0.5239,-0.0470222529927944,-0.32007787877075,0.0622430794820007,0.0624,0.0735,0.1359
"9","1001.3","ASCU","86W","Australia","M",5,"AU_A13_2018",0.5173,0.482740824859278,0.87297391319548,0.0604216550838054,0.0665,0.0879,0.1544
"10","1001.4","ASCU","86W","Australia","F",5,"AU_A13_2018",0.5758,-0.0498774817854712,0.0575327344383778,0.0692983511854615,0.07,0.0976,0.1676
"11","1001.5","ASCU","86W","Australia","M",5,"AU_A13_2018",0.5071,-1.27374690798408,-1.25426128440224,0.066071661237785,0.0633,0.0754,0.1387
"12","1003.1","ASCU","86W","Guam","F",1,"GU_30_2018",0.7418,0.172457959371788,-0.216705563560673,0.0878597654862016,NA,NA,NA
"13","1003.2","ASCU","86W","Guam","M",0,"GU_30_2018",0.8049,2.74468220554793,-1.08039704979643,0.0797918215613383,NA,NA,NA
"14","1003.3","ASCU","86W","Guam","M",0,"GU_30_2018",0.6551,2.37680253665954,-0.228610437383023,0.0671037131882202,0.0833,0.0759,0.1592
"15","1004.1","ASCU","86W","Western North America","F",0,"CA_7_2018",0.5381,1.9172600762939,-0.695398435179103,0.0570807255754747,0.0671,0.0676,0.1347
"16","1004.1B","ASCU","86W","Western North America","M",0,"CA_13_2018",0.5261,-0.242300431131473,-0.885449738251085,0.0640024330900243,0.062,0.0682,0.1302
"17","1004.2B","ASCU","86W","Western North America","F",0,"CA_13_2018",0.4727,-1.36914211226348,-0.601522255452334,0.06182317551661,0.0683,0.0785,0.1468
"18","1005.1","ASCU","86W","Western North America","F",0,"CA_1017.1B_2018",0.4549,-1.77933196910231,-0.669146176427447,0.0615561569688769,0.0534,0.0523,0.1057
"19","1006.1","ASCU","86W","Guam","M",0,"GU_26_2018",0.5844,0.165404421016894,-1.29058849000255,0.0681714785651793,0.0711,0.0767,0.1478
"20","1006.1B","ASCU","86W","Australia","M",0,"AU_A12_2018",0.5413,0.62925932650467,0.850886351862453,0.0616760667692133,0.0696,0.0713,0.1409
"21","1006.2B","ASCU","86W","Australia","F",1,"AU_A12_2018",0.3568,-2.18176760715954,1.12850492071996,0.0493021970429736,0.0518,0.0511,0.1029
"22","1006.3B","ASCU","86W","Australia","M",5,"AU_A12_2018",0.5877,0.210923832517795,0.0825831122651384,0.0685724286797736,0.0739,0.0858,0.1597
"23","1008.1","ASCU","Core","Guam","F",0,"GU_901.1B_2018",0.5382,-0.143055374086464,-0.838572135706368,0.0653988699191932,0.0693,0.0743,0.1436
"24","1008.2","ASCU","Core","Guam","M",4,"GU_901.1B_2018",0.6806,1.44616660728756,-0.222808919760776,0.072967032967033,0.0858,0.0937,0.1795
"25","1009.1","ASCU","Core","Guam","M",5,"GU_32_2018",0.6448,0.551192118681754,0.853697423320531,0.0727313744289662,0.0767,0.0868,0.1635
"26","1009.2","ASCU","Core","Guam","M",5,"GU_32_2018",0.6825,1.90651048873459,-1.58372004347742,0.0718194254445964,NA,NA,NA
"27","101","GOPH","86W","Eastern North America","F",5,"ENA_2_2017",0.5656,0.703310747700512,0.947353006773973,0.06345431087676,NA,NA,NA
"28","1010.1","ASCU","Core","Guam","M",5,"GU_43_2018",0.5708,0.679688010244377,-1.30330652177942,0.0647092166421041,NA,NA,NA
"29","1010.2","ASCU","Core","Guam","F",5,"GU_43_2018",0.6592,2.11564688162854,-0.572693353768241,0.0678747940691928,0.0859,0.0926,0.1785
"34","1014.1","ASCU","Core","Australia","F",5,"AU_A12_2018",0.5215,-2.11814750020349,1.06833595033104,0.0721449816697793,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1014.3","ASCU","Core","Australia","M",5,"AU_A12_2018",0.6979,0.895900436383607,0.529085303327265,0.078143544955772,0.0844,0.1002,0.1846
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1016.1","ASCU","Core","Western North America","F",0,"CA_743.6_2018",0.5562,1.021510926727,-0.0371377771620256,0.0618584218428516,NA,NA,NA
"39","1016.2","ASCU","Core","Western North America","F",0,"CA_743.6_2018",0.2196,-4.24689191532538,-0.21511185483932,0.0359499058688713,0.0308,0.0307,0.0615
"40","1017.1","ASCU","Core","Guam","F",5,"GU_41_2018",0.6029,1.37996528016912,-0.252397491558784,0.0651431658562939,0.0754,0.0839,0.1593
"41","1017.1B","ASCU","Core","Western North America","F",0,"CA_X3_2018",0.5059,-1.22335616856601,2.26621509834482,0.0663344915754278,NA,NA,NA
"42","1018.1","ASCU","Core","Hawaii","M",0,"HI_1_2018",0.6843,1.23741355384043,1.29757064166223,0.0752556911910261,0.0843,0.1048,0.1891
"43","1018.1B","ASCU","Core","Guam","F",0,"GU_21_2018",0.5388,-0.686853427736137,0.367093872990379,0.066522624853386,0.0571,0.0674,0.1245
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1020.1","ASCU","Core","Hawaii","F",5,"HI_2_2018",0.501,-0.127330133991111,0.980237926229215,0.0603687191227859,NA,NA,NA
