id,Species,GH,Sex,OE,month
3,GOPH,1,0,0,8
4,GOPH,1,1,0,7
5,GOPH,0,1,0,7
6,GOPH,1,0,0,7
8.2,GOPH,0,1,0,8
9,GOPH,1,1,0,8
11,GOPH,0,0,0,8
12,GOPH,0,0,0,7
14.1,GOPH,1,0,0,NA
14.2,GOPH,1,0,0,NA
14.3,GOPH,1,1,0,NA
14.4,GOPH,1,1,0,NA
15.1,GOPH,0,0,1,8
17,GOPH,0,0,0,7
18,GOPH,1,1,0,7
20,GOPH,1,0,0,8
23,GOPH,1,0,0,8
25,GOPH,1,1,0,7
27,GOPH,1,0,0,7
29,GOPH,0,0,0,8
36,GOPH,1,1,0,8
37,GOPH,1,0,0,7
38,GOPH,1,0,0,7
40,GOPH,0,1,0,8
41,GOPH,0,0,0,7
44,GOPH,1,0,0,7
46,GOPH,0,0,0,7
47,GOPH,0,0,1,7
48,GOPH,0,0,1,7
49,GOPH,1,1,0,7
51,GOPH,1,1,1,8
53,GOPH,0,1,0,7
54,GOPH,0,1,0,7
55,GOPH,0,0,0,7
59,GOPH,1,0,0,7
60,GOPH,0,1,0,7
62,GOPH,1,1,0,8
62.2,GOPH,1,0,0,9
62.3,GOPH,1,1,0,9
69,GOPH,0,0,0,7
70,GOPH,1,1,0,7
72,GOPH,1,1,0,8
78,GOPH,0,1,0,8
80,GOPH,1,0,0,7
81,GOPH,0,0,0,7
82.1,GOPH,1,0,0,8
82.2,GOPH,1,0,1,8
82.3,GOPH,1,0,1,8
86,GOPH,1,1,0,7
89,GOPH,1,0,0,8
90,GOPH,0,1,0,7
92,GOPH,1,1,0,8
95,GOPH,1,1,0,7
101,GOPH,0,0,1,8
104,GOPH,1,0,1,7
107,GOPH,0,0,0,7
108,GOPH,0,0,0,7
109,GOPH,1,0,0,7
109.2,GOPH,0,1,0,8
111,GOPH,1,0,0,7
114.1,GOPH,1,1,0,7
114.2,GOPH,1,1,0,9
114.3,GOPH,1,1,0,9
115,GOPH,0,1,0,7
117.1,GOPH,0,0,0,8
117.2,GOPH,0,1,0,8
117.3,GOPH,0,1,0,8
117.4,GOPH,0,1,0,8
120,GOPH,0,0,0,7
121,GOPH,1,0,0,7
121.2,GOPH,1,1,0,9
121.3,GOPH,1,1,0,9
121.4,GOPH,1,1,0,9
124.2,GOPH,1,0,0,8
125,GOPH,1,0,0,8
127,GOPH,1,0,0,7
128,GOPH,1,1,0,7
128.2,GOPH,1,0,0,8
129,GOPH,1,1,0,7
134.1,GOPH,1,0,0,NA
134.2,GOPH,1,0,1,NA
134.3,GOPH,1,0,0,NA
136,GOPH,1,1,0,8
137.1,GOPH,1,1,0,8
137.2,GOPH,1,1,0,NA
138,GOPH,0,1,0,7
140,GOPH,1,0,0,7
144,GOPH,0,0,0,7
145.2,GOPH,1,1,0,8
145.3,GOPH,1,1,0,8
146,GOPH,1,1,0,8
147,GOPH,1,1,0,7
150,ASCU,1,1,0,8
151,ASCU,1,1,0,8
153,ASCU,1,0,0,8
154,ASCU,0,1,1,8
155,ASCU,0,1,1,8
158,ASCU,1,0,0,7
159,ASCU,1,1,0,7
160,ASCU,1,0,0,8
162,ASCU,0,0,0,8
163,ASCU,1,0,0,7
164,ASCU,1,0,0,7
168,ASCU,0,1,0,8
170,ASCU,1,0,0,7
171.2,ASCU,1,0,0,8
172,ASCU,1,0,0,8
173,ASCU,1,1,0,8
175,ASCU,0,0,0,7
177,ASCU,1,0,0,8
179,ASCU,1,0,0,8
182,ASCU,1,0,1,8
184,ASCU,1,0,0,7
185,ASCU,1,0,0,7
186.2,ASCU,1,1,0,8
187,ASCU,0,0,0,7
189,ASCU,0,0,0,7
192.1,ASCU,1,0,0,7
192.2,ASCU,1,0,0,7
196,ASCU,0,0,0,7
197,ASCU,0,0,0,7
198,ASCU,1,0,0,7
200,ASCU,0,0,0,7
202,ASCU,0,1,0,7
203,ASCU,0,0,0,7
205,ASCU,1,1,0,NA
206,ASCU,0,1,0,7
213,ASCU,0,0,0,8
215,ASCU,1,1,0,7
216,ASCU,1,1,0,7
217,ASCU,0,0,0,8
218,ASCU,0,0,0,7
223,ASCU,0,0,0,7
228,ASCU,1,0,0,7
229,ASYR,1,0,0,7
234,ASYR,0,0,0,8
236,ASYR,1,0,0,7
239.2,ASYR,1,0,0,8
241,ASYR,1,1,0,7
242,ASYR,1,1,0,8
244,ASYR,0,1,0,8
245.1,ASYR,1,0,0,7
247,ASYR,0,0,0,7
250,ASYR,1,1,0,7
250.2,ASYR,1,1,0,9
250.3,ASYR,1,0,0,9
252.2,ASYR,1,0,0,8
253.1,ASYR,1,1,1,8
253.2,ASYR,1,0,0,8
253.3,ASYR,1,0,0,8
255,ASYR,1,0,0,7
255.2,ASYR,1,1,1,9
257,ASYR,0,0,0,7
261,ASYR,1,1,0,7
263.1,ASYR,0,0,0,7
263.2,ASYR,0,0,0,7
265,ASYR,1,1,0,7
267,ASYR,1,1,0,8
269,ASYR,1,1,0,7
270,ASYR,1,0,0,7
271,ASYR,1,1,0,7
273,ASYR,0,0,0,7
276,ASYR,1,1,0,8
277,ASYR,0,1,1,8
279,ASYR,0,0,1,8
280,ASYR,0,1,1,8
281,ASYR,0,0,0,8
282,ASYR,0,0,0,8
283,AS0A,0,0,0,7
284,AS0A,0,1,0,7
285,AS0A,0,1,0,7
286,AS0A,0,0,0,8
287,AS0A,0,1,0,7
288,AS0A,0,1,0,7
291,AS0A,0,1,0,8
292,AS0A,1,1,0,7
293,AS0A,0,0,1,8
294,AS0A,0,0,0,7
295,AS0A,1,1,0,7
296,AS0A,1,1,0,7
298,AS0A,1,0,0,7
298.2,AS0A,1,1,0,8
299,AS0A,1,0,0,7
300,AS0A,1,1,0,8
301,AS0A,0,0,0,7
302,AS0A,1,1,0,7
303,AS0A,0,0,0,8
305,AS0A,1,1,0,7
307,AS0A,0,1,1,8
308,AS0A,1,0,0,7
310,AS0A,0,0,0,8
311,AS0A,0,1,1,8
313.1,AS0A,1,0,0,8
313.2,AS0A,1,0,1,8
315,AS0A,1,1,1,8
316.1,AS0A,1,1,0,9
316.2,AS0A,1,1,0,9
317.1,AS0A,1,0,1,9
317.2,AS0A,1,0,1,9
401.1,GOPH,1,0,0,6
401.2,GOPH,1,0,0,6
401.3,GOPH,1,1,0,6
402.1,GOPH,1,0,0,7
402.2,GOPH,1,1,0,7
403.1,GOPH,1,1,0,9
406.2,GOPH,1,0,0,9
407.1,GOPH,1,0,0,5
407.2,GOPH,1,1,0,5
407.3,GOPH,1,1,0,5
408.1,GOPH,0,1,0,6
408.3,GOPH,0,1,0,6
408.4,GOPH,0,1,0,6
410.1,GOPH,1,0,1,9
410.2,GOPH,1,1,1,9
411.1,GOPH,1,1,0,6
411.2,GOPH,1,0,0,6
412.1,GOPH,1,0,1,7
412.2,GOPH,1,1,1,7
413.1,GOPH,1,1,0,6
413.2,GOPH,1,1,0,6
413.3,GOPH,1,0,0,6
415.1,GOPH,1,1,0,7
416.1,GOPH,1,1,0,6
416.2,GOPH,1,0,0,6
418.1,GOPH,1,0,0,8
418.2,GOPH,1,0,0,8
420.1,GOPH,1,1,0,7
420.2,GOPH,1,0,0,7
421.1,GOPH,1,1,0,5
421.2,GOPH,1,1,0,5
421.3,GOPH,1,1,0,5
424.1,GOPH,1,0,1,9
425.1,GOPH,1,0,0,7
425.2,GOPH,1,0,0,7
426.2,GOPH,0,1,0,7
427.1,GOPH,1,1,1,9
428.1,GOPH,1,0,0,7
428.2,GOPH,1,1,0,7
428.3,GOPH,1,0,0,7
432.1,GOPH,1,1,0,6
432.2,GOPH,1,0,0,6
433.1,GOPH,0,0,1,7
433.2,GOPH,0,0,0,7
434.1,GOPH,1,1,0,8
436.1,GOPH,1,0,1,9
436.2,GOPH,1,1,0,9
436.3,GOPH,1,1,1,9
436.4,GOPH,1,0,1,9
437.2,GOPH,1,1,0,6
437.3,GOPH,1,0,0,6
439.1,GOPH,1,1,0,8
439.2,GOPH,1,0,0,8
440.1,GOPH,1,0,0,9
441.1,GOPH,1,1,1,6
442.1,GOPH,1,1,0,7
444.1,GOPH,1,0,1,9
444.2,GOPH,1,0,0,9
444.3,GOPH,1,0,0,9
445.1,GOPH,1,0,1,9
445.2,GOPH,1,1,1,9
447.1,GOPH,1,1,0,7
447.2,GOPH,1,0,1,7
449.1,GOPH,1,1,1,6
449.2,GOPH,1,1,0,6
452.2,GOPH,1,1,1,9
453.1,GOPH,0,1,0,5
453.2,GOPH,0,0,0,5
500.1,AINC,1,0,0,5
500.2,AINC,1,0,0,5
501.1,AINC,1,0,1,7
501.2,AINC,1,1,0,7
504.1,AINC,1,1,1,7
504.2,AINC,1,0,0,7
505.1,AINC,1,0,0,7
508.1,AINC,1,1,0,8
509.1,AINC,1,0,0,5
509.2,AINC,1,1,0,5
511.3,AINC,1,0,0,9
513.1,AINC,1,0,0,9
514.1,AINC,1,0,0,5
514.2,AINC,1,1,0,5
519.1,AINC,1,1,0,7
522.1,AINC,1,0,0,7
522.2,AINC,1,0,1,7
523.1,AINC,1,0,0,7
