id,emergence_weight,Size.PC1,Shape.PC1,wing.loading,thorax,abdomen,dry.mass
3,0.5609,-0.735979766,1.786502711,0.069551739,NA,NA,NA
4,0.584,-2.420566151,1.270220314,0.081269134,NA,NA,NA
5,0.7348,2.296604676,1.508348726,0.073823278,NA,NA,NA
6,0.5619,1.606775027,1.316238155,0.059646516,NA,NA,NA
8.2,0.6925,2.424051374,1.274199078,0.07065966,NA,NA,NA
9,0.5619,0.628979614,0.188086648,0.062968566,NA,NA,NA
11,0.5211,-0.934397322,1.659451367,0.065048059,NA,NA,NA
12,0.6149,2.118470053,0.264315067,0.061187124,NA,NA,NA
14.1,0.7459,-0.252497252,0.509068209,0.088644602,NA,NA,NA
14.2,0.4822,-0.755451683,0.303023093,0.059205599,NA,NA,NA
14.3,0.6041,1.238120149,1.344083766,0.065079451,NA,NA,NA
14.4,0.5478,0.576160046,2.452529358,0.061922794,NA,NA,NA
15.1,0.5832,-0.96447243,0.40033906,0.073303167,NA,NA,NA
17,0.6096,1.885921329,0.183872144,0.062761248,NA,NA,NA
18,0.7018,-0.140650328,0.574888958,0.083151659,NA,NA,NA
20,0.4855,-0.503366699,1.970287908,0.05927599,NA,NA,NA
23,0.5231,-0.140905268,0.462088527,0.062247873,NA,NA,NA
25,0.6892,2.612418125,0.000989765,0.068512352,NA,NA,NA
27,0.5921,0.452892259,2.579037116,0.06749886,NA,NA,NA
29,0.7736,1.219863284,0.904523109,0.083677664,NA,NA,NA
36,0.7094,1.361924169,-0.449046244,0.075673369,NA,NA,NA
37,0.6655,2.529356417,1.42714604,0.066901231,NA,NA,NA
38,0.4497,-2.067554042,-0.115784823,0.060831924,NA,NA,NA
40,0.7397,2.55589682,0.626711089,0.073053183,NA,NA,NA
41,0.5854,-0.673757683,1.744369286,0.072302847,NA,NA,NA
44,0.5019,-1.946185875,0.851250235,0.067719085,NA,NA,NA
46,0.5019,-1.60155619,1.821363159,0.065084614,NA,NA,NA
47,0.5617,-0.625680373,0.682825521,0.068654892,NA,NA,NA
48,0.3835,-3.180072287,0.950128031,0.056856931,NA,NA,NA
49,0.563,0.2846004,-0.594713645,0.064567922,NA,NA,NA
51,0.641,2.536380204,1.059994336,0.064875259,NA,NA,NA
53,0.6621,-0.312842845,1.069081917,0.079464714,NA,NA,NA
54,0.6416,-0.117393121,0.09176397,0.075314004,NA,NA,NA
55,0.3556,-4.437096651,1.122720767,0.057877604,NA,NA,NA
59,0.5894,0.955001027,0.23055043,0.064861891,NA,NA,NA
60,0.6246,-1.980400862,1.254194992,0.084104221,NA,NA,NA
62,0.5499,-0.528051028,0.950414757,0.066934453,NA,NA,NA
62.2,0.5632,-1.003784371,1.084456468,0.069993165,NA,NA,NA
62.3,0.6024,-1.698941456,3.150456191,0.080437976,NA,NA,NA
69,0.6673,0.62280518,1.912788069,0.075019674,NA,NA,NA
70,0.5722,-0.959430369,0.096569837,0.071032214,NA,NA,NA
72,0.5988,-0.380909147,1.175186096,0.070956274,NA,NA,NA
78,0.6581,0.946930975,3.091603713,0.073699535,NA,NA,NA
80,0.6095,0.492994642,2.501649886,0.069167045,NA,NA,NA
81,0.3268,-4.811977304,0.308087701,0.055432109,NA,NA,NA
82.1,0.5984,0.344900651,1.172535153,0.068840955,NA,NA,NA
82.2,0.6043,-0.286627089,0.485397059,0.071350139,NA,NA,NA
82.3,0.6043,0.487593973,1.928407972,0.067200445,NA,NA,NA
86,0.6326,-0.05920889,0.496166788,0.074449806,NA,NA,NA
89,0.5634,0.109046867,1.259615728,0.065580258,NA,NA,NA
90,0.6204,0.018432681,0.070036909,0.072257163,NA,NA,NA
92,0.6204,1.265955012,1.068822163,0.066756335,NA,NA,NA
95,0.5036,-1.598334759,1.095594022,0.066547737,NA,NA,NA
101,0.5656,0.703310748,0.947353007,0.063454311,NA,NA,NA
104,0.5656,0.105871234,0.424532099,0.065447813,NA,NA,NA
107,0.6085,-0.655492556,0.397279125,0.073468156,NA,NA,NA
108,0.6474,-0.607091541,1.641291721,0.079323654,NA,NA,NA
109,0.5603,-0.121424312,1.327031852,0.065455607,NA,NA,NA
109.2,0.7008,2.001897365,2.263826806,0.072415397,NA,NA,NA
111,0.7629,2.426515578,1.616245271,0.077341849,NA,NA,NA
114.1,0.6351,0.049598321,2.287482418,0.074542254,NA,NA,NA
114.2,0.6848,0.927420993,0.875811987,0.074882449,NA,NA,NA
114.3,0.6351,0.474949626,1.262099291,0.071738394,NA,NA,NA
115,0.5551,-2.320655236,0.559831507,0.075755715,NA,NA,NA
117.1,0.7646,1.294419359,4.317632067,0.082614803,NA,NA,NA
117.2,0.5527,-0.36815698,0.621427061,0.065645228,NA,NA,NA
117.3,0.8088,0.6706313,0.748062905,0.090016694,NA,NA,NA
117.4,0.8035,2.215356051,0.90330233,0.081677255,NA,NA,NA
120,0.4859,-1.262612323,1.589902276,0.062167349,NA,NA,NA
121,0.6863,1.184350587,1.019843795,0.074174547,NA,NA,NA
121.2,0.6786,0.207284096,-0.671632414,0.0769475,NA,NA,NA
121.3,0.5669,-1.773484801,0.993569951,0.074907505,NA,NA,NA
121.4,0.5731,-0.29396215,0.503030276,0.068474819,NA,NA,NA
124.2,0.4977,-1.821093044,1.801900038,0.067402492,NA,NA,NA
125,0.4977,0.362572026,0.644773937,0.057072416,NA,NA,NA
127,0.5597,-0.508870074,2.27659178,0.068607502,NA,NA,NA
128,0.6547,0.42760194,0.655385052,0.075183739,NA,NA,NA
128.2,0.5275,-0.432433918,0.853887283,0.063431938,NA,NA,NA
129,0.6229,0.901611019,-0.581238039,0.068889626,NA,NA,NA
134.1,0.5102,-0.890210552,0.986364471,0.064309573,NA,NA,NA
134.2,0.6796,-1.519004702,0.8384518,0.087957031,NA,NA,NA
134.3,0.4293,-2.9495022,0.84108938,0.061548387,NA,NA,NA
136,0.5698,1.030355504,1.443316866,0.063233825,NA,NA,NA
137.1,0.5695,0.426487158,0.410948516,0.065399633,NA,NA,NA
137.2,0.5668,-0.914940885,1.280829632,0.069640005,NA,NA,NA
138,0.7608,2.309264793,1.268702452,0.075825983,NA,NA,NA
140,0.6127,0.892801718,0.116802297,0.067945661,NA,NA,NA
144,0.4593,-2.38846502,0.884534647,0.063060342,NA,NA,NA
145.2,0.72,1.06393137,0.463012933,0.079173081,NA,NA,NA
145.3,0.7118,1.300765019,1.153670296,0.077580381,NA,NA,NA
146,0.624,2.22564053,2.314444894,0.064214047,NA,NA,NA
147,0.584,0.949634113,1.446291681,0.064641098,NA,NA,NA
150,0.5174,-0.883311631,1.749389843,0.064409312,NA,NA,NA
151,0.5174,-0.442339411,2.494198867,0.062764602,NA,NA,NA
153,0.5549,0.072413145,1.171349909,0.064209674,NA,NA,NA
154,0.5336,0.433031094,1.999851123,0.061147081,NA,NA,NA
155,0.5336,1.255500658,0.413096803,0.05812003,NA,NA,NA
158,0.6901,0.706010263,2.51194916,0.076959964,NA,NA,NA
159,0.6903,1.941114182,0.566140406,0.072056367,NA,NA,NA
160,0.5198,0.603148094,0.761272124,0.058159441,NA,NA,NA
162,0.5983,-0.028377714,1.319031455,0.069004094,NA,NA,NA
163,0.495,-0.288988194,-0.294121514,0.058778127,NA,NA,NA
164,0.6442,0.069458053,1.675596691,0.075138508,NA,NA,NA
168,0.2822,1.057811466,0.310424033,0.031223722,NA,NA,NA
170,0.5777,1.529781336,0.606048686,0.06181254,NA,NA,NA
171.2,0.6955,-1.515723164,2.406536979,0.091718317,NA,NA,NA
172,0.5106,-0.404243114,2.341330798,0.061065598,NA,NA,NA
173,0.4416,-2.601375904,1.52254699,0.062651628,NA,NA,NA
175,0.4347,-1.114852541,1.190106678,0.054589979,NA,NA,NA
177,0.4347,-0.820229077,3.877018077,0.055126498,NA,NA,NA
179,0.3846,-3.541873355,1.593249707,0.057804163,NA,NA,NA
182,0.6485,1.656708028,0.923218369,0.068134062,NA,NA,NA
184,0.5664,-0.798655008,-0.128777573,0.070042664,NA,NA,NA
185,0.5664,1.061509088,0.373418241,0.062255441,NA,NA,NA
186.2,0.5734,1.737407485,0.242728425,0.060851109,NA,NA,NA
187,0.541,-2.011423938,0.907901247,0.072022898,NA,NA,NA
189,0.4309,-2.058702928,-0.798322247,0.058072776,NA,NA,NA
192.1,0.4101,-0.726506538,1.005694859,0.049618875,NA,NA,NA
192.2,0.5337,-1.19433433,1.030385365,0.06800892,NA,NA,NA
196,0.67,2.610809324,0.932135074,0.065938392,NA,NA,NA
197,0.67,-1.685309263,0.785252431,0.087782509,NA,NA,NA
198,0.4663,1.272751117,0.532226276,0.050616011,NA,NA,NA
200,0.613,0.099141664,2.223301814,0.070728049,NA,NA,NA
202,0.5585,-2.127857402,1.649830814,0.075939901,NA,NA,NA
203,0.4339,1.35043842,0.296249528,0.045661668,NA,NA,NA
205,0.589,-0.098297367,1.327085807,0.068921133,NA,NA,NA
206,0.4768,-2.944766614,2.488756222,0.069631252,NA,NA,NA
213,0.5367,0.172215629,2.51796723,0.063115188,NA,NA,NA
215,0.6899,1.603726935,2.079878028,0.072651643,NA,NA,NA
216,0.3452,-4.183611187,-0.68016694,0.05555645,NA,NA,NA
217,0.5702,0.607921339,2.907196214,0.065147101,NA,NA,NA
218,0.6801,1.533580702,1.167413963,0.071991108,NA,NA,NA
223,0.5909,0.318627243,-0.000924566,0.067067703,NA,NA,NA
228,0.6264,-1.011495424,2.006642148,0.077209417,NA,NA,NA
229,0.5025,-1.445932454,0.921968996,0.06495605,NA,NA,NA
234,0.7609,0.589134335,-0.205394099,0.086118499,NA,NA,NA
236,0.595,1.26730316,1.176117277,0.064617724,NA,NA,NA
239.2,0.6178,1.500908583,1.524973472,0.063468256,NA,NA,NA
241,0.6919,1.83566326,0.715832169,0.072575654,NA,NA,NA
242,0.6728,0.422943053,1.135268904,0.075307813,NA,NA,NA
244,0.6463,0.373092871,2.461599326,0.074223371,NA,NA,NA
245.1,0.52,-0.137916957,2.654396576,0.060352832,NA,NA,NA
247,0.6484,1.137664963,1.891160541,0.070283453,NA,NA,NA
250,0.6873,-0.527782123,2.643389583,0.083547073,NA,NA,NA
250.2,0.6303,0.679384485,1.076208577,0.070732802,NA,NA,NA
250.3,0.6177,0.20779043,0.972774427,0.070489558,NA,NA,NA
252.2,0.6183,1.201242895,0.26673933,0.066047108,NA,NA,NA
253.1,0.7801,1.474849107,1.786369014,0.082848343,NA,NA,NA
253.2,0.662,-0.765589439,1.461050315,0.081226994,NA,NA,NA
253.3,0.5538,-0.954272082,1.097887173,0.067892608,NA,NA,NA
255,0.6183,1.512463034,0.769830185,0.065997758,NA,NA,NA
255.2,0.7059,-0.941504641,1.72630451,0.088050393,NA,NA,NA
257,0.6942,1.686165431,-2.720527862,0.071855916,NA,NA,NA
261,0.5264,-0.483035103,1.111990661,0.063208453,NA,NA,NA
263.1,0.6689,2.808966566,0.881867349,0.064618654,NA,NA,NA
263.2,0.6357,0.367077079,2.358340914,0.073768494,NA,NA,NA
265,0.736,2.865387714,1.348720895,0.071640629,NA,NA,NA
267,0.6944,2.842180995,1.108250388,0.06960008,NA,NA,NA
269,0.6662,1.483496374,0.803248915,0.071519055,NA,NA,NA
270,0.7418,-0.065070618,-0.141412399,0.086938178,NA,NA,NA
271,0.6795,0.981405256,2.180270035,0.074522922,NA,NA,NA
273,0.4297,-2.065239126,-0.014031763,0.057739855,NA,NA,NA
276,0.7051,1.290135752,2.167489838,0.077275467,NA,NA,NA
277,0.5865,1.049804892,2.091888192,0.064824537,NA,NA,NA
279,0.5464,1.078172205,0.855284642,0.059510973,NA,NA,NA
280,0.5902,1.054899552,-0.039748878,0.064407704,NA,NA,NA
281,0.52,-0.289018782,0.587047963,0.061912132,NA,NA,NA
282,0.545,0.380533392,-0.754588527,0.060948334,NA,NA,NA
283,0.6404,-0.364863555,-0.907435807,0.076429168,NA,NA,NA
284,0.2505,-5.12495873,0.988307537,0.044125418,NA,NA,NA
285,0.5798,1.260813802,1.071090405,0.062166944,NA,NA,NA
286,0.5805,-0.064167419,1.680939229,0.06862919,NA,NA,NA
287,0.6208,-0.675569882,1.673204472,0.076097083,NA,NA,NA
288,0.6814,-0.166202747,2.152845574,0.080424904,NA,NA,NA
291,0.5887,-1.341538764,1.989286501,0.074774546,NA,NA,NA
292,0.5954,-0.06188852,2.776996257,0.071109519,NA,NA,NA
293,0.474,-0.763021932,-0.049255625,0.05822023,NA,NA,NA
294,0.4787,-2.804023196,-0.654002107,0.068093883,NA,NA,NA
295,0.7692,3.005140415,3.115623731,0.07576459,NA,NA,NA
296,0.5168,-1.475604516,-0.265380719,0.067781494,NA,NA,NA
298,0.5645,-0.685629973,0.251721218,0.07014165,NA,NA,NA
298.2,0.4894,-0.700910109,0.876439912,0.059712055,NA,NA,NA
299,0.4198,-2.024815732,0.452501793,0.057103992,NA,NA,NA
300,0.639,1.29437409,0.624957688,0.068991578,NA,NA,NA
301,0.612,2.091850134,0.887320887,0.062091006,NA,NA,NA
302,0.6367,-0.146954471,1.296958206,0.074307055,NA,NA,NA
303,0.5555,-0.12987889,-0.694351504,0.065237816,NA,NA,NA
305,0.578,0.962835243,-0.134375587,0.063193571,NA,NA,NA
307,0.6008,0.803961967,1.513315677,0.06646753,NA,NA,NA
308,0.4259,-1.997470714,2.118465203,0.057167785,NA,NA,NA
310,0.4634,-1.252339326,0.294811368,0.057748146,NA,NA,NA
311,0.547,1.068255985,1.15302732,0.060159472,NA,NA,NA
313.1,0.527,-1.434703563,0.938942098,0.068131868,NA,NA,NA
313.2,0.6403,-0.320518324,1.84304412,0.077602715,NA,NA,NA
315,0.5414,-1.29814015,0.693007257,0.069727606,NA,NA,NA
316.1,0.3779,-3.764932907,1.431624103,0.058858344,NA,NA,NA
316.2,0.5273,-2.529348872,1.989233597,0.073805025,NA,NA,NA
317.1,0.6313,0.144824746,1.130051831,0.073406977,NA,NA,NA
317.2,0.6454,0.42612222,0.516815503,0.073378432,NA,NA,NA
401.1,0.6125,3.171272587,0.432631993,0.060205436,0.0927,0.1074,0.2001
401.2,0.6521,1.998008223,0.399603917,0.068218433,0.0931,0.1048,0.1979
401.3,0.708,0.616315952,0.362429054,0.081243904,0.0737,0.0946,0.1683
402.1,0.6479,2.385761637,-0.392624003,0.065547069,0.0739,0.0995,0.1734
402.2,0.5817,0.532976042,0.142608967,0.067139889,0.0784,0.0755,0.1539
403.1,0.5695,0.093088282,0.851314609,0.067512299,0.0793,0.0851,0.1644
406.2,0.5498,2.034279748,0.745794719,0.057333542,0.0832,0.0969,0.1801
407.1,0.6293,1.536041189,-0.262697378,0.067506973,NA,NA,NA
407.2,0.8085,1.949490662,0.874497313,0.084398977,0.0994,0.1073,0.2067
407.3,0.6713,0.978026105,0.438463085,0.07425885,0.086,0.0942,0.1802
408.1,0.7099,3.578937714,0.620464851,0.067506657,0.0986,0.1035,0.2021
408.3,0.6294,2.309983106,-0.300055947,0.064507533,0.0907,0.0874,0.1781
408.4,0.6296,2.555719113,-0.283229124,0.063547817,0.09,0.0877,0.1777
410.1,0.5857,0.19837885,0.683527469,0.069498665,0.0763,0.0898,0.1661
410.2,0.5799,0.168601772,0.106505645,0.068513705,0.0692,0.0819,0.1511
411.1,0.6578,1.816103925,0.22861417,0.069982446,0.0789,0.0931,0.172
411.2,0.6648,0.794642881,-0.462709125,0.074810105,0.0745,0.0799,0.1544
412.1,0.639,1.377125024,0.012128429,0.068961796,0.0718,0.1024,0.1742
412.2,0.5555,1.078784569,-0.090485333,0.062219982,0.07,0.0939,0.1639
413.1,0.7112,1.730727888,-0.523830024,0.076137459,0.0879,0.1105,0.1984
413.2,0.7233,1.702682964,1.710117951,0.077053372,0.0861,0.1028,0.1889
413.3,0.5891,0.377481763,1.110577933,0.068519919,0.0732,0.0781,0.1513
415.1,0.7045,0.910255003,-0.976385044,0.079037415,0.0799,0.1186,0.1985
416.1,0.6331,0.581619555,0.279131593,0.072470238,NA,NA,NA
416.2,0.6368,-0.077561785,0.612551354,0.075262971,0.0738,0.0904,0.1642
418.1,0.5617,-0.675709264,1.214028559,0.07018618,0.0685,0.0832,0.1517
418.2,0.5342,-0.987570243,1.088648806,0.068844642,NA,NA,NA
420.1,0.6216,0.131653554,1.173551068,0.073890045,0.0736,0.0959,0.1695
420.2,0.5134,-2.134043385,-0.937564992,0.071784116,0.0629,0.0765,0.1394
421.1,0.7829,1.73613725,-3.360428463,0.083509333,0.0914,0.1049,0.1963
