id,sire,dam,sire.pop,dam.pop
3,NA,AU_1_2017,4,4
4,NA,HI_10_2017,3,3
5,NA,ENA_70_2017,1,1
6,NA,CA_8_2017,5,5
8.2,NA,ENA_1_2017,1,1
9,NA,ENA_1_2017,1,1
11,NA,CA_11_2017,5,5
12,NA,ENA_47_2017,1,1
14.1,NA,CA_9_2017,5,5
14.2,NA,CA_9_2017,5,5
14.3,NA,CA_9_2017,5,5
14.4,NA,CA_9_2017,5,5
15.1,NA,AU_1_2017,4,4
17,NA,ENA_56_2017,1,1
18,NA,HI_22_2017,3,3
20,NA,AU_1_2017,4,4
23,NA,ENA_1_2017,1,1
25,NA,CA_5_2017,5,5
27,NA,HI_10_2017,3,3
29,NA,AU_1_2017,4,4
36,NA,CA_11_2017,5,5
37,NA,HI_10_2017,3,3
38,NA,CA_5_2017,5,5
40,NA,ENA_1_2017,1,1
41,NA,HI_19_2017,3,3
44,NA,HI_22_2017,3,3
46,NA,HI_5_2017,3,3
47,NA,HI_22_2017,3,3
48,NA,HI_20_2017,3,3
49,NA,CA_5_2017,5,5
51,NA,ENA_2_2017,1,1
53,NA,HI_22_2017,3,3
54,NA,HI_10_2017,3,3
55,NA,ENA_47_2017,1,1
59,NA,CA_5_2017,5,5
60,NA,HI_19_2017,3,3
62,NA,ENA_1_2017,1,1
62.2,NA,AU_1_2017,4,4
62.3,NA,AU_1_2017,4,4
69,NA,HI_10_2017,3,3
70,NA,ENA_56_2017,1,1
72,NA,CA_11_2017,5,5
78,NA,HI_10_2017,3,3
80,NA,CA_2_2017,5,5
81,NA,HI_5_2017,3,3
82.1,NA,CA_10_2017,5,5
82.2,NA,ENA_2_2017,1,1
82.3,NA,ENA_2_2017,1,1
86,NA,CA_7_2017,5,5
89,NA,AU_1_2017,4,4
90,NA,CA_2_2017,5,5
92,NA,AU_1_2017,4,4
95,NA,ENA_56_2017,1,1
101,NA,ENA_2_2017,1,1
104,NA,CA_5_2017,5,5
107,NA,HI_22_2017,3,3
108,NA,HI_10_2017,3,3
109,NA,HI_10_2017,3,3
109.2,NA,ENA_1_2017,1,1
111,NA,CA_8_2017,5,5
114.1,NA,HI_10_2017,3,3
114.2,NA,CA_13_2017,5,5
114.3,NA,CA_13_2017,5,5
115,NA,HI_22_2017,3,3
117.1,NA,AU_1_2017,4,4
117.2,NA,AU_1_2017,4,4
117.3,NA,AU_1_2017,4,4
117.4,NA,AU_1_2017,4,4
120,NA,HI_10_2017,3,3
121,NA,CA_5_2017,5,5
121.2,NA,AU_1_2017,4,4
121.3,NA,AU_1_2017,4,4
121.4,NA,AU_1_2017,4,4
124.2,NA,AU_1_2017,4,4
125,NA,ENA_1_2017,1,1
127,NA,HI_10_2017,3,3
128,NA,HI_22_2017,3,3
128.2,NA,AU_1_2017,4,4
129,NA,CA_5_2017,5,5
134.1,NA,AU_1_2017,4,4
134.2,NA,AU_1_2017,4,4
134.3,NA,AU_1_2017,4,4
136,NA,AU_1_2017,4,4
137.1,NA,ENA_1_2017,1,1
137.2,NA,AU_1_2017,4,4
138,NA,ENA_70_2017,1,1
140,NA,CA_5_2017,5,5
144,NA,HI_22_2017,3,3
145.2,NA,AU_1_2017,4,4
145.3,NA,AU_1_2017,4,4
146,NA,ENA_2_2017,1,1
147,NA,CA_2_2017,5,5
150,NA,AU_1_2017,4,4
151,NA,ENA_1_2017,1,1
153,NA,ENA_2_2017,1,1
154,NA,ENA_2_2017,1,1
155,NA,AU_1_2017,4,4
158,NA,CA_8_2017,5,5
159,NA,CA_8_2017,5,5
160,NA,ENA_1_2017,1,1
162,NA,CA_11_2017,5,5
163,NA,ENA_1_2017,1,1
164,NA,HI_22_2017,3,3
168,NA,CA_10_2017,5,5
170,NA,HI_10_2017,3,3
171.2,NA,AU_1_2017,4,4
