Cat.ID,Index,Year,Date,Usage,Plant.ID,Species,Pop,GH,Group,Mon.Pop,ID,Caterpillar..,Weight,Pupation,Eclosion,Env.weight,Total.weight,Sex,OE,LLength,LWidth,LArea,LPer,RLength,RWidth,RArea,RPer,RHWArea,HW.Mass,days_to_pupation,days_to_eclosion,maternal_family,emergence_weight,infection_status,infection_status_binomial,sym.allo
513.1,1779,2018,9/8/18,1,513,AINC,4,Core,64,AU,A5,5,0.384,9/13/18,9/23/18,0.9515,1.4982,F,0,5.116,2.61,8.476,12.011,5.132,2.597,8.553,12.003,8.243,0.0102,13,23,AU_A5_2018,0.5467,uninfected,0,allopatric
517.1,1892,2018,9/9/18,1,517,AINC,4,Core,33,AU,A14,3,0.344,9/14/18,9/23/18,0.8979,1.3362,F,0,4.835,2.486,7.82,11.341,NA,NA,NA,NA,7.317,0.0086,13,22,AU_A14_2018,0.4383,uninfected,0,allopatric
519.1B,2536,2018,9/17/18,2,519,AINC,3,Core,87,AU,A13,1,0.445,9/23/18,10/1/18,0.9535,1.4253,F,5,4.822,2.441,7.691,11.272,4.792,2.512,7.808,11.308,7.358,0.0085,14,22,AU_A13_2018,0.4718,infected,1,allopatric
523.1B,2009,2018,9/10/18,2,523,AINC,3,Core,30,AU,A5,5,0.374,9/15/18,9/25/18,0.8878,1.3471,F,5,4.875,2.539,7.92,11.462,4.812,2.54,7.978,11.475,7.694,0.0091,13,23,AU_A5_2018,0.4593,infected,1,allopatric
523.2B,2006,2018,9/10/18,2,523,AINC,3,Core,30,AU,A5,2,0.31,9/16/18,9/24/18,0.9161,1.3491,F,5,4.666,2.374,7.179,10.886,4.577,2.387,7.129,10.806,6.97,0.0082,14,22,AU_A5_2018,0.433,infected,1,allopatric
523.4B,2007,2018,9/10/18,2,523,AINC,3,Core,30,AU,A5,3,0.087,9/18/18,9/27/18,0.9435,1.3666,F,5,4.621,2.462,7.354,10.945,4.606,2.514,7.514,11.067,6.936,0.0085,16,25,AU_A5_2018,0.4231,infected,1,allopatric
527.2B,2051,2018,9/11/18,2,527,AINC,2,Core,64,AU,A10,2,0.36,9/18/18,9/27/18,0.9701,1.3253,F,5,4.019,2.083,5.473,9.389,3.942,2.086,5.468,9.369,5.095,0.0057,15,24,AU_A10_2018,0.3552,infected,1,allopatric
529.2,1520,2018,8/30/18,1,529,AINC,2,Core,87,AU,A1,2,0.449,9/4/18,9/12/18,0.9109,1.3997,F,0,4.818,2.42,7.566,11.401,4.83,2.418,7.592,11.386,NA,NA,13,21,AU_A1_2018,0.4888,uninfected,0,allopatric
534.1,2547,2018,9/17/18,1,534,AINC,1,Core,67,AU,A10,4,0.35,9/22/18,10/1/18,0.9104,1.4815,F,2,5.07,2.607,8.447,11.861,5.03,2.645,8.543,11.853,8.218,0.0121,13,22,AU_A10_2018,0.5711,infected,1,allopatric
542.2BA,2362,2018,9/14/18,2,542,AINC,1,86W,10,AU,A11,1,0.108,9/23/18,10/2/18,0.8429,1.3534,F,0,4.979,2.542,8.215,11.589,4.842,2.537,8.162,11.513,7.723,0.0109,17,26,AU_A11_2018,0.5105,uninfected,0,allopatric
542.3BA,2364,2018,9/14/18,2,542,AINC,1,86W,10,AU,A11,3,0.104,9/23/18,10/2/18,0.8309,1.3428,F,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,17,26,AU_A11_2018,0.5119,uninfected,0,allopatric
558.1,1524,2018,8/30/18,1,558,AINC,3,Core,93,AU,A1,2,0.938,9/2/18,9/11/18,0.9116,1.4817,F,2,5.075,2.598,8.466,11.892,4.971,2.612,8.453,11.808,8.186,0.0102,11,20,AU_A1_2018,0.5701,infected,1,allopatric
563.1B,1791,2018,9/8/18,2,563,AINC,3,Core,70,AU,A9,2,0.409,9/12/18,9/21/18,0.9488,1.3997,F,5,4.632,2.45,7.498,11.145,4.567,2.468,7.406,10.937,7.184,0.0082,12,21,AU_A9_2018,0.4509,infected,1,allopatric
563.2B,1793,2018,9/8/18,2,563,AINC,3,Core,70,AU,A9,4,0.363,9/12/18,9/21/18,0.9418,1.4173,F,5,4.85,2.482,8.013,11.403,4.863,2.509,7.894,11.375,7.504,0.0087,12,21,AU_A9_2018,0.4755,infected,1,allopatric
564.1,2487,2018,9/16/18,1,564,AINC,3,Core,84,AU,A12,2,0.344,9/21/18,9/30/18,0.9151,1.4783,F,5,4.91,2.577,8.245,11.639,4.972,2.572,8.285,11.712,7.851,0.0095,13,22,AU_A12_2018,0.5632,infected,1,allopatric
570.2,1599,2018,9/1/18,1,570,AINC,5,Core,53,AU,A2,3,0.326,9/7/18,9/16/18,0.9603,1.5022,F,0,5.063,2.599,8.564,11.953,5.088,2.64,8.632,12,8.164,NA,14,23,AU_A2_2018,0.5419,uninfected,0,allopatric
571.1,2561,2018,9/17/18,1,571,AINC,5,Core,22,AU,A10,1,0.466,9/20/18,9/29/18,0.8868,1.2742,F,5,4.693,2.431,7.424,11.009,4.722,2.449,7.46,11.106,7.168,NA,11,20,AU_A10_2018,0.3874,infected,1,allopatric
572.2,2249,2018,9/13/18,1,572,AINC,SNA,86W,11,AU,A8,2,0.453,9/17/18,9/27/18,0.8655,1.4168,F,2,4.721,2.528,8.046,11.36,4.687,2.559,8.074,11.395,7.641,NA,12,22,AU_A8_2018,0.5513,infected,1,allopatric
574.4,2254,2018,9/13/18,1,574,AINC,SNA,86W,12,AU,A11,2,0.382,9/19/18,9/28/18,0.8461,1.4104,F,0,5.022,2.584,8.458,11.85,4.994,2.618,8.531,11.851,7.963,NA,14,23,AU_A11_2018,0.5643,uninfected,0,allopatric
576.3,2489,2018,9/16/18,1,576,AINC,SNA,Core,92,AU,A12,2,0.392,9/20/18,9/30/18,0.9254,1.4183,F,2,4.756,2.491,7.797,11.263,4.78,2.472,7.738,11.255,7.615,NA,12,22,AU_A12_2018,0.4929,infected,1,allopatric
576.4,2488,2018,9/16/18,1,576,AINC,SNA,Core,92,AU,A12,1,0.322,9/21/18,9/30/18,0.928,1.4154,F,1,4.78,2.58,8.124,11.434,4.835,2.585,8.206,11.52,7.924,NA,13,22,AU_A12_2018,0.4874,uninfected,0,allopatric
519.2B,2540,2018,9/17/18,2,519,AINC,3,Core,87,AU,A13,5,0.403,9/23/18,10/1/18,0.9783,1.5225,M,5,4.805,2.537,7.836,11.335,4.813,2.51,7.775,11.295,7.489,0.0092,14,22,AU_A13_2018,0.5442,infected,1,allopatric
527.1B,2050,2018,9/11/18,2,527,AINC,2,Core,64,AU,A10,1,0.38,9/18/18,9/27/18,0.9355,1.4023,M,0,4.509,2.39,6.94,10.639,4.582,2.435,7.054,10.773,7.064,0.0077,15,24,AU_A10_2018,0.4668,uninfected,0,allopatric
529.1,1519,2018,8/30/18,1,529,AINC,2,Core,87,AU,A1,1,0.511,9/4/18,9/12/18,0.9198,1.4928,M,0,4.953,2.573,8.217,11.681,4.991,2.634,8.238,11.722,7.759,0.0094,13,21,AU_A1_2018,0.573,uninfected,0,allopatric
534.2,2546,2018,9/17/18,1,534,AINC,1,Core,67,AU,A10,3,0.339,9/22/18,10/1/18,0.9231,1.5679,M,3,5.087,2.677,8.779,12.061,5.076,2.688,8.842,12.105,8.795,0.0113,13,22,AU_A10_2018,0.6448,infected,1,allopatric
534.3,2548,2018,9/17/18,1,534,AINC,1,Core,67,AU,A10,5,0.311,9/22/18,10/1/18,0.899,1.4768,M,5,5.031,2.596,8.424,11.787,5.006,2.589,8.379,11.83,8.166,0.0106,13,22,AU_A10_2018,0.5778,infected,1,allopatric
542.1BA,2363,2018,9/14/18,2,542,AINC,1,86W,10,AU,A11,2,0.263,9/20/18,10/1/18,0.853,1.476,M,0,5.228,2.769,9.459,12.46,5.181,2.757,9.423,12.41,9.31,0.0118,14,25,AU_A11_2018,0.623,uninfected,0,allopatric
