Index,Cat.ID,Eclosion,Sex,thorax,abdomen,fresh
162,401.1,15-Jun,F,0.0927,0.1074,yes
163,401.2,14-Jun,F,0.0931,0.1048,yes
166,401.3,16-Jun,M,0.0737,0.0946,yes
817,401.1B,17-Jul,F,0.075,0.1084,yes
818,401.2B,18-Jul,F,0.0723,0.0774,yes
1410,402.1B,6-Sep,F,0.0711,0.0766,yes
665,402.2,20-Jul,M,0.0784,0.0755,yes
667,402.1,19-Jul,F,0.0739,0.0995,yes
1664,403.1,20-Sep,M,0.0793,0.0851,yes
1866,405.3,24-Sep,M,0.0817,0.0802,yes
1867,405.2,25-Sep,M,NA,NA,NA
1573,406.2,16-Sep,F,0.0832,0.0969,yes
1574,406.1,14-Sep,F,NA,NA,NA
343,407.2B,4-Jul,M,0.0824,0.0877,yes
344,407.1B,3-Jul,M,0.082,0.1056,yes
1,407.1,29-May,F,NA,NA,NA
2,407.3,31-May,M,0.086,0.0942,yes
3,407.2,30-May,M,0.0994,0.1073,yes
122,408.1,14-Jun,M,0.0986,0.1035,yes
123,408.2,14-Jun,M,0.0933,0.0906,yes
124,408.3,14-Jun,M,0.0907,0.0874,yes
125,408.4,14-Jun,M,0.09,0.0877,yes
669,408.1B,18-Jul,M,0.0989,0.1028,yes
671,408.3B,19-Jul,F,0.0913,0.1049,yes
672,408.2B,18-Jul,M,0.1027,0.1105,yes
2338,409.1,28-Sep,F,0.0719,0.0788,yes
2339,409.2,28-Sep,F,0.0483,0.0408,yes
2340,409.3,30-Sep,NA,NA,NA,NA
1870,410.1,22-Sep,F,0.0763,0.0898,yes
1873,410.2,22-Sep,M,0.0692,0.0819,yes
571,411.2B,18-Jul,F,NA,NA,NA
573,411.1B,18-Jul,M,NA,NA,NA
127,411.1,13-Jun,M,0.0789,0.0931,yes
128,411.2,13-Jun,F,0.0745,0.0799,yes
822,412.1,20-Jul,F,0.0718,0.1024,yes
823,412.2,21-Jul,M,0.07,0.0939,yes
523,413.1,7-Jul,M,0.0879,0.1105,yes
524,413.2,7-Jul,M,0.0861,0.1028,yes
526,413.3,7-Jul,F,0.0732,0.0781,yes
2344,413.1B,27-Sep,F,0.0713,0.08,yes
2345,413.2B,28-Sep,F,0.0735,0.0755,yes
2100,414.4,27-Sep,F,0.0671,0.0915,yes
2101,414.3,25-Sep,F,0.0607,0.072,yes
2102,414.2,25-Sep,F,0.058,0.0687,yes
2104,414.1,25-Sep,F,0.059,0.0746,yes
2687,415.1B,2-Oct,NA,NA,NA,NA
2688,415.3B,4-Oct,M,0.0723,0.1097,yes
2690,415.2B,3-Oct,NA,NA,NA,NA
577,415.1,18-Jul,M,0.0799,0.1186,yes
2514,416.3B,2-Oct,NA,NA,NA,NA
2515,416.1B,2-Oct,M,0.0669,0.097,yes
NA,416.2B,2-Oct,M,0.0602,0.081,yes
415,416.1,5-Jul,M,NA,NA,NA
417,416.2,6-Jul,F,0.0738,0.0904,yes
2350,417.1,27-Sep,F,0.0532,0.0564,yes
2351,417.2,27-Sep,F,0.0679,0.0741,yes
2352,417.3,29-Sep,M,0.0774,0.0652,yes
1516,418.1,11-Sep,F,0.0685,0.0832,yes
1518,418.2,11-Sep,F,NA,NA,NA
580,420.2,20-Jul,F,0.0629,0.0765,yes
581,420.1,18-Jul,M,0.0736,0.0959,yes
1760,421.1B,21-Sep,M,0.0705,0.0731,yes
1762,421.2B,22-Sep,M,NA,NA,NA
49,421.2,2-Jun,M,NA,NA,NA
50,421.1,4-Jun,M,0.0914,0.1049,yes
53,421.3,5-Jun,M,0.092,0.0945,yes
1995,422.2,25-Sep,M,0.0837,0.0927,yes
1997,422.1,25-Sep,M,0.0758,0.079,yes
1998,422.3,24-Sep,F,0.0622,0.0655,yes
2214,423.2,29-Sep,M,0.0763,0.073,yes
2216,423.1,28-Sep,M,0.0828,0.0825,yes
1767,424.1,24-Sep,F,0.0493,0.0499,yes
1768,424.2,26-Sep,NA,NA,NA,NA
1127,425.1,12-Aug,F,0.0618,0.0801,yes
1129,425.2,12-Aug,F,0.0593,0.0682,yes
2036,426.2B,3-Oct,M,0.0795,0.1032,yes
2038,426.1B,30-Sep,M,NA,NA,NA
825,426.2,19-Jul,M,0.0939,0.1157,yes
2218,427.1,26-Sep,M,0.0578,0.0705,yes
1465,428.2B,13-Sep,F,0.0325,0.03,yes
1466,428.1B,10-Sep,M,0.0775,0.0898,yes
921,428.1,4-Aug,F,0.0709,0.0701,yes
922,428.3,5-Aug,F,0.0664,0.101,yes
923,428.2,5-Aug,M,0.0684,0.0744,no
