year,location,acreage,hectares
1993,East,15.39,6.22811754
1994,East,19.3,7.8104398
1995,East,31.16,12.61001576
1996,East,44.95,18.1906357
1997,East,14.26,5.77082236
1998,East,13.74,5.56038564
1999,East,22.16,8.96784176
2000,East,9.46,3.82832956
2001,East,23.13,9.36038718
2002,East,18.63,7.53930018
2003,East,27.48,11.12077128
2004,East,5.41,2.18935126
2005,East,14.6,5.9084156
2006,East,16.98,6.87156828
2007,East,11.39,4.60937354
2008,East,12.5,5.058575
2009,East,4.47,1.80894642
2010,East,9.93,4.01853198
2011,East,7.14,2.88945804
2012,East,2.94,1.18977684
2013,East,1.66,0.67177876
2014,East,2.79,1.12907394
2015,East,9,3.642174
2016,East,7.19,2.90969234
2017,East,6.12,2.47667832
2018,East,14.95,6.0500557
2019,East,6.99,2.82875514
