"","quality_grade","observed_on","captive","location"
"1","research","2021-02-28",FALSE,"34.2986875943,-118.8586124294"
"2","research","2021-02-28",FALSE,"33.9925448453,-118.0877733137"
"3","research","2021-02-27",FALSE,"33.8699574466,-118.3321832608"
"4","research","2019-08-03",FALSE,"41.8793754,-73.4768697"
"5","research","2021-02-26",FALSE,"17.8866562843,-92.8159037385"
"6","research","2021-02-26",FALSE,"37.4589989166,-122.0296080548"
"7","research","2021-02-02",FALSE,"34.0860055,-118.2670883333"
"8","research","2021-02-17",FALSE,"34.0489666667,-118.3841416667"
"9","research","2021-02-20",FALSE,"37.4537830277,-122.1555621018"
"10","research","2021-02-20",FALSE,"37.5549876284,-122.1388115495"
"11","research","2021-02-22",FALSE,"20.1108732647,-100.6733653502"
"12","research","2021-02-21",FALSE,"33.9251116667,-118.4236133333"
"13","research","2021-02-20",FALSE,"29.5775428556,-95.7645037025"
"14","research","2021-02-21",FALSE,"34.0934982663,-118.347314759"
"15","research","2020-09-20",FALSE,"41.0415675059,-73.8459704595"
"16","research","2021-02-08",FALSE,"17.0282282678,-96.7332879687"
"17","research","2021-02-19",FALSE,"37.5006542117,-122.056543571"
"18","research","2021-02-19",FALSE,"33.3990624278,-111.8714942646"
"19","research","2021-01-12",FALSE,"21.3160295858,-157.7970200774"
"20","research","2021-02-18",FALSE,"33.8330112619,-118.1234859208"
"21","needs_id","2021-02-18",FALSE,"33.387265525,-111.8635407534"
"22","research","2021-02-17",FALSE,"37.487251048,-122.0881741576"
"23","research","2021-02-17",FALSE,"37.5240774401,-122.1486204185"
"24","research","2013-04-17",FALSE,"-33.6891501151,151.2685381249"
"25","needs_id","2020-07-07",FALSE,"-34.9011611729,138.7227347925"
"26","research","2021-02-15",FALSE,"33.5990533333,-117.7433916667"
"27","research","2021-02-15",FALSE,"28.0369654,-81.7650794"
"28","research","2021-02-14",FALSE,"33.8149161318,-118.3436715849"
"29","research","2015-09-07",FALSE,"39.2436404729,-84.4560772233"
"30","research","2015-09-06",FALSE,"39.2138473606,-84.4322712269"
"31","research","2021-02-13",FALSE,"37.4861066002,-122.0965757322"
"32","research","2015-09-05",FALSE,"39.3622787548,-84.4498444814"
"33","needs_id","2021-02-13",FALSE,NA
"34","research","2021-02-12",FALSE,"26.0661193059,-81.6741653787"
"35","research","2021-02-09",FALSE,"34.0831496434,-118.0888866442"
"36","research","2021-02-07",FALSE,"36.9879583333,-122.0113833333"
"37","research","2021-02-09",FALSE,"33.4040115966,-111.8699853858"
"38","research","2021-01-29",FALSE,"33.908486,-117.8908729722"
"39","research","2021-02-04",FALSE,"38.6282116667,-121.3935466667"
"40","research","2021-02-07",FALSE,"37.4987235352,-122.0412233569"
"41","research","2021-02-07",FALSE,"37.5656588148,-122.0420544314"
"42","research","2021-02-07",FALSE,"37.4397329936,-122.1404454677"
"43","research","2021-02-05",FALSE,"37.4913266745,-122.1925725259"
"44","research","2020-09-03",FALSE,"41.5445404,-73.2090025"
"45","research","2004-01-01",FALSE,"35.951701772,-78.9905507259"
"46","research","2020-07-01",FALSE,"37.2862904,-82.2935306"
"47","research","2021-01-28",FALSE,NA
"48","research","2021-01-30",FALSE,"37.4339121048,-122.0933472609"
"49","research","2021-01-30",FALSE,"37.4165333882,-122.0559783383"
"50","research","2021-01-30",FALSE,"37.5123954828,-122.0743198798"
"51","research","2021-01-30",FALSE,"37.5311029085,-122.0757362646"
"52","research","2021-01-30",FALSE,"37.4958204131,-122.0108616706"
"53","research","2020-05-20",FALSE,"37.9037666667,-122.2816944444"
"54","research","2020-01-18",FALSE,"34.0238445,-118.322395"
"55","research","2021-01-31",FALSE,"37.949549114,-122.2826670384"
"56","research","2021-01-24",FALSE,"37.4581615725,-122.0824659166"
"57","research","2021-01-30",FALSE,"33.8998741858,-118.1288732518"
"58","research","2021-01-31",FALSE,"33.7608254,-118.3904339"
"59","research","2021-01-30",FALSE,"37.8324839635,-122.3812215187"
"60","research","2021-01-29",FALSE,"37.8743680695,-122.3538655142"
"61","research","2021-01-28",FALSE,"37.838513377,-122.2731319243"
"62","research","2020-07-25",FALSE,"44.1997157362,-88.6670221986"
"63","research","2020-07-25",FALSE,"44.1999007199,-88.6676743868"
"64","research","2021-01-26",FALSE,"36.9838616667,-122.0160972167"
"65","research","2021-01-26",FALSE,"37.9528002125,-122.2466205676"
"66","research","2021-01-24",FALSE,"29.9804333333,-95.6396116667"
"67","research","2021-01-25",FALSE,"37.9639813158,-122.3936428986"
"68","research","2021-01-25",FALSE,"29.8222866667,-95.4270083333"
"69","research","2021-01-24",FALSE,"28.9374756853,-81.3142490904"
"70","research","2021-01-24",FALSE,"28.1439285095,-80.6600453491"
"71","research","2021-01-23",FALSE,"37.563050501,-122.1979583681"
"72","research","2021-01-23",FALSE,"37.4735318673,-122.1207889084"
"73","research","2021-01-22",FALSE,"37.9697216667,-122.55893"
"74","research","2021-01-22",FALSE,"37.9076986478,-122.2161283899"
"75","research","2021-01-22",FALSE,"34.2254229698,-119.3441991831"
"76","research","2019-09-10",FALSE,"45.1370140024,-92.5359748297"
"77","research","2021-01-21",FALSE,"37.8737681175,-122.230028903"
"78","research","2021-01-21",FALSE,"37.5303354741,-122.0447132628"
"79","research","2021-01-21",FALSE,"37.416601586,-122.1913483726"
"80","research","2021-01-20",FALSE,"37.9743151147,-122.2005523133"
"81","research","2019-08-19",FALSE,"39.729625,-86.1556638333"
"82","research","2021-01-18",FALSE,"29.6985602239,-95.5814006373"
"83","research","2021-01-18",FALSE,"37.8524959454,-122.2962059224"
"84","research","2021-01-17",FALSE,"37.8636311614,-122.3730682862"
"85","research","2021-01-17",FALSE,"25.5889583333,-80.4039944444"
"86","research","2021-01-15",FALSE,"37.8039583333,-122.20398"
"87","research","2021-01-16",FALSE,"37.4872793552,-122.010134514"
"88","research","2021-01-15",FALSE,"37.8806323562,-122.2257627867"
"89","research","2019-08-14",FALSE,"41.4607975282,-73.9500527627"
"90","research","2021-01-14",FALSE,"37.4012221844,-122.0028352312"
"91","research","2021-01-13",FALSE,"26.6659792366,-80.2508733229"
"92","research","2021-01-08",FALSE,"34.3014116667,-119.2906033333"
"93","research","2021-01-07",FALSE,"37.506849509,-122.1875705393"
"94","research","2020-11-07",FALSE,"37.88002,-122.292045"
"95","research","2020-08-06",FALSE,"44.5690305,-80.9405602"
"96","needs_id","2021-01-02",FALSE,"33.7682254426,-118.1551046112"
"97","research","2020-08-30",FALSE,"42.7665291348,-81.4926556576"
"98","research","2021-01-02",FALSE,"29.7118029793,-95.4116976634"
"99","research","2021-01-01",FALSE,"37.7669964588,-122.2521326341"
"100","research","2020-08-03",FALSE,"44.66721667,-86.03235"
"101","research","2020-12-31",FALSE,"37.4191988858,-122.0640176277"
"102","research","2020-12-31",FALSE,"37.592298034,-122.0827081408"
"103","research","2020-12-30",FALSE,"21.363225,-157.9541555556"
"104","research","2019-08-28",FALSE,"44.7082138686,-77.2411575468"
"105","research","2020-12-16",FALSE,"37.8043953789,-122.2022293573"
"106","research","2020-12-20",FALSE,"19.4112499722,-102.036011"
"107","research","2020-09-05",FALSE,"35.3967903011,-120.8564614132"
"108","research","2020-12-17",FALSE,"33.8482644854,-118.2227538277"
"109","research","2020-12-16",FALSE,"32.80772,-117.25917"
"110","research","2020-12-15",FALSE,"32.96145965,-117.25939765"
"111","research","2020-12-14",FALSE,"34.0934056484,-118.3471686601"
"112","research","2020-10-26",FALSE,"36.9589533333,-122.0417028333"
"113","research","2019-11-10",FALSE,"36.9590383333,-122.0415278333"
"114","research","2020-12-13",FALSE,"38.6088820672,-90.3238160109"
"115","research","2020-10-17",FALSE,"36.9589116667,-122.0417333333"
"116","research","2020-08-20",FALSE,"44.33761167,-69.8863"
"117","research","2020-12-11",FALSE,"33.7681509694,-118.1550321915"
"118","research","2019-09-04",FALSE,"45.7429218104,-65.824445358"
"119","research","2019-09-04",FALSE,"45.7429218104,-65.824445358"
"120","research","2020-12-06",FALSE,"37.87376667,-122.28510333"
"121","research","2020-12-07",FALSE,"34.0133446874,-118.4341586196"
"122","research","2020-12-07",FALSE,"37.91861352,-122.04389392"
"123","research","2020-11-10",FALSE,"37.2878285,-121.9150209"
"124","research","2020-12-06",FALSE,"33.87760041,-118.1263600047"
"125","research","2020-11-30",FALSE,"33.9543792459,-118.4427169227"
"126","research","2020-12-05",FALSE,"-28.2584758669,153.4016952943"
"127","research","2020-12-05",FALSE,"37.7888457757,-122.1867455543"
"128","research","2020-09-01",FALSE,"37.6820160661,-82.782011744"
"129","research","2020-11-27",FALSE,"37.6168333333,-81.605255"
"130","research","2020-05-07",FALSE,"30.2828855996,-98.0675460759"
"131","research","2020-09-04",FALSE,"42.0259055556,-74.2042305556"
"132","research","2020-11-30",FALSE,"34.464955,-119.18273"
"133","research","2020-08-13",FALSE,"34.0161567153,-118.4425315441"
"134","research","2020-11-29",FALSE,"35.9628736268,-81.1184989977"
"135","research","2012-09-08",FALSE,"44.7082138686,-77.2411575468"
"136","research","2020-11-28",FALSE,"34.1862921423,-119.1974249056"
"137","research","2020-11-28",FALSE,"33.9242867,-117.3355138"
"138","research","2020-10-24",FALSE,"45.5795730811,-82.6947881212"
"139","research","2020-11-23",FALSE,"37.8432694444,-122.2845833333"
"140","research","2020-11-23",FALSE,"37.8432111111,-122.2846611111"
"141","research","2020-11-19",FALSE,"37.8432017,-122.2845507"
"142","research","2020-11-14",FALSE,"37.8432017,-122.2845507"
"143","research","2020-11-13",FALSE,"37.8432166667,-122.284675"
"144","research","2020-11-12",FALSE,"37.8432111111,-122.2846361111"
"145","research","2020-11-09",FALSE,"37.8432305556,-122.2847527778"
"146","research","2020-11-23",FALSE,"37.8434781117,-122.2859859467"
"147","research","2020-11-24",FALSE,"28.0713318333,-81.7920256779"
"148","research","2020-11-24",FALSE,"28.0759591856,-81.7929496989"
"149","research","2020-11-24",FALSE,"28.0791143801,-81.7908632755"
"150","research","2020-09-02",FALSE,"40.4405377818,-79.951597662"
"151","research","2020-11-23",FALSE,"37.85962,-122.27291167"
"152","research","2020-11-23",FALSE,"34.1060333333,-118.2884216667"
"153","research","2020-11-16",FALSE,"32.7852283889,-117.2032626111"
"154","research","2020-11-20",FALSE,"45.086404739,-64.3678745627"
"155","research","2020-10-06",FALSE,"37.999789325,-122.2389492375"
"156","research","2019-07-26",FALSE,"44.1973700304,-88.6646505484"
"157","research","2020-11-19",FALSE,"34.015830329,-118.4423835349"
"158","research","2018-09-02",FALSE,"44.7082138686,-77.2411575468"
"159","research","2020-11-15",FALSE,"34.3400685124,-118.8304343908"
"160","research","2020-10-30",FALSE,"34.70794667,-77.11695833"
"161","research","2020-10-30",FALSE,"34.70830333,-77.11695"
"162","research","2020-11-14",FALSE,"38.0129662387,-122.5623711987"
"163","research","2020-10-10",FALSE,"38.7376922648,-83.1126824752"
"164","research","2020-11-13",FALSE,"33.8525712753,-118.3664886208"
"165","research","2020-11-13",FALSE,"34.4713539886,-119.2004321616"
"166","research","2020-11-12",FALSE,"36.5067203237,-82.2363745049"
"167","research","2020-11-11",FALSE,"34.2789616667,-118.4509883333"
"168","research","2011-09-16",FALSE,"44.0469549492,-80.0669289402"
"169","research","2020-11-10",FALSE,"45.1327515282,-64.2402205382"
"170","research","2020-11-10",FALSE,"41.3533169641,-73.9309260317"
"171","research","2020-11-09",FALSE,"32.8321920338,-117.184196479"
"172","research","2020-10-10",FALSE,"38.6973325,-83.171767"
"173","research","2020-11-08",FALSE,"36.5635086366,-82.2262243554"
"174","research","2020-11-08",FALSE,"37.7733246495,-122.256513148"
"175","research","2020-10-18",FALSE,"37.8751916667,-122.2907033333"
"176","research","2020-09-10",FALSE,"42.5190194444,-83.0046916667"
"177","research","2020-11-06",FALSE,"37.90348,-122.5443583333"
"178","research","2020-10-31",FALSE,"44.0995913907,-78.1638170035"
"179","research","2020-11-04",FALSE,"38.8744194598,-77.1337840742"
"180","research","2020-11-03",FALSE,"29.8477076145,-95.4580497936"
"181","research","2019-08-26",FALSE,"45.3261265385,-75.8003537703"
"182","research","2020-11-01",FALSE,"37.5234784176,-77.4445226031"
"183","research","2020-11-01",FALSE,"29.6320922161,-95.8107022382"
"184","research","2020-10-28",FALSE,"38.8744679294,-77.1337919659"
"185","research","2020-10-31",FALSE,"36.97905,-121.94303"
"186","research","2020-10-28",FALSE,"38.9360622359,-77.0625589584"
"187","research","2020-10-27",FALSE,"37.7712817,-76.5145602"
"188","research","2020-09-30",FALSE,"44.300745,-68.27655833"
"189","research","2020-10-27",FALSE,"38.8458708944,-77.1725397869"
"190","research","2020-10-27",FALSE,"38.8862564023,-77.1219579648"
"191","research","2020-09-22",FALSE,"39.0709763733,-76.7764194517"
"192","research","2020-07-28",FALSE,"26.5676,-81.97393"
"193","research","2020-10-28",FALSE,"26.5671467594,-81.9739967096"
"194","research","2020-10-26",FALSE,"38.8850135836,-77.1305459727"
"195","research","2020-10-26",FALSE,"38.8688132368,-77.1798304788"
"196","research","2020-10-27",FALSE,"36.9823829369,-122.0059708806"
"197","research","2020-10-27",FALSE,"40.2007811191,-75.6187504716"
"198","research","2020-10-27",FALSE,"34.2735015731,-118.8751191686"
"199","research","2020-10-17",FALSE,"40.3031722,-79.0079949"
"200","research","2020-10-16",FALSE,"40.3031722,-79.0079949"
"201","research","2020-10-16",FALSE,"40.3031722,-79.0079949"
"202","research","2020-10-15",FALSE,"40.3031722,-79.0079949"
"203","research","2020-10-14",FALSE,"40.3031722,-79.0079949"
