Index,Population,Garden,Genotype,Cumulative_Mass,Bag_Mass,Inside_Bag_Mass,Inside_Bag_Only_Mass,Year,Row,Column
84,El_Capitan,SBBG,200,12.559,7.144,0,0,2017,6,2
100,El_Capitan,SBBG,501,95.92,59.17,8.84,7.1,2016,7,2
100,El_Capitan,SBBG,501,84.904,57.248,0,0,2017,7,2
11,El_Capitan,SBBG,504,15.625,7.439,0,0,2017,1,11
5,El_Capitan,SBBG,505,185.51,59.31,26.59,7.1,2016,1,5
63,El_Capitan,SBBG,505,160.93,60.51,12.41,7.79,2016,4,14
73,El_Capitan,SBBG,505,188.28,61.32,32.08,7.58,2016,5,8
5,El_Capitan,SBBG,505,147.562,57.833,0,0,2017,1,5
63,El_Capitan,SBBG,505,14.842,7.241,0,0,2017,4,14
73,El_Capitan,SBBG,505,131.801,57.851,0,0,2017,5,8
28,El_Capitan,SBBG,506,200.97,57.88,25.78,7.47,2016,2,10
45,El_Capitan,SBBG,506,216.49,59.1,24.23,7.41,2016,3,12
92,El_Capitan,SBBG,506,159.3,58.65,29.9,7.1,2016,6,11
28,El_Capitan,SBBG,506,175.986,56.202,0,0,2017,2,10
45,El_Capitan,SBBG,506,166.951,57.528,0,0,2017,3,12
92,El_Capitan,SBBG,506,116.099,57.049,0,0,2017,6,11
35,El_Capitan,SBBG,507,146.98,58.87,10.23,7.29,2016,3,17
59,El_Capitan,SBBG,507,223.37,59.54,26.02,7.16,2016,4,10
81,El_Capitan,SBBG,507,143.9,58.12,16.54,7.24,2016,5,16
35,El_Capitan,SBBG,507,9.894,7.206,0,0,2017,3,17
59,El_Capitan,SBBG,507,176.502,58.248,0,0,2017,4,10
81,El_Capitan,SBBG,507,NA,NA,0,0,2017,5,16
13,El_Capitan,SBBG,508,226.46,58.93,28.73,7.33,2016,1,13
20,El_Capitan,SBBG,508,160.76,56.08,21.99,7.36,2016,2,2
13,El_Capitan,SBBG,508,116.306,56.542,0,0,2017,1,13
20,El_Capitan,SBBG,508,100.189,54.269,0,0,2017,2,2
3,Gaviota,SBBG,1,149.23,59.47,0,0,2016,1,3
17,Gaviota,SBBG,1,230.95,58.57,27.57,7.22,2016,1,17
30,Gaviota,SBBG,1,187.33,58.46,53.56,7.38,2016,2,12
75,Gaviota,SBBG,1,188.7,57.88,22.5,7.34,2016,5,10
3,Gaviota,SBBG,1,124.934,56.994,0,0,2017,1,3
17,Gaviota,SBBG,1,171.253,58.102,0,0,2017,1,17
30,Gaviota,SBBG,1,18.668,7.253,0,0,2017,2,12
75,Gaviota,SBBG,1,263.278,115.031,0,0,2017,5,10
99,Gaviota,SBBG,1,11.516,6.947,0,0,2017,7,1
41,Gaviota,SBBG,5,225.24,59.26,43.85,7.36,2016,3,7
71,Gaviota,SBBG,5,161.15,58.11,10.96,7.21,2016,5,6
90,Gaviota,SBBG,5,143.75,58.8,17.77,7.12,2016,6,9
110,Gaviota,SBBG,5,123.64,58.69,19.89,7.23,2016,7,13
7,Gaviota,SBBG,5,91.852,57.055,0,0,2017,1,7
41,Gaviota,SBBG,5,20.297,7.24,0,0,2017,3,7
71,Gaviota,SBBG,5,86.972,56.88,0,0,2017,5,6
90,Gaviota,SBBG,5,119.54,57.288,0,0,2017,6,9
110,Gaviota,SBBG,5,94.743,57.312,0,0,2017,7,13
57,Gaviota,SBBG,6,147.76,59.54,33.63,8.12,2016,4,8
61,Gaviota,SBBG,6,193.68,60.36,37.6,7.75,2016,4,12
86,Gaviota,SBBG,6,155.83,59.21,31.84,7.45,2016,6,4
106,Gaviota,SBBG,6,158.7,59.29,33,7.26,2016,7,9
57,Gaviota,SBBG,6,89.729,56.786,0,0,2017,4,8
61,Gaviota,SBBG,6,103.166,57.342,0,0,2017,4,12
86,Gaviota,SBBG,6,153.744,57.782,0,0,2017,6,4
106,Gaviota,SBBG,6,27.027,7.318,0,0,2017,7,9
15,Gaviota,SBBG,601,117.31,58.63,20.8,7.28,2016,1,15
65,Gaviota,SBBG,601,116.31,59.27,19.04,7.25,2016,4,16
67,Gaviota,SBBG,601,80.83,59.75,0,0,2016,5,1
15,Gaviota,SBBG,601,11.398,7.192,0,0,2017,1,15
65,Gaviota,SBBG,601,81.555,56.955,0,0,2017,4,16
67,Gaviota,SBBG,601,9.638,7.332,0,0,2017,5,1
9,Gaviota,SBBG,602,176.19,58.56,21.55,6.83,2016,1,9
22,Gaviota,SBBG,602,171.97,61.29,15.41,7.54,2016,2,4
47,Gaviota,SBBG,602,120.25,57.18,18.14,7.16,2016,3,14
58,Gaviota,SBBG,602,118.3,61.19,8.19,7.22,2016,4,9
102,Gaviota,SBBG,602,127.77,58.5,9.54,7.24,2016,7,4
9,Gaviota,SBBG,602,111.039,56.723,0,0,2017,1,9
22,Gaviota,SBBG,602,24.657,7.222,0,0,2017,2,4
47,Gaviota,SBBG,602,12.311,7.118,0,0,2017,3,14
102,Gaviota,SBBG,602,103.771,57.186,0,0,2017,7,4
37,Gaviota,SBBG,603,140.33,59.49,10.01,7.27,2016,3,2
95,Gaviota,SBBG,603,132.16,60.01,15.66,7.35,2016,6,14
37,Gaviota,SBBG,603,NA,NA,0,0,2017,3,2
58,Gaviota,SBBG,603,8.745,7.248,0,0,2017,4,9
95,Gaviota,SBBG,603,111.547,57.298,0,0,2017,6,14
14,Santa_Cruz,SBBG,1,298.39,59.13,48.47,7.38,2016,1,14
33,Santa_Cruz,SBBG,1,341.95,59.4,116.89,56.3,2016,2,15
40,Santa_Cruz,SBBG,1,259.19,62.6,10.38,7.75,2016,3,6
56,Santa_Cruz,SBBG,1,252.73,59.82,23.33,7.12,2016,4,7
14,Santa_Cruz,SBBG,1,136.127,56.791,0,0,2017,1,14
