Name,Position,Elevation,Categories
CERC48,N34.50470¡ W120.20581¡,536 m,
CERC47,N34.50465¡ W120.20575¡,537 m,
CERC46,N34.50463¡ W120.20572¡,539 m,
HET61,N34.50440¡ W120.20558¡,542 m,
PRUN65,N34.50423¡ W120.20625¡,520 m,
HET62,N34.50405¡ W120.20720¡,483 m,
DEND47,N34.50376¡ W120.19791¡,685 m,
CMEG66,N34.50373¡ W120.20807¡,466 m,
CMEG65,N34.50366¡ W120.20747¡,474 m,
HET63,N34.50363¡ W120.20991¡,437 m,
CERC50,N34.50360¡ W120.20971¡,441 m,
DEND46,N34.50360¡ W120.19712¡,697 m,
CERC49,N34.50354¡ W120.20945¡,446 m,
CERC54,N34.50350¡ W120.21229¡,403 m,
CERC51,N34.50350¡ W120.20979¡,436 m,
PRUN61,N34.50348¡ W120.19822¡,681 m,
DEND49,N34.50341¡ W120.20007¡,660 m,
DEND48,N34.50341¡ W120.19995¡,660 m,
PRUN66,N34.50339¡ W120.20854¡,454 m,
CERC52,N34.50334¡ W120.21076¡,420 m,
DEND45,N34.50334¡ W120.19738¡,705 m,
DEND50,N34.50332¡ W120.20031¡,658 m,
CERC53,N34.50331¡ W120.21203¡,405 m,
PRUN67,N34.50331¡ W120.21201¡,407 m,
CMEG68,N34.50331¡ W120.21099¡,417 m,
HET65,N34.50330¡ W120.21106¡,416 m,
CMEG67,N34.50329¡ W120.21016¡,429 m,
CMEG69,N34.50328¡ W120.21268¡,394 m,
HET64,N34.50327¡ W120.21029¡,426 m,
DEND51,N34.50326¡ W120.20067¡,655 m,
DEND53,N34.50321¡ W120.20315¡,602 m,
CMEG63,N34.50318¡ W120.20674¡,504 m,
HET59,N34.50314¡ W120.20111¡,646 m,
PRUN64,N34.50313¡ W120.20315¡,604 m,
PRUN62,N34.50301¡ W120.19948¡,666 m,
HET58,N34.50298¡ W120.19781¡,719 m,
CMEG64,N34.50297¡ W120.20691¡,499 m,
DEND44,N34.50289¡ W120.19785¡,719 m,
DEND52,N34.50282¡ W120.20132¡,636 m,
CMEG70,N34.50278¡ W120.21286¡,378 m,
PRUN63,N34.50265¡ W120.20141¡,637 m,
HET60,N34.50263¡ W120.20175¡,633 m,
PRUN69,N34.50254¡ W120.21382¡,338 m,
PRUN68,N34.50254¡ W120.21275¡,384 m,
CMEG62,N34.50209¡ W120.19858¡,740 m,
HET66,N34.50204¡ W120.21436¡,320 m,
PRUN60,N34.50185¡ W120.19880¡,741 m,
PRUN5,N34.09510¡ W118.65501¡,371 m,
CMEG2,N34.09502¡ W118.64850¡,378 m,
CMEG1,N34.09500¡ W118.64833¡,380 m,
PRUN8,N34.09431¡ W118.65135¡,362 m,
PRUN7,N34.09429¡ W118.65137¡,360 m,
PRUN9,N34.09426¡ W118.65159¡,365 m,
PRUN6,N34.09424¡ W118.65199¡,358 m,
QBER1,N34.09421¡ W118.65612¡,396 m,
HET4,N34.09406¡ W118.65718¡,405 m,
HET1,N34.09392¡ W118.65583¡,393 m,
PRUN4,N34.09385¡ W118.65679¡,402 m,
PRUN3,N34.09382¡ W118.65679¡,403 m,
PRUN1,N34.09381¡ W118.65683¡,402 m,
PRUN2,N34.09380¡ W118.65681¡,403 m,
HET3,N34.09375¡ W118.65679¡,410 m,
HET5,N34.09352¡ W118.65464¡,392 m,
QBER6,N34.09341¡ W118.65460¡,394 m,
QBER7,N34.09328¡ W118.65430¡,397 m,
HET6,N34.09327¡ W118.65423¡,398 m,
QBER8,N34.09313¡ W118.65408¡,405 m,
HET7,N34.09311¡ W118.65407¡,405 m,
HET8,N34.09306¡ W118.65401¡,409 m,
QBER9,N34.09303¡ W118.65405¡,410 m,
HET9,N34.09296¡ W118.65436¡,411 m,
QBER10,N34.09296¡ W118.65431¡,411 m,
HET10,N34.09223¡ W118.65395¡,430 m,
QBER2,N34.09184¡ W118.65511¡,446 m,
CERC3,N34.09150¡ W118.65577¡,465 m,
QBER4,N34.09150¡ W118.65530¡,460 m,
HET2,N34.09149¡ W118.65578¡,467 m,
CERC4,N34.09147¡ W118.65550¡,462 m,
CERC10,N34.09144¡ W118.65414¡,446 m,
CERC8,N34.09142¡ W118.65487¡,457 m,
