[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Stachys_bullata\FINAL_RUNS\EC81.D
1=,INT TIC: EC81.D\data.ms
[INT TIC: EC81.D\data.ms]
Time=,Fri Jun 12 16:33:04 2020
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  8.689,  966, 979, 996,"rBV ", 357392,   928143,  6.03,  2.008
2=,  2,  9.541, 1119,1128,1143,"rVB2",  23855,    59256,  0.39,  0.128
3=,  3, 10.056, 1198,1218,1235,"rBV ", 583667,  1454621,  9.45,  3.147
4=,  4, 12.128, 1568,1580,1591,"rVB ", 463564,  1017710,  6.61,  2.201
5=,  5, 12.448, 1625,1636,1651,"rBV2",  64716,   142799,  0.93,  0.309
6=,  6, 14.056, 1907,1917,1930,"rVB6", 111700,   266848,  1.73,  0.577
7=,  7, 14.411, 1971,1979,1994,"rVB2",  29272,    67482,  0.44,  0.146
8=,  8, 14.960, 2066,2075,2085,"rVB2",  70580,   156784,  1.02,  0.339
9=,  9, 15.858, 2221,2232,2243,"rBV ",  64857,   155249,  1.01,  0.336
10=, 10, 16.070, 2260,2269,2278,"rBV2",  25292,    58034,  0.38,  0.126
11=, 11, 17.895, 2577,2588,2606,"rBB8",  15263,    58033,  0.38,  0.126
12=, 12, 18.639, 2708,2718,2730,"rBV ", 157706,   367594,  2.39,  0.795
13=, 13, 19.097, 2786,2798,2810,"rBV ", 274228,   806459,  5.24,  1.744
14=, 14, 19.223, 2810,2820,2830,"rVB ",1209053,  3096429, 20.12,  6.698
15=, 15, 20.596, 3034,3060,3076,"rBV ",2283366,  5776032, 37.53, 12.494
16=, 16, 20.974, 3117,3126,3130,"rBV5",  23187,    59150,  0.38,  0.128
17=, 17, 21.025, 3130,3135,3148,"rVB5",  36367,    96579,  0.63,  0.209
18=, 18, 22.427, 3372,3380,3390,"rBV4",  33176,    80442,  0.52,  0.174
19=, 19, 23.240, 3511,3522,3539,"rVB4",  49787,   149796,  0.97,  0.324
20=, 20, 23.629, 3581,3590,3604,"rVB4",  25868,    75276,  0.49,  0.163
21=, 21, 24.064, 3650,3666,3672,"rBV7",  29068,   111017,  0.72,  0.240
22=, 22, 24.304, 3695,3708,3722,"rBV7",  12542,    60941,  0.40,  0.132
23=, 23, 24.464, 3725,3736,3750,"rBV2",  94495,   247855,  1.61,  0.536
24=, 24, 24.790, 3786,3793,3803,"rVB6",  22640,    57547,  0.37,  0.124
25=, 25, 25.099, 3839,3847,3858,"rVB2",  58730,   144104,  0.94,  0.312
26=, 26, 25.283, 3858,3879,3896,"rVB10",  19092,    78255,  0.51,  0.169
27=, 27, 25.677, 3940,3948,3960,"rVB4",  50633,   126214,  0.82,  0.273
28=, 28, 26.370, 4050,4069,4084,"rBV ",1950352,  5174267, 33.62, 11.193
29=, 29, 26.667, 4109,4121,4136,"rBV ", 589478,  1444231,  9.38,  3.124
30=, 30, 27.205, 4203,4215,4229,"rBV ",  14620,    54003,  0.35,  0.117
31=, 31, 28.292, 4398,4405,4413,"rVB7",  20993,    52442,  0.34,  0.113
32=, 32, 28.756, 4471,4486,4497,"rBV7",  55500,   233710,  1.52,  0.506
33=, 33, 29.191, 4555,4562,4569,"rBV2",  21635,    57993,  0.38,  0.125
34=, 34, 29.299, 4572,4581,4597,"rVB3",  86181,   234858,  1.53,  0.508
35=, 35, 29.534, 4611,4622,4652,"rVB6",  73632,   289088,  1.88,  0.625
36=, 36, 29.975, 4682,4699,4714,"rBV7",  82858,   370481,  2.41,  0.801
37=, 37, 30.318, 4745,4759,4779,"rBV9",  44836,   228597,  1.49,  0.494
38=, 38, 30.839, 4815,4850,4885,"rBV ",3238012, 15390287,100.00, 33.291
39=, 39, 31.193, 4902,4912,4926,"rBV9",  90226,   270939,  1.76,  0.586
40=, 40, 31.777, 5002,5014,5027,"rVB2",1030749,  2759586, 17.93,  5.969
41=, 41, 32.429, 5121,5128,5140,"rBV7",  31965,    87226,  0.57,  0.189
42=, 42, 32.641, 5150,5165,5173,"rBV7",  16152,    64572,  0.42,  0.140
43=, 43, 32.984, 5214,5225,5241,"rBV2", 114799,   418310,  2.72,  0.905
44=, 44, 33.127, 5241,5250,5259,"rVB2",  17636,    65796,  0.43,  0.142
45=, 45, 33.396, 5277,5297,5313,"rVB8",  65849,   255646,  1.66,  0.553
46=, 46, 33.551, 5314,5324,5338,"rBV5",  55995,   175999,  1.14,  0.381
47=, 47, 33.677, 5338,5346,5358,"rBV5",  19490,    68749,  0.45,  0.149
48=, 48, 36.709, 5864,5876,5886,"rBV ", 161204,   443348,  2.88,  0.959
49=, 49, 37.179, 5950,5958,5967,"rBV5",  20920,    53018,  0.34,  0.115
50=, 50, 37.842, 6064,6074,6089,"rBV4",  51781,   154022,  1.00,  0.333
51=, 51, 38.106, 6108,6120,6145,"rVB2", 146916,   558197,  3.63,  1.207
52=, 52, 42.809, 6940,6942,6951,"rVB ",  90259,   125096,  0.81,  0.271
53=, 53, 43.307, 7026,7029,7037,"rVB3",  96145,   163392,  1.06,  0.353
54=, 54, 43.662, 7086,7091,7103,"rVB3", 202825,   550192,  3.57,  1.190
55=, 55, 43.873, 7123,7128,7146,"rVB2", 354740,   786462,  5.11,  1.701
