[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Stachys_bullata\FINAL_RUNS\SMM108.D
1=,INT TIC: SMM108.D\data.ms
[INT TIC: SMM108.D\data.ms]
Time=,Fri Jun 12 16:49:28 2020
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  4.735,  279, 288, 303,"rBV3",  35088,   102294,  0.60,  0.149
2=,  2,  5.599,  432, 439, 451,"rBV2",  22128,    52506,  0.31,  0.076
3=,  3,  8.689,  967, 979, 998,"rBV2", 413186,  1104813,  6.48,  1.606
4=,  4, 10.056, 1197,1218,1233,"rBV ", 655978,  1650539,  9.69,  2.399
5=,  5, 10.245, 1242,1251,1264,"rVB ",  27215,    65222,  0.38,  0.095
6=,  6, 10.491, 1287,1294,1308,"rBV4",  25646,    63457,  0.37,  0.092
7=,  7, 10.766, 1334,1342,1359,"rVB4",  18605,    52743,  0.31,  0.077
8=,  8, 11.767, 1509,1517,1527,"rBV3",  23423,    55775,  0.33,  0.081
9=,  9, 11.933, 1535,1546,1568,"rBV ", 150066,   408642,  2.40,  0.594
10=, 10, 12.128, 1570,1580,1592,"rVB2",  79650,   185647,  1.09,  0.270
11=, 11, 13.186, 1756,1765,1777,"rVB3",  25830,    62495,  0.37,  0.091
12=, 12, 14.050, 1907,1916,1927,"rVB2", 155979,   326666,  1.92,  0.475
13=, 13, 14.417, 1972,1980,1998,"rBV3",  23455,    66311,  0.39,  0.096
14=, 14, 15.859, 2219,2232,2245,"rBV3",  80851,   193585,  1.14,  0.281
15=, 15, 16.076, 2253,2270,2279,"rBV2",  24601,    60129,  0.35,  0.087
16=, 16, 16.459, 2328,2337,2351,"rVB3",  32681,    73936,  0.43,  0.107
17=, 17, 16.888, 2402,2412,2420,"rBV4",  20697,    53914,  0.32,  0.078
18=, 18, 17.930, 2576,2594,2608,"rBV2", 133245,   455254,  2.67,  0.662
19=, 19, 18.262, 2642,2652,2663,"rBV4",  80752,   202970,  1.19,  0.295
20=, 20, 18.645, 2707,2719,2729,"rBV3",  24785,    77365,  0.45,  0.112
21=, 21, 19.091, 2787,2797,2807,"rBV2",  73481,   178662,  1.05,  0.260
22=, 22, 19.217, 2807,2819,2829,"rVV ",1105474,  2766027, 16.23,  4.020
23=, 23, 20.356, 3007,3018,3032,"rBV3",  99578,   252546,  1.48,  0.367
24=, 24, 20.585, 3048,3058,3074,"rVB2", 742430,  1754621, 10.30,  2.550
25=, 25, 20.791, 3086,3094,3106,"rBV4",  31313,    76912,  0.45,  0.112
26=, 26, 20.997, 3116,3130,3133,"rBV4", 334984,   922459,  5.41,  1.341
27=, 27, 21.323, 3174,3187,3195,"rBV2", 133100,   414155,  2.43,  0.602
28=, 28, 22.427, 3374,3380,3390,"rVB5",  32553,    79583,  0.47,  0.116
29=, 29, 23.148, 3493,3506,3513,"rBV5",  30964,   105578,  0.62,  0.153
30=, 30, 23.240, 3513,3522,3541,"rVB3", 137171,   458317,  2.69,  0.666
