PlantID,SourcePop,SourceIM,Site,RT_8.506_alpha_phellandrene,RT_8.695_R_alpha_pinene,RT_9.152_camphene,RT_9.547_benzaldehyde,RT_9.993_sabinene,RT_10.056_beta_pinene,RT_10.245_3_octenol,RT_10.486_3_5_dimethyl_2_octanone,RT_10.611_beta_myrcene,RT_10.754_3_octanol,RT_10.997_alpha_phellandrene,RT_11.166_carene,RT_11.567_o_cymene,RT_11.641_beta_cymene,RT_11.773_d_limonene,RT_11.939_benzyl_alcohol,RT_12.133_trans_beta_ocimene,RT_12.242_alpha_tolualdehyde,RT_12.448_cis_beta_ocimene,RT_12.667_norpinene,RT_12.746_crithmene,RT_13.158_1_octanol,RT_14.056_linalool,RT_14.422_phenylethyl_alcohol,RT_14.96_allo_ocimene,RT_15.864_internal_standard_tetralin,RT_16.076_unknown_compound,RT_17.317_2_6_Dimethyl_3_5_7_octatriene_2_ol,RT_18.256_beta_citral,RT_18.645_trans_geraniol,RT_19.097_alpha_citral,RT_19.137_1_undecanol,RT_19.217_1_methyl_2_methylene_3_5_divinylcyclohexane,RT_20.121_4_Hydroxy_2_methylacetophenone,RT_20.35_unknown compound,RT_20.579_methyl_geranate,RT_20.968_elixene,RT_21.323_4_methoxy_acetophenone,RT_21.472_eugenol,RT_22.004_alpha_cubebene,RT_22.25_beta_bourbonene,RT_22.433_beta_elemene,RT_22.897_methyl_9_dodecenoate,RT_23.148_beta_carophyllene,RT_23.24_unknown_compound,RT_23.394_unknown_sesquiterpene,RT_23.554_alpha_bergamotene,RT_23.64_caryophyllene_oxide,RT_23.732_beta_sesquiphellandrene,RT_24.018_alpha_caryophyllene,RT_24.064_E_beta_farnesene,RT_24.464_Z_7_Hexadecene,RT_24.716_germacrene_D,RT_25.014_alpha_farnesene,RT_25.105_elixene,RT_25.34_alpha_farnesene,RT_25.368_beta_bisabolene,RT_25.523_gamma_muurolene,RT_25.678_hedycaryol,RT_25.741_d_cadinene,RT_26.358_elemol,RT_26.667_cis_farnesol,RT_26.713_trans_nerolidol,RT_26.999_germacren_D_4_ol,RT_27.045_spathulenol,RT_27.789_alpha_fenchene,RT_30.33_isoaromadendre_epoxide,RT_30.747_isoaromadendre_epoxide,RT_30.839_alpha_bulnesene,RT_31.182_isoaromadendre_epoxide,RT_31.794_alpha_copaenol,RT_32.063_isoaromadendre_epoxide,RT_32.441_unknown_compound,RT_32.704_unknown_compound,RT_33.419_isoaromadendre_epoxide,RT_33.62_E_3_Tetradecene,RT_34.467_Pentadecanoic_acid,RT_37.843_methyl_linoleate,RT_38.141_phytol
EC20,El_Capitan,Mainland,SBBG,0,2258747,0,0,0,3700101,118940,73340,0,0,0,0,0,0,124403,54688,688288,69700,81599,0,0,0,0,81132,103991,431764,0,0,0,0,0,62054,3309685,116017,0,76155,133278,0,0,87749,124350,225329,0,518741,129862,58714,0,0,0,343602,0,361060,1642413,0,414936,0,0,78336,0,55883,1685884,504734,0,2292321,0,105903,569170,2816373,0,0,228502,480319,85690,0,63179,0,264098,1342809,2244687
EC45,El_Capitan,Mainland,SBBG,0,1119441,0,0,0,1774992,0,0,0,0,0,0,0,0,51692,0,293950,0,0,0,0,0,0,0,0,185598,0,0,0,0,0,0,770726,0,0,285519,0,0,0,0,0,0,0,0,163471,0,0,0,0,50161,0,0,0,0,145000,0,0,0,0,0,1127151,344568,0,0,71595,77306,107657,2449321,0,778069,11132059,0,145587,54441,155260,0,168331,1109784,3267961
EC73,El_Capitan,Mainland,SBBG,0,1776239,0,88210,0,2825357,86320,0,0,0,0,0,0,0,81144,0,764586,70699,68863,0,0,111461,834096,59904,116209,297278,118203,57043,0,0,0,0,1274000,188847,0,1326161,0,0,0,0,0,0,0,0,89499,0,0,0,0,0,0,0,0,0,55906,0,0,0,73163,0,3508175,301108,0,0,0,0,56481,1004907,0,210013,2691321,0,127783,0,220646,0,144605,1179405,1714667
EC81,El_Capitan,Mainland,SBBG,0,928143,0,59256,0,1454621,0,0,0,0,0,0,0,0,0,0,1017710,0,142799,0,0,0,266848,67482,156784,155249,58034,0,0,367594,806459,0,3096429,0,0,5776032,59150,0,0,0,0,80442,0,0,149796,0,0,0,0,111017,0,247855,0,0,144104,78255,0,0,126214,0,5174267,1444231,0,0,0,0,228597,15390287,0,270939,2759586,0,87226,0,255646,0,0,154022,558197
EC92,El_Capitan,Mainland,SBBG,0,622738,0,80258,0,1744908,87359,0,0,0,0,0,0,0,59608,0,431964,69251,60338,0,0,0,0,0,63944,351169,0,0,0,0,0,0,1361851,0,0,247894,94160,0,0,0,0,0,0,0,77850,0,0,0,0,0,0,0,0,0,287416,0,0,0,0,0,1639843,214969,0,0,0,0,0,301976,0,387436,5801392,0,0,56234,0,0,156123,1072544,2132333
EC100,El_Capitan,Mainland,SBBG,0,1141988,0,0,0,1728554,0,65682,0,0,0,0,0,0,78824,185973,78906,0,0,0,0,0,0,0,0,193070,0,0,0,0,0,0,821716,0,0,467356,123368,0,0,0,0,50641,0,0,108183,0,0,0,0,0,0,0,0,0,391051,0,0,0,0,0,1901608,277107,0,0,109862,0,0,6398854,0,743928,11259303,0,0,182460,112862,0,0,0,281978
GAV15,Gaviota,Mainland,SBBG,106817,602423,0,0,0,867464,78144,61837,438355,0,0,809959,0,124308,361909,65142,216255,0,0,0,140598,0,54394,69911,0,321679,0,0,0,0,0,0,546167,0,0,200507,0,0,0,0,0,0,0,72693,56337,0,0,0,0,0,0,0,490935,0,61730,71647,0,0,0,0,82936,124466,0,115824,0,0,0,0,0,486190,7855932,0,0,51755,0,0,50740,279334,506746
GAV17,Gaviota,Mainland,SBBG,0,2119523,0,0,0,3339262,122087,56154,0,0,0,0,0,0,103840,0,955098,69857,55944,0,0,0,0,72272,155444,269093,0,0,0,0,0,0,0,54237,0,0,0,0,0,0,0,0,0,77031,0,0,295688,0,414736,0,1376408,0,121726,0,0,0,2877707,80614,0,844946,0,0,0,92895,0,0,0,0,0,56815,163950,179405,51496,0,330022,0,132176,785304,1239900
GAV57,Gaviota,Mainland,SBBG,0,717186,0,0,0,1934577,201023,58651,54662,0,0,0,0,0,91050,0,2460341,95471,218135,0,0,65297,236528,69250,358362,347520,65906,0,0,0,0,0,2029792,0,0,0,0,0,0,0,0,74547,0,117566,77232,0,0,0,0,108024,0,0,408655,60620,91960,110044,902020,0,0,0,0,0,0,565570,0,50244,159365,2083695,0,65034,560768,86377,0,0,0,0,131904,1009589,1896369
GAV95,Gaviota,Mainland,SBBG,667136,1207172,0,0,162278,1597246,65655,56994,1649606,0,0,3291396,234133,559398,1478898,179116,240579,0,0,0,514297,0,0,56994,0,341179,0,0,0,0,120760,0,0,0,0,1477224,257582,70914,0,109403,144728,113028,0,298069,0,83770,0,0,0,140707,0,0,2247155,100770,758561,82637,0,198953,0,134584,72049,0,27390525,564224,0,0,0,0,0,61565,0,0,67299,0,0,0,52345,74436,239740
