ID,mass(mg),area(cm^2),SLA,leaves,area/leaf
3,40.02,103.827,2.594377811,8,12.978375
4,57.51,137.214,2.385915493,8,17.15175
5,63.53,116.425,1.832598772,6,19.40416667
6,36.48,96.474,2.644572368,6,16.079
8,82.35,168.524,2.046435944,8,21.0655
9,44.53,73.875,1.658993937,8,9.234375
12,47.42,119.442,2.518810628,6,19.907
13,74.27,137.058,1.845401912,8,17.13225
14,30.1,80.995,2.690863787,6,13.49916667
16,33.9,84.825,2.502212389,6,14.1375
17,46.37,88.018,1.898166918,6,14.66966667
20,25.97,61.048,2.35071236,8,7.631
22,23.07,44.878,1.945296922,6,7.479666667
26,19.45,32.567,1.674395887,6,5.427833333
27,45.57,79.046,1.734606101,6,13.17433333
28,37.35,68.772,1.841285141,6,11.462
29,40.39,69.064,1.7099282,6,11.51066667
31,64.23,117.511,1.829534485,8,14.688875
33,58.45,127.375,2.179213003,6,21.22916667
38,84.58,145.445,1.719614566,6,24.24083333
40,34.08,87.497,2.567400235,6,14.58283333
41,28.25,38.638,1.367716814,6,6.439666667
42,22.17,61.751,2.78534055,6,10.29183333
44,49.74,103.13,2.073381584,8,12.89125
45,39.85,70.63,1.772396487,8,8.82875
46,72.07,180.642,2.506479811,6,30.107
48,30,54.065,1.802166667,6,9.010833333
52,33.58,79.151,2.357087552,6,13.19183333
54,NA,NA,NA,NA,NA
56,44.12,105.477,2.390684497,6,17.5795
57,28.54,42.264,1.480868956,6,7.044
59,34.84,60.89,1.747703789,6,10.14833333
60,44.53,87.623,1.96772962,6,14.60383333
61,29.82,52.041,1.745171026,6,8.6735
64,46.95,100.327,2.136890309,6,16.72116667
65,26.01,41.977,1.613879277,6,6.996166667
66,25.51,60.532,2.372873383,6,10.08866667
69,20.53,39.974,1.947101802,6,6.662333333
70,68.1,151.602,2.226167401,6,25.267
71,32.64,50.122,1.53560049,6,8.353666667
73,19.34,39.936,2.064943123,6,6.656
74,24.48,54.987,2.24620098,6,9.1645
75,54.88,112.584,2.051457726,6,18.764
76,42.23,103.821,2.458465546,8,12.977625
77,33.13,58.882,1.777301539,6,9.813666667
78,56.99,118.465,2.078698017,6,19.74416667
79,34.27,58.721,1.713481179,6,9.786833333
80,32.59,70.82,2.173059221,6,11.80333333
81,40.53,76.297,1.882482112,6,12.71616667
82,37.7,68.973,1.829522546,6,11.4955
83,25.07,66.234,2.641962505,6,11.039
85,25.04,49.087,1.96034345,6,8.181166667
86,36.05,76.371,2.118474341,6,12.7285
88,18.6,35.738,1.921397849,6,5.956333333
89,37.27,83.924,2.251784277,6,13.98733333
90,27.53,49.488,1.797602615,6,8.248
91,86.57,136.463,1.576331293,8,17.057875
92,23.15,51.222,2.212613391,6,8.537
94,42.29,82.552,1.952045401,6,13.75866667
95,35.14,85.324,2.428116107,6,14.22066667
96,43.18,105.564,2.444742937,6,17.594
98,59.02,106.626,1.80660793,8,13.32825
100,40.19,73.718,1.834237372,6,12.28633333
101,36.22,89.979,2.484235229,6,14.9965
102,23.4,39.937,1.706709402,6,6.656166667
104,30.19,40.845,1.352931434,6,6.8075
105,32.93,74.503,2.262465837,6,12.41716667
106,26.47,51.482,1.944918776,6,8.580333333
107,22.97,85.87,3.738354375,6,14.31166667
108,21.87,42.528,1.944581619,6,7.088
110,36.15,66.088,1.828160443,6,11.01466667
112,70.59,140.372,1.988553619,6,23.39533333
SC1,25.16,36.328,1.443879173,6,6.054666667
SC22,37.34,100.125,2.681440814,6,16.6875
SC18-1,47.66,69.098,1.449811162,8,8.63725
SC15,50.47,96.295,1.907965128,6,16.04916667
SC3,38.82,56.79,1.462905719,6,9.465
SC10,22.25,27.174,1.221303371,6,4.529
SC2,31.49,44.705,1.419657034,6,7.450833333
SC35,16.36,24.519,1.498716381,6,4.0865
SC27-1,31.95,74.645,2.336306729,6,12.44083333
SC27-2,25.96,36.57,1.408705701,6,6.095
SC34,38.4,47.216,1.229583333,6,7.869333333
SC28,24.37,38.103,1.563520722,4,9.52575
SC30,46.45,71.072,1.53007535,6,11.84533333
SC18-2,26.21,40.693,1.552575353,6,6.782166667
SC23,25.3,50.749,2.005889328,6,8.458166667
