Index,IM,Source,Site,Exclosure,Species,Plant,Position,Aspect,Elevation_(m),Diameter1_(mm),Diameter2_(mm),Stem_area_cm2,1st_year?,Leaf_ID,Leaf_Length,Leaf_Area_petiole,Leaf_Area_no.petiole,Internal_area_correction,True_area,Leaf_Area_corrected,Leaf_Area_corrected_final,Area_no_spines
1,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Lower,SSW,380,149,0,17.44,0,1,1.956,1.636,1.593,0,1.593,1.593,1.593,1.593
2,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Lower,SSW,380,149,0,17.44,0,2,2.216,1.791,1.749,0,1.749,1.787,1.787,1.787
3,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Lower,SSW,380,149,0,17.44,0,3,2.321,2.256,2.22,0,2.22,2.236,2.236,2.236
4,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Lower,SSW,380,149,0,17.44,0,4,2.521,1.868,1.852,0,1.852,2.198,2.198,2.198
5,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Lower,SSW,380,149,0,17.44,0,5,2.164,1.163,1.123,0,1.123,1.416,1.416,1.416
6,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Lower,SSW,380,149,0,17.44,0,6,2.08,1.437,1.414,0,1.414,1.471,1.471,1.471
7,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Lower,SSW,380,149,0,17.44,0,7,2.326,1.957,1.909,0,1.909,1.909,1.909,1.909
8,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Lower,SSW,380,149,0,17.44,0,8,2.175,1.692,1.659,0,1.659,1.663,1.663,1.663
9,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Lower,SSW,380,149,0,17.44,0,9,1.894,1.415,1.366,0,1.366,1.366,1.366,1.366
10,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Lower,SSW,380,149,0,17.44,0,10,2.199,1.602,1.602,0,1.602,1.647,1.647,1.647
11,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Lower,SSW,380,149,0,17.44,0,11,1.554,0.829,0.799,0,0.799,0.999,0.999,0.999
12,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Lower,SSW,380,149,0,17.44,0,12,2.121,1.448,1.417,0,1.417,1.566,1.566,1.566
13,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Lower,SSW,380,149,0,17.44,0,13,NA,0.441,0.406,0,0.406,0.708,0.708,0.708
14,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Lower,SSW,380,149,0,17.44,0,14,NA,0.366,0.344,0,0.344,0.675,0.675,0.675
15,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Upper,SSW,380,149,0,17.44,0,1,1.44,0.798,0.798,0,0.798,1.159,1.159,1.159
16,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Upper,SSW,380,149,0,17.44,0,2,1.305,0.759,0.733,0,0.733,0.767,0.767,0.767
17,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Upper,SSW,380,149,0,17.44,0,3,1.93,1.429,1.409,0,1.409,1.409,1.409,1.409
18,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Upper,SSW,380,149,0,17.44,0,4,1.455,0.962,0.952,0,0.952,1.033,1.033,1.033
19,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Upper,SSW,380,149,0,17.44,0,5,1.546,0.968,0.946,0,0.946,0.973,0.973,0.973
20,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Upper,SSW,380,149,0,17.44,0,6,1.521,1.128,1.126,0,1.126,1.126,1.126,1.126
