SampleID,Source,Site,Species,PlantID,Age,Tissue_Mass,Dilution1,Dilution2,Absorbance,Sample Concentration,Tissue Concentration,Notes
1,SBBG,Catalina,Prunus,SBBG1,old,69.9,30,10,0.248,0.345797785,1.484110667,
2,SBBG,Catalina,Prunus,SBBG1,young,79.6,30,20,0.108,0.091668179,0.690966176,
3,SBBG,Santa Cruz,Heteromeles,SBBGHET1,old,103.6,30,1,0.135,0.140678889,0.04073713,
4.1,SBBG,Santa Cruz,Heteromeles,SBBGHET1,young,98.5,30,1,0.639,NA,NA,over-concentrated; 0.282796544
4.2,SBBG,Santa Cruz,Heteromeles,SBBG1,young,98.5,30,10,0.132,0.135233255,0.411877933,
5,Stunt Ranch,Stunt Ranch,Prunus,9,old,60.1,30,10,0.439,0.692503177,3.456754625,
6,SBBG,Catalina,Prunus,SBBG2,old,106.7,30,10,0.167,0.198765656,0.558853766,
7.1,SBBG,Catalina,Prunus,SBBG2,young,22.4,30,1,0.802,NA,NA,over-concentrated; 1.586522276
7.2,SBBG,Catalina,Prunus,SBBG2,young,22.4,30,10,0.135,0.140678889,1.884092265,
8,Gaviota,Gaviota,Heteromeles,58,old,98,30,10,0.202,0.262298058,0.802953238,
9,Gaviota,Gaviota,Heteromeles,58,young,62.4,30,10,0.138,0.146124524,0.702521748,
10,Gaviota,Gaviota,Heteromeles,62,old,68.8,30,10,0.107,0.089852968,0.391800732,
11,Gaviota,Gaviota,Heteromeles,62,young,60.1,30,10,0.171,0.206026502,1.02841848,
12,Gaviota,Gaviota,Heteromeles,65,old,67.2,30,10,0.138,0.146124524,0.652341623,
13,Gaviota,Gaviota,Heteromeles,65,young,55.5,30,10,0.202,0.262298058,1.417827339,
14,Santa Monicas,Santa Monicas,Prunus,39,old,55.9,30,10,0.374,0.574514431,3.083261704,
15,Santa Monicas,Santa Monicas,Prunus,39,young,30.3,30,10,0.184,0.229624251,2.273507438,
16,Gaviota,Gaviota,Prunus,69,old,59.7,30,10,0.268,0.382102015,1.920110628,
17,Gaviota,Gaviota,Prunus,69,young,53.5,30,20,0.161,0.187874387,2.107002475,
18,Gaviota,Gaviota,Cercocarpus,50,old,75.1,30,1,NA,NA,NA,
19,Gaviota,Gaviota,Cercocarpus,50,young,92.8,30,1,NA,NA,NA,
20,Gaviota,Gaviota,Prunus,64,old,68.6,30,20,0.238,0.327645671,2.865705575,
21,Gaviota,Gaviota,Prunus,64,young,81,30,20,0.288,0.418406244,3.099305514,
22,Santa Rosa,Santa Rosa,Prunus,21,old,49.8,30,10,0.342,0.516427664,3.111010023,
23,Santa Rosa,Santa Rosa,Prunus,21,young,44.2,30,10,0.19,0.24051552,1.632458281,
24,Santa Rosa,Santa Rosa,Heteromeles,19,old,42.1,30,10,0.111,0.097113814,0.692022426,
25,Santa Rosa,Santa Rosa,Heteromeles,19,young,69.3,30,10,0.15,0.167907061,0.726870395,
26,Gaviota,Gaviota,Prunus,68,old,55.1,30,10,0.385,0.594481757,3.236742779,
27,Gaviota,Gaviota,Prunus,68,young,36.8,30,10,0.309,0.456525685,3.721676782,
28,Santa Cruz,Santa Cruz,Prunus,27,old,48.6,30,10,0.147,0.162461427,1.002848313,
29,Santa Cruz,Santa Cruz,Prunus,27,young,77.2,30,10,0.382,0.589036123,2.289000477,
30,Santa Rosa,Santa Rosa,Prunus,16,old,49.6,30,10,0.272,0.389362861,2.355017303,
