Species,Number,Position,Mass
Cercocarpus,1,Lower,0.6432
Cercocarpus,1,Upper,0.8219
Cercocarpus,2,Lower,0.6522
Cercocarpus,3,Lower,0.2895
Cercocarpus,3,Upper,0.4031
Cercocarpus,4,Lower,0.5607
Cercocarpus,4,Upper,0.7640
Cercocarpus,5,Lower,0.4124
Cercocarpus,5,Upper,0.4713
Cercocarpus,6,Lower,0.6050
Cercocarpus,6,Upper,0.5119
Cercocarpus,7,Lower,0.5369
Cercocarpus,7,Upper,0.4489
Cercocarpus,8,Lower,0.6995
Cercocarpus,9,Lower,0.8585
Cercocarpus,10,Lower,0.3257
Cercocarpus,10,Upper,0.4625
Cercocarpus,11,Lower,0.3936
Cercocarpus,11,Upper,0.7169
Cercocarpus,12,Lower,0.5299
Cercocarpus,12,Upper,0.5381
Cercocarpus,13,Lower,0.1866
Cercocarpus,13,Upper,0.2989
Cercocarpus,14,Lower,0.5891
Cercocarpus,15,Lower,0.6595
Cercocarpus,15,Upper,0.5605
Cercocarpus,16,Lower,0.3366
Cercocarpus,17,Lower,0.6928
Cercocarpus,17,Upper,0.8468
Cercocarpus,18,Lower,1.6455
Cercocarpus,18,Upper,0.8957
Cercocarpus,19,Lower,1.0613
Cercocarpus,19,Upper,1.0266
Cercocarpus,20,Lower,1.3948
Cercocarpus,20,Upper,0.9483
Cercocarpus,21,Lower,0.5386
Cercocarpus,22,Lower,0.6638
Cercocarpus,22,Upper,1.1115
Cercocarpus,23,Lower,0.8466
Cercocarpus,24,Lower,0.3000
Cercocarpus,24,Upper,0.5148
Cercocarpus,25,Lower,0.6960
Cercocarpus,26,Lower,0.4129
Cercocarpus,26,Upper,0.4592
Cercocarpus,27,Lower,0.5547
Cercocarpus,27,Upper,0.4331
Cercocarpus,28,Lower,0.9227
Cercocarpus,29,Lower,0.1746
Cercocarpus,29,Upper,0.4376
Cercocarpus,30,Lower,0.6836
Cercocarpus,30,Upper,0.5937
Cercocarpus,31,Lower,0.6110
Cercocarpus,31,Upper,0.3054
Cercocarpus,32,Upper,0.6852
Cercocarpus,34,Lower,0.4864
Cercocarpus,35,Upper,0.5221
Cercocarpus,36,Lower,0.2056
Cercocarpus,36,Upper,0.8386
Cercocarpus,37,Lower,0.1525
Cercocarpus,37,Upper,0.2322
Cercocarpus,38,Lower,0.7311
Cercocarpus,38,Upper,0.6267
Cercocarpus,40,Lower,0.0680
Cercocarpus,40,Upper,0.1820
Cercocarpus,41,Lower,0.2994
Cercocarpus,41,Upper,0.5351
Cercocarpus,42,Lower,0.2887
Cercocarpus,42,Upper,0.2851
Cercocarpus,43,Lower,0.7694
Cercocarpus,43,Upper,0.5909
Cercocarpus,44,Lower,0.9660
Cercocarpus,44,Upper,0.9442
Cercocarpus,45,Lower,0.4598
Cercocarpus,45,Upper,0.6913
Cercocarpus,46,Lower,0.2300
Cercocarpus,46,Upper,0.3326
Cercocarpus,47,Lower,0.2665
Cercocarpus,47,Upper,0.3499
Cercocarpus,48,Lower,0.4839
