[contents]
count=1
Name=,D:\MassHunter\GCMS\1\data\Stachys_bullata\FINAL_RUNS\GAV102.D
1=,INT TIC: GAV102.D\data.ms
[INT TIC: GAV102.D\data.ms]
Time=,Fri Jun 12 16:34:00 2020
Header=,"Peak","R.T.","First","Max","Last","PK  TY","Height","Area","Pct Max","Pct Total"
1=,  1,  8.689,  965, 979,1001,"rBV ", 493186,  1297044,  5.99,  1.985
2=,  2, 10.056, 1198,1218,1236,"rBV ", 728046,  1840438,  8.49,  2.817
3=,  3, 10.245, 1241,1251,1266,"rVB ",  30869,    69793,  0.32,  0.107
4=,  4, 10.617, 1307,1316,1326,"rVB2",  35178,    79432,  0.37,  0.122
5=,  5, 11.166, 1403,1412,1427,"rVB3",  56439,   134531,  0.62,  0.206
6=,  6, 11.773, 1507,1518,1531,"rBV3",  68054,   165023,  0.76,  0.253
7=,  7, 12.128, 1569,1580,1592,"rBV ",1530948,  3386102, 15.63,  5.183
8=,  8, 12.448, 1624,1636,1649,"rBV ", 165710,   374047,  1.73,  0.573
9=,  9, 12.746, 1681,1688,1698,"rVB2",  24283,    59871,  0.28,  0.092
10=, 10, 13.158, 1743,1760,1775,"rBV ",  62399,   150303,  0.69,  0.230
11=, 11, 14.416, 1968,1980,1994,"rBV ",  36102,    91993,  0.42,  0.141
12=, 12, 14.960, 2064,2075,2088,"rVB ", 228198,   506503,  2.34,  0.775
13=, 13, 15.864, 2217,2233,2244,"rBV2", 132186,   327598,  1.51,  0.501
14=, 14, 16.076, 2260,2270,2283,"rBV2",  49769,   116686,  0.54,  0.179
15=, 15, 17.323, 2481,2488,2498,"rVB7",  26141,    56550,  0.26,  0.087
16=, 16, 17.438, 2499,2508,2519,"rVB3",  29805,    70088,  0.32,  0.107
17=, 17, 17.913, 2576,2591,2609,"rBV9",  18832,    88695,  0.41,  0.136
18=, 18, 18.262, 2642,2652,2660,"rBV3",  33348,    80214,  0.37,  0.123
19=, 19, 18.639, 2709,2718,2727,"rBV ",  65409,   161364,  0.74,  0.247
20=, 20, 19.097, 2787,2798,2801,"rBV ", 282432,   639712,  2.95,  0.979
21=, 21, 19.223, 2810,2820,2830,"rVB ",1931200,  4853198, 22.40,  7.429
22=, 22, 19.303, 2830,2834,2842,"rVB4",  25963,    56177,  0.26,  0.086
23=, 23, 20.121, 2963,2977,2985,"rBV ",  77510,   189364,  0.87,  0.290
24=, 24, 20.579, 3047,3057,3073,"rBV ",1171381,  2759057, 12.73,  4.223
25=, 25, 20.974, 3114,3126,3133,"rBV5", 118083,   358495,  1.65,  0.549
26=, 26, 21.340, 3178,3190,3202,"rBV4",  16831,    51093,  0.24,  0.078
27=, 27, 22.433, 3372,3381,3390,"rVB6",  34609,    88099,  0.41,  0.135
28=, 28, 22.862, 3448,3456,3470,"rVB6",  97987,   265855,  1.23,  0.407
29=, 29, 23.234, 3509,3521,3542,"rVB4",  68662,   214984,  0.99,  0.329
30=, 30, 24.293, 3694,3706,3719,"rVB7",  18060,    65550,  0.30,  0.100
31=, 31, 24.459, 3720,3735,3747,"rBV2",  60042,   155028,  0.72,  0.237
32=, 32, 25.014, 3821,3832,3838,"rBV5",  23957,    56226,  0.26,  0.086
33=, 33, 25.099, 3838,3847,3859,"rVB4", 125357,   323058,  1.49,  0.494
34=, 34, 25.340, 3882,3889,3899,"rVB4",  41948,   102362,  0.47,  0.157
35=, 35, 26.358, 4051,4067,4079,"rBV ", 811584,  1983422,  9.15,  3.036
36=, 36, 26.662, 4110,4120,4134,"rVB ", 348029,   839727,  3.88,  1.285
37=, 37, 26.879, 4152,4158,4174,"rVB8",  19984,    62822,  0.29,  0.096
38=, 38, 27.051, 4174,4188,4197,"rBV8",  37294,   103306,  0.48,  0.158
39=, 39, 27.188, 4201,4212,4220,"rBV4",  63118,   182895,  0.84,  0.280
40=, 40, 27.720, 4297,4305,4314,"rBV6",  24012,    54112,  0.25,  0.083
41=, 41, 28.075, 4358,4367,4378,"rBV6",  23181,    69095,  0.32,  0.106
42=, 42, 28.287, 4397,4404,4413,"rVB6",  33891,    84621,  0.39,  0.130
43=, 43, 28.762, 4471,4487,4500,"rBV7",  53169,   207066,  0.96,  0.317
44=, 44, 29.030, 4524,4534,4547,"rBV8",  25408,   104824,  0.48,  0.160
45=, 45, 29.179, 4553,4560,4565,"rBV2",  23546,    64584,  0.30,  0.099
46=, 46, 29.231, 4565,4569,4578,"rVB6",  28908,    67508,  0.31,  0.103
47=, 47, 29.534, 4611,4622,4635,"rBV5",  65641,   222161,  1.03,  0.340
48=, 48, 29.980, 4681,4700,4713,"rBV8",  66354,   266554,  1.23,  0.408
49=, 49, 30.324, 4749,4760,4777,"rBV7",  59150,   231989,  1.07,  0.355
50=, 50, 30.787, 4816,4841,4867,"rBV ",3020742, 10718973, 49.47, 16.407
51=, 51, 31.188, 4900,4911,4926,"rBV2", 580629,  1537243,  7.09,  2.353
52=, 52, 31.382, 4936,4945,4964,"rVB9",  41015,   160485,  0.74,  0.246
53=, 53, 31.811, 5001,5020,5057,"rVB2",7025317, 21667946,100.00, 33.166
54=, 54, 32.155, 5075,5080,5092,"rVB2",  17242,    51078,  0.24,  0.078
55=, 55, 32.435, 5121,5129,5140,"rBV8",  22497,    65253,  0.30,  0.100
56=, 56, 32.647, 5158,5166,5169,"rBV8",  21950,    61450,  0.28,  0.094
57=, 57, 32.704, 5171,5176,5187,"rVB10",  43163,   127709,  0.59,  0.195
58=, 58, 33.024, 5216,5232,5239,"rBV7",  26738,   109067,  0.50,  0.167
59=, 59, 33.391, 5283,5296,5311,"rBV7",  40696,   138121,  0.64,  0.211
60=, 60, 33.539, 5313,5322,5337,"rBV3",  57769,   181424,  0.84,  0.278
61=, 61, 34.466, 5475,5484,5493,"rVB3",  40093,   115140,  0.53,  0.176
62=, 62, 36.709, 5864,5876,5887,"rBV ", 148597,   392249,  1.81,  0.600
63=, 63, 36.812, 5887,5894,5907,"rVB9",  32187,    95273,  0.44,  0.146
64=, 64, 37.007, 5919,5928,5941,"rBV10",  31089,   103778,  0.48,  0.159
65=, 65, 37.705, 6038,6050,6060,"rBV10",  20929,    82425,  0.38,  0.126
66=, 66, 37.842, 6061,6074,6090,"rBV ", 300941,   861389,  3.98,  1.318
67=, 67, 38.094, 6104,6118,6144,"rBV2", 740141,  2768298, 12.78,  4.237
68=, 68, 38.357, 6158,6164,6176,"rVB2",  20140,    64880,  0.30,  0.099
69=, 69, 42.231, 6838,6841,6848,"rBV5",  68559,    97510,  0.45,  0.149
70=, 70, 42.815, 6940,6943,6951,"rVB ", 125270,   150390,  0.69,  0.230
71=, 71, 43.193, 7005,7009,7019,"rBV5", 139484,   241248,  1.11,  0.369
72=, 72, 43.873, 7123,7128,7154,"rVB ", 641393,  1293128,  5.97,  1.979
73=, 73, 44.291, 7196,7201,7220,"rVB3", 183699,   468371,  2.16,  0.717
